年份,批发业流动资产合计,内资企业批发业流动资产合计,国有企业批发业流动资产合计,集体企业批发业流动资产合计,股份合作企业批发业流动资产合计,联营企业批发业流动资产合计,国有联营企业批发业流动资产合计,集体联营企业批发业流动资产合计,国有与集体联营企业批发业流动资产合计,其他联营企业批发业流动资产合计,有限责任公司批发业流动资产合计,国有独资公司批发业流动资产合计,其他有限责任公司批发业流动资产合计,股份有限公司批发业流动资产合计,私营企业批发业流动资产合计,私营独资企业批发业流动资产合计,私营合伙企业批发业流动资产合计,私营有限责任公司批发业流动资产合计,私营股份有限公司批发业流动资产合计,其他企业批发业流动资产合计,港澳台商投资企业批发业流动资产合计,港澳台商合资经营企业批发业流动资产合计,港澳台商合作经营企业批发业流动资产合计,港澳台商独资经营企业批发业流动资产合计,港澳台商投资股份有限公司批发业流动资产合计,其他港澳台商投资企业批发业流动资产合计,外商投资企业批发业流动资产合计,中外合资经营企业批发业流动资产合计,中外合作经营企业批发业流动资产合计,外资企业批发业流动资产合计,外商投资股份有限公司批发业流动资产合计,其他外商投资企业批发业流动资产合计
2019,229996.4421,193903.3713,6448.0902,240.4756,81.0756,19.5477,2.1099,3.575,12.084,1.7788,96872.402,17491.4822,79380.9201,18490.7739,71679.2306,100.8419,21.2672,69787.0364,1770.0854,71.7757,14084.6552,2703.0992,95.5708,10895.9618,273.1915,116.832,22008.4161,4400.7853,60.1863,16676.143,548.9474,322.3548
2018,195796.5,164653.0,7170.3,260.8,63.1,19.0,2.1,3.5,,,85333.1,14972.4,70360.7,16467.8,55283.9,85.3,9.9,53845.5,1343.1,55.1,12776.9,2213.3,85.5,10137.1,215.9,125.0,18366.7,3429.3,25.3,14166.6,179.4,566.0
2017,175375.5784,146379.638,9270.853,282.099,58.089,21.726,2.404,4.051,14.429,0.842,75834.539,12157.531,63677.009,15222.259,45572.38,138.649,8.519,44178.512,1246.701,117.694,12418.249,1788.755,60.051,10207.243,195.435,166.764,16577.691,3075.274,23.29,13119.982,121.727,237.418
2016,155789.0337,131617.2957,9991.521,324.2972,57.3477,25.224,3.6705,3.0693,16.1185,2.3656,66830.0711,11082.3488,55747.7222,13739.1636,40502.8273,125.1144,12.0078,39219.1557,1146.5497,146.8448,9303.0204,1548.6679,80.242,7429.8433,190.4641,53.8036,14868.7183,3064.7437,20.9023,11459.6821,87.3307,236.0595
2015,141501.0427,120932.3808,10748.7886,403.119,64.8046,31.1153,3.7335,3.7074,16.2325,7.4419,61246.9127,9410.5832,51836.3293,13001.5997,35159.1899,148.6311,15.2885,33983.5955,1011.6754,276.8515,7623.0798,1337.3222,59.9607,6015.5494,178.071,32.1764,12945.5823,2536.3566,25.3802,10130.3507,74.0667,179.4283
2014,138618.2836,118818.1148,10177.98398,456.54115,111.51608,29.94815,4.24594,4.38514,16.16616,5.15091,59073.37432,8677.80711,50395.56721,11622.2133,37179.90979,113.08858,19.87586,35552.42114,1494.52421,166.62803,7091.27606,1043.50903,51.62898,5821.5038,162.65707,11.97718,12708.89274,2405.29333,88.65512,10069.04417,56.44404,89.45608
2013,124032.7093,107827.26128,10942.50171,517.17102,156.56497,46.97497,17.74038,3.54804,20.71171,4.97484,51879.93771,6885.22653,44994.71118,10140.02393,33875.08884,130.19603,27.89174,32459.26806,1257.73301,268.99813,5156.56215,685.56006,34.74149,4324.92023,103.51652,7.82385,11048.88583,2096.90391,79.55058,8750.21169,51.97117,70.24848
2012,100916.83293,87812.95197,15847.77097,715.72671,221.69593,267.72768,81.49041,20.44676,62.30932,103.48119,35156.66438,4929.55573,30227.10865,8529.29824,25850.3423,712.20135,225.75393,23899.05871,1013.32831,1223.72576,4111.14838,618.39607,23.67997,3381.11606,79.83393,8.12235,8992.73258,1679.51831,88.97647,7062.92415,151.25082,10.06283
2011,86003.2649,73971.7603,13627.0323,854.1814,199.7075,166.1744,45.9091,16.2715,32.192,71.8018,28875.4875,4395.7562,24479.7313,7518.8611,21812.4051,536.8064,201.3929,20130.2529,943.9529,917.9111,3490.9404,532.5757,22.6518,2864.8502,70.2623,0.6004,8540.5642,1438.6384,119.3427,6886.6964,94.3402,1.5465
2010,66594.1,58389.1,12145.3,818.2,142.3,178.5,69.2,17.7,29.3,62.3,21714.4,3296.6,18417.9,5677.5,17388.9,461.6,126.9,16158.0,642.4,323.8,2079.3,319.9,12.0,1669.2,78.1,,6125.8,1042.8,120.1,4940.0,22.9,
2009,50943.9,45015.18229,9666.86979,839.64166,137.27174,187.13657,99.29723,12.07612,27.5335,48.22972,16499.80146,2711.5718,13788.22966,4800.48548,12655.30397,327.47196,107.74514,11701.26268,518.82419,228.67162,1419.64528,233.72704,10.62177,1067.58723,107.70924,,4509.08777,734.23478,19.36444,3720.5557,34.93285,
2008,45133.3747,39975.4803,9195.294,916.4958,197.9758,193.6484,55.9188,56.8689,43.2506,37.61,14054.6142,2341.2672,11713.3469,3816.891,11400.9786,386.1997,132.5747,10431.5249,450.6793,199.5826,1251.3794,267.817,25.3748,909.631,48.5566,,3906.515,591.5541,115.1387,3155.4279,44.3943,
2007,29271.1,26512.2424,7614.55583,755.2697,142.73589,149.67767,66.87032,11.44558,30.6479,40.71387,9062.92473,1659.63002,7403.29471,2382.09581,6323.60137,134.0252,31.39278,5915.23387,242.94952,81.3814,475.47866,91.74296,16.74443,347.24479,19.74648,,2283.40797,389.73292,5.70094,1739.43441,148.5397,
2006,23504.6,21674.8862,6431.8111,699.9884,142.3502,127.3384,63.1873,14.2974,12.9823,36.8714,7354.971,1043.7341,6311.237,2035.4498,4843.2411,53.7212,29.4548,4575.5426,184.5226,39.7363,298.324,61.9391,16.4548,202.3037,17.6265,,1531.3815,232.5824,5.7062,1266.1587,26.9342,
2005,20985.0,19226.04904,6114.50263,738.27723,141.17639,103.45367,59.90422,2.84579,15.76482,24.93884,6482.19373,907.91318,5574.28055,1827.73519,3781.17744,60.44852,20.32884,3583.86979,116.53039,37.53276,295.45036,43.7566,14.98824,221.31119,15.39433,,1463.49511,241.18937,75.76558,1142.68934,3.85082,
2004,20580.7,18909.29534,6265.33049,698.24187,156.45763,124.09201,65.97547,13.34755,24.79754,19.97145,6319.90103,1004.4987,5315.40233,1655.39165,3676.26337,75.31453,32.1612,3455.76694,113.0207,13.61729,270.14032,42.15528,14.39265,195.42457,18.16782,,1401.30773,314.76067,85.59962,987.65271,13.29473,
2003,13139.86203,12541.36238,5841.00211,974.86511,94.7388,115.8873,65.47072,10.08302,11.96758,28.36598,3202.31611,648.00691,2554.3092,1399.76023,905.29186,39.88421,8.68569,804.86986,51.8521,7.50086,162.77875,27.76417,13.94215,106.29076,14.78167,,435.7209,90.59338,2.36342,342.6314,0.1327,
