年份,批发业企业资产总计,内资批发业企业资产总计,国有批发业企业资产总计,集体批发业企业资产总计,股份合作批发业企业资产总计,联营批发业企业资产总计,国有联营批发业企业资产总计,集体联营批发业企业资产总计,国有与集体联营批发业企业资产总计,其他联营批发业企业资产总计,有限责任公司批发业企业资产总计,国有独资有限责任公司批发业企业资产总计,其他有限责任公司批发业企业资产总计,股份有限公司批发业企业资产总计,私营批发业企业资产总计,私营独资批发业企业资产总计,私营合伙批发业企业资产总计,私营有限责任公司资产总计,私营股份有限公司资产总计,其他批发业企业资产总计,港澳台投资批发业企业资产总计,港澳台合资经营(港或澳、台资)批发业企业资产总计,港澳台合作经营(港或澳、台资)批发业企业资产总计,港、澳、台商独资经营批发业企业资产总计,港、澳、台商投资股份有限公司批发业企业资产总计,其他港澳台商投资批发业企业资产总计,外商投资批发业企业资产总计,中外合资经营批发业企业资产总计,中外合作经营批发业企业资产总计,外资批发业企业资产总计,外商投资股份有限公司批发业企业资产总计,其他外商投资批发业企业资产总计
2019,293883.5076,247866.588,7949.5604,350.6454,88.8165,23.9738,2.3892,4.9181,14.8809,1.7857,123997.5297,25446.8032,98550.7264,30302.2869,85052.6293,116.2299,22.9362,82185.9669,2727.4967,101.1469,18275.7942,3536.162,113.0527,13904.2496,595.1861,127.1441,27741.125,5843.1905,67.6804,20642.9806,836.1224,351.1516
2018,247653.8,208475.2,8606.6,374.3,70.1,22.1,2.3,6.4,,,108358.2,22565.5,85792.7,25545.9,65406.3,101.2,11.9,63438.6,1854.7,91.6,16126.8,2917.0,93.8,12552.8,429.0,134.3,23051.8,4420.3,30.2,17674.2,277.0,650.1
2017,222004.502,186776.802,11646.65,396.173,69.646,24.624,2.581,6.753,14.442,0.848,96250.942,17825.784,78425.158,23650.58,54563.819,172.268,10.362,52770.682,1610.508,174.369,15058.612,2300.505,75.467,12158.238,302.355,222.047,20169.088,3804.823,25.713,15872.74,183.431,282.381
2016,201322.9225,171674.1396,12421.3017,464.5981,72.4378,28.3538,4.0353,5.6096,16.1345,2.5745,87252.698,16088.0276,71164.6708,22177.1554,49019.6306,168.3085,14.7199,47125.8986,1710.7038,237.9652,11519.5744,2007.7038,99.6658,9114.5282,234.1434,63.5332,18129.2088,3605.573,22.822,14123.4738,126.0384,251.3019
2015,181198.5386,155904.0375,13869.9531,549.2779,79.4072,38.7329,5.1271,6.3333,17.995,9.2775,77578.1565,13653.2494,63924.9071,20461.2336,42955.5987,213.6511,18.8916,41224.4721,1498.5842,371.6787,9383.2176,1701.9515,67.0288,7370.9648,209.7667,33.5054,15911.2843,3068.9394,31.8504,12493.9816,120.4667,196.0466
2014,176249.5376,152188.4853,13365.16146,623.288,147.19266,44.38029,7.07753,7.22316,23.52399,6.55561,73774.23144,12459.75014,61314.4813,18703.87228,45271.60684,170.63699,24.09649,43217.06675,1859.80661,258.75233,8490.36074,1348.09881,59.90153,6886.50561,182.84539,13.0094,15570.69154,2899.68092,106.91493,12364.79298,102.90088,96.40183
2013,156693.5688,136938.99748,13989.87595,692.62956,189.74443,61.3719,21.49526,6.38487,26.46304,7.02873,64710.312,10427.8925,54282.4195,16331.61179,40561.41329,194.4453,31.9578,38775.60448,1559.40571,402.03856,6326.11662,885.67095,39.68826,5262.50087,129.80942,8.44712,13428.45475,2428.01006,96.70639,10737.24294,91.14434,75.35102
2012,127504.0952,111605.51979,20863.9646,924.82244,258.61166,303.16598,92.8058,23.69472,69.73754,116.92792,43499.17296,6808.65391,36690.51905,13324.86359,30898.55167,985.37296,245.98068,28459.10242,1208.09561,1532.36689,4924.47938,793.21068,26.48997,3998.92775,97.26685,8.58413,10974.09603,2005.06465,107.34703,8682.54894,167.98024,11.15517
2011,107444.844,93062.13,17834.7212,1058.4688,239.1302,196.2873,55.6691,20.3935,38.32,81.9047,35704.6644,5994.8966,29709.7677,11414.4143,25490.7597,733.4367,220.4704,23412.8696,1123.9829,1123.6842,4066.555,653.3301,24.992,3272.055,115.5772,0.6007,10316.159,1687.5153,134.3459,8345.4798,147.2612,1.5568
2010,83998.6,74027.9,16110.7,1038.9,181.6,214.7,82.1,18.7,33.9,80.0,26803.9,4610.3,22193.6,8792.7,20480.5,646.0,152.7,18869.5,812.3,404.9,2448.8,436.0,15.8,1903.3,93.6,,7521.9,1225.7,133.0,6139.3,23.9,
