年份,农、林、牧产品批发资产总计,食品、饮料及烟草制品批发资产总计,米、面制品及食用油批发资产总计,烟草制品批发资产总计,纺织、服装及日用品批发资产总计,服装批发资产总计,文化、体育用品及器材批发资产总计,医药及医疗器材批发资产总计,矿产品、建材及化工产品批发资产总计,煤炭及制品批发资产总计,石油及制品批发资产总计,金属及金属矿批发资产总计,建材批发资产总计,化肥批发资产总计,机械设备、五金交电及电子产品批发资产总计,汽车、摩托车及零配件批发资产总计,日用家电批发资产总计,计算机、软件及辅助设备批发资产总计,贸易经纪与代理资产总计,其他批发资产总计
2019,11078.4176,27942.7943,5299.231,6958.4208,27607.9711,5517.6753,8014.9775,22329.4057,139757.4843,20765.5892,25278.8427,56791.7887,13809.9399,3139.382,47027.6678,15186.524,8034.5335,3414.7264,5268.8667,4855.9227
2018,9510.2,24506.1,4554.3,7078.1,23482.6,5084.7,6676.9,18281.2,115728.1,15671.7,22562.1,46922.6,10535.4,2941.6,40805.5,13393.6,6595.2,3120.9,4526.9,4136.2
2017,8447.59,22752.252,4148.843,6680.361,21797.113,4853.933,6330.346,15255.532,102278.407,16009.794,20866.846,38460.962,8458.536,2864.008,35614.117,9772.396,8516.036,2618.23,5072.289,4456.855
2016,8389.0229,21418.9264,4015.0776,6499.0812,17591.4784,4980.9942,5384.9867,12326.0506,94454.4131,15058.3891,18457.1763,35030.0975,7752.7344,3206.2823,32626.3318,8563.2963,5083.4913,2298.799,4402.1534,4729.5596
2015,7051.0524,20122.1902,3522.2781,6317.3067,16710.8897,5181.0899,4811.1486,10436.7945,84601.5784,14024.5612,18104.1075,31146.661,6574.8444,3541.6798,28690.9978,7658.0047,4523.7963,1935.2282,4413.0511,4360.8377
2014,6896.8082,16998.36127,3417.62989,6065.5068,15989.12679,4513.71211,4349.04391,8917.55455,87241.70926,14470.84341,16153.88518,34613.52426,6529.15028,3968.2154,26566.28703,7141.08182,4724.48973,1878.31287,4866.89947,4423.7471
2013,5816.14899,15616.06489,3138.82201,5691.44159,14512.42996,3845.26173,3586.44854,7251.2506,79071.38987,13485.40156,16127.57763,31507.29807,5557.14047,2788.31906,22692.11798,6266.60874,4250.40257,1523.73343,4174.25762,3973.4604
2012,4710.28748,12803.61502,2686.11357,5235.75975,11439.23284,3053.13068,3262.98801,5784.78812,63907.2923,11152.11671,12554.1882,25955.51658,4381.50762,2656.15375,18824.24215,5008.69511,3361.27381,1415.06175,3503.52084,3268.12844
2011,4198.3709,10655.2983,1955.5624,4743.1418,7141.7505,2784.6042,1963.4782,4897.8207,52811.3862,8059.2937,10937.0242,22528.3479,3562.2715,1965.6802,19297.388,4960.0897,3027.1268,1792.6679,3599.7924,2879.5587
2010,3981.2,8688.2,1753.2,4019.7,5273.4,1891.9,1544.4,3734.7,39997.2,5711.2,8762.2,17015.2,2674.1,1429.3,15240.7,3756.2,2425.6,1046.1,3434.5,2104.4
2009,3346.40278,6849.51933,1243.55686,3479.44973,4318.56391,1465.02011,1226.62511,3051.80272,30948.39449,4165.4568,7258.96428,12751.16067,2185.51373,1238.98906,12031.16458,2761.14161,2011.01123,798.07994,2443.69567,1599.69917
2008,2957.7234,6401.3089,1207.5259,3187.0105,3999.5428,1518.2858,1168.7605,2446.3572,27981.2249,3453.2415,6303.0662,11998.18,1796.8373,1310.8941,10105.1182,2335.7598,1329.8077,596.9349,2231.5004,1445.9389
2007,2677.05884,4709.27766,668.66337,2752.01666,2765.56528,1015.91128,761.495,1745.81704,17181.42919,1358.57526,4650.04765,7276.56811,1216.25067,839.95076,6477.98091,1197.10108,992.60002,407.83034,813.14478,1565.93745
2006,2811.1481,4189.5441,699.3814,2413.8278,2410.1482,934.4811,672.3861,1538.0325,12670.4056,1058.4296,3574.6717,5080.4069,845.8294,675.8705,5162.0071,962.6161,794.1773,346.0814,890.7975,1178.5635
2005,2656.35457,3838.73016,675.07397,2171.93122,2057.95855,712.38056,582.51803,1365.9936,11121.61906,942.15172,3252.98254,4275.1676,735.60972,549.98433,4754.30185,1059.22009,707.27693,400.79893,303.40329,1424.94776
2004,2785.75273,3947.66907,798.04749,2022.48889,2116.01182,693.55532,590.37388,1393.03604,10522.01188,851.10448,3238.63565,3904.42929,654.43985,480.48428,5255.87741,1212.75921,691.65559,419.6867,248.71149,1027.2984
2003,1878.51605,3106.43733,688.03556,1663.83211,1823.55132,606.5153,484.41854,983.72283,5820.23661,390.96655,2003.47268,2103.85053,314.43203,416.84498,2850.88222,734.6549,237.1264,129.96551,403.67799,476.132
2002,,3801.627,1489.1,1503.3,,,,842.6,,313.4,1900.7,,165.9,,,529.3,,,,
2001,,3698.2899,1410.0302,1415.2373,,,,741.3287,,303.4821,1674.8297,,124.1309,,,787.2474,,,,
2000,,4052.0119,1425.4706,1717.5222,,,,628.0676,,335.3395,1382.8607,1206.4038,127.3785,,1014.8,525.5347,,,,802.7051
