年份,农、林、牧产品批发固定资产合计,食品、饮料及烟草制品批发固定资产合计,米、面制品及食用油批发固定资产合计,烟草制品批发固定资产合计,纺织、服装及日用品批发固定资产合计,服装批发固定资产合计,文化、体育用品及器材批发固定资产合计,医药及医疗器材批发固定资产合计,矿产品、建材及化工产品批发固定资产合计,煤炭及制品批发固定资产合计,石油及制品批发固定资产合计,金属及金属矿批发固定资产合计,建材批发固定资产合计,化肥批发固定资产合计,机械设备、五金交电及电子产品批发固定资产合计,汽车、摩托车及零配件批发固定资产合计,日用家电批发固定资产合计,计算机、软件及辅助设备批发固定资产合计,贸易经纪与代理固定资产合计,其他批发固定资产合计
2019,,,,,,,,,,,,,,,,,,,,
2018,550.7,1530.8,283.8,555.8,575.8,169.8,178.9,594.8,3984.4,625.7,1909.3,627.4,259.3,113.0,769.1,177.6,59.9,34.9,58.6,138.8
2017,624.451,1698.367,310.209,606.952,576.478,164.58,200.648,591.188,4291.313,840.217,2062.613,658.236,237.648,130.138,940.963,259.876,82.194,39.817,69.37,172.643
2016,668.0753,1659.088,260.3702,594.2324,549.1071,168.5329,181.7971,475.6801,4074.8286,738.9496,1967.3338,599.8414,249.2645,127.4156,823.148,139.2093,78.9181,47.3305,63.7624,176.8908
2015,585.3798,1636.2381,239.2268,603.2481,630.1094,257.3481,176.1884,425.0283,3885.6548,646.0554,1910.4065,627.5013,259.7669,128.5321,737.2763,138.718,93.3789,38.95,65.6921,180.4855
2014,566.62891,1522.39076,213.87855,627.70868,726.04482,240.26353,194.37181,367.49326,4238.02351,617.6679,1951.98228,678.58664,258.57836,370.216,713.37855,123.31629,213.45673,33.025,58.48704,165.69696
2013,525.22253,1433.73017,200.29155,593.12409,716.53032,246.77301,160.07077,318.60475,3805.04648,522.56316,1955.05788,663.0365,241.51895,129.60809,677.89499,125.21174,213.57054,26.89276,56.6766,186.83679
2012,381.00625,1054.86809,146.90282,547.48874,410.52582,137.56745,389.7986,243.58623,2988.5996,431.81414,1541.21794,509.06895,188.14642,105.60517,542.80843,97.22544,63.70368,24.84279,48.87565,152.25606
2011,336.7364,961.4829,133.3922,533.7189,311.2938,114.6539,124.0408,211.0667,2767.7469,295.0279,1507.6134,543.4654,143.9759,91.5093,522.2366,129.9355,49.8635,23.0763,54.8944,116.6357
2010,346.16034,907.33473,126.97008,513.555,266.07753,99.94373,97.56267,158.09246,2449.41358,296.06534,1366.70016,392.27339,134.11567,82.73149,462.52338,112.22408,33.92624,15.94987,60.20527,101.8575
2009,305.69875,791.3958,107.46362,473.4162,248.69008,88.34715,110.87634,142.44214,2132.10114,219.0896,1256.09075,317.71996,121.35636,65.37378,409.06258,90.63465,30.15007,14.91793,53.87131,96.94344
2008,359.9974,1167.2328,145.9781,699.4252,369.8854,152.0088,142.901,200.5416,2755.3017,272.9234,1528.5574,490.1132,155.6628,84.9926,598.6633,116.3223,40.6523,43.5777,82.2258,155.4358
2007,297.80066,935.01994,109.61606,595.88759,298.71334,94.07889,109.86997,162.75901,2121.62157,176.06732,1341.52466,319.37817,105.08085,63.54131,399.19181,90.23091,38.65301,16.84893,55.59264,123.50751
2006,302.3352,912.4479,130.7783,558.651,224.0597,80.3157,100.6603,170.8495,1786.2717,135.9896,1161.1946,252.4673,80.7607,57.7641,346.9182,85.5032,38.0532,15.8494,54.1803,115.5027
2005,213.05233,584.76295,78.84868,352.42413,143.94091,48.13455,61.12101,115.12208,1195.01907,75.72745,751.52692,185.05244,59.83345,45.10567,260.15873,77.483,40.79398,8.13652,15.40888,69.92706
2004,319.0836,842.75637,129.48637,485.4728,218.32686,67.73907,84.197,160.31199,1526.56275,114.34714,968.18245,228.6938,58.2698,53.85229,354.18148,94.17994,35.60769,13.56017,22.95719,105.28712
2003,175.16498,588.95739,88.73623,348.50175,153.84222,44.18562,78.74885,136.78407,966.63943,63.72672,639.68311,133.89901,34.47199,38.30929,222.37358,62.5561,15.12036,6.73568,21.49085,41.79047
2002,,676.0807,180.5084,305.4925,,,,119.5215,,68.8533,601.4765,,19.7127,,,59.275,,,,
2001,,672.0196,170.4211,287.5165,,,,119.3005,,59.4189,468.7925,,18.8411,,,70.5038,,,,
2000,,693.6565,182.2146,280.7644,,,,107.4091,,70.6496,301.7065,139.8924,23.0326,,99.9,72.2985,,,,124.7072
