年份,批发业负债合计,内资批发业企业负债合计,国有批发业企业负债合计,集体批发业企业负债合计,股份合作批发业企业负债合计,联营批发业企业负债合计,国有联营批发业企业负债合计,集体联营批发业企业负债合计,国有与集体联营批发业企业负债合计,其他联营批发业企业负债合计,有限责任公司批发业企业负债合计,国有独资公司批发业企业负债合计,其他有限责任公司批发业企业负债合计,股份有限公司批发业企业负债合计,私营批发业企业负债合计,私营独资批发业企业负债合计,私营合伙批发业企业负债合计,私营有限责任公司批发业企业负债合计,私营股份有限公司批发业企业负债合计,其他批发业企业负债合计,港澳台商投资批发业企业负债合计,港澳台商合资经营批发业企业负债合计,港澳台商合作经营批发业企业负债合计,港澳台商独资经营批发业企业负债合计,港澳台商投资股份有限公司批发业企业负债合计,其他港澳台商投资批发业企业负债合计,外商投资批发业企业负债合计,中外合资经营批发业企业负债合计,中外合作经营批发业企业负债合计,外资批发业企业负债合计,外商投资股份有限公司批发业企业负债合计,其他外商投资批发业企业负债合计
2019,214175.4313,182763.5001,2738.3578,246.9453,68.3319,9.6766,0.2771,4.2949,4.7112,0.3934,92985.0667,18194.3275,74790.7388,19172.6937,67486.4299,82.2742,16.6248,65785.8367,1601.6954,55.9982,12692.8849,2456.1255,87.6852,9820.4798,243.4956,85.0985,18719.0468,4604.3275,57.7247,13327.7416,520.76,208.4931
2018,180250.7,153374.0,3391.3,293.2,54.5,17.0,0.4,4.8,,,82383.6,15941.9,66441.7,15794.6,51402.9,68.9,7.9,50214.3,1111.8,36.8,11359.9,2040.1,75.6,8944.0,204.1,96.0,15516.8,3564.2,21.7,11341.3,146.1,443.5
2017,161596.7656,136560.29,5737.309,294.758,56.328,19.266,0.623,5.375,12.769,0.498,73076.937,12713.741,60363.196,14743.914,42534.587,125.802,6.522,41410.286,991.978,97.192,11290.443,1676.374,61.345,9231.146,180.468,141.109,13746.033,3084.581,21.783,10407.685,94.048,137.937
2016,145044.3145,124627.7371,6715.7799,335.301,56.8752,22.3983,2.265,4.9549,14.5432,0.6351,65104.404,11422.2399,53682.1638,13966.9703,38301.4888,108.0947,8.9921,37238.949,945.4537,124.5203,8098.1221,1411.7544,69.1437,6382.3715,188.4523,46.4007,12318.4549,3024.5754,20.4136,9040.4081,77.9283,155.1297
2015,132013.896,115043.8386,7793.9237,423.4164,62.3135,27.4389,1.8485,5.5234,15.4505,4.6167,59290.2717,9781.1099,49509.162,13493.9268,33737.0547,133.7974,13.2843,32706.2164,883.7572,215.4929,6437.1558,1195.6769,43.509,4999.1584,171.1662,27.6458,10532.9022,2437.5884,17.958,7885.1006,65.4083,126.8468
2014,130169.5685,113867.65171,7216.88648,495.29564,133.14826,35.49622,3.64221,6.10864,22.06553,3.67984,57712.21304,9071.32499,48640.88805,12369.72161,35769.10056,109.92147,18.28546,34176.35938,1464.53425,135.7899,5926.08973,945.35626,37.39534,4771.60103,161.54258,10.19452,10375.82709,2214.78975,75.67469,7978.75966,57.56144,49.04155
2013,115824.4738,102560.01452,8076.03305,568.36851,170.13198,50.00343,16.9634,5.35033,21.17998,6.50972,50902.99851,7358.43736,43544.56115,10670.17435,31874.17326,119.33521,23.45393,30517.3982,1213.98592,248.13143,4300.80022,633.10299,22.58311,3539.96433,97.1438,8.00599,8963.6591,1900.15825,66.32665,6910.64615,51.6874,34.84065
2012,93817.57657,83008.09094,13311.89173,741.32693,203.55953,256.2611,71.75216,20.93739,58.84477,104.72678,34347.81055,5124.8441,29222.96645,8520.67002,24478.60759,686.19919,205.21036,22628.59845,958.59959,1147.96349,3469.58341,566.94557,15.782,2802.40167,77.07057,7.3836,7339.90222,1548.20094,73.04206,5569.28709,140.49439,8.87774
2011,78790.1984,68973.492,11327.2522,883.4092,190.6258,156.6324,39.2101,16.5843,28.4486,72.3894,28179.4231,4491.0113,23688.4118,7149.2029,20303.3856,506.5154,183.697,18735.3282,877.8451,783.5608,2887.6362,487.2595,14.721,2347.9005,37.3743,0.3809,6929.0701,1321.4806,100.852,5410.7245,95.0104,1.0027
2010,60428.4,53849.1,10086.5,839.5,130.6,161.2,54.7,16.6,25.7,64.1,20966.4,3340.6,17625.8,5203.2,16176.0,416.0,114.3,15067.4,578.3,285.7,1705.0,270.1,7.3,1359.2,68.4,,4874.3,927.1,105.0,3823.3,18.9,
2009,46337.53558,41475.85049,8068.37127,796.19516,133.94379,168.48058,89.69118,11.12407,25.3177,42.34763,15940.26413,2839.29946,13100.96467,4380.83154,11789.88122,287.37181,95.78294,10917.8689,488.85757,197.8828,1178.24661,203.95141,5.65997,889.22546,79.40977,,3683.43848,671.34242,19.63701,2956.88524,35.57381,
2008,40792.1532,36424.1576,7942.5586,905.2531,197.575,173.1934,48.5866,54.7882,38.2392,31.5794,12980.6405,2376.2286,10604.4118,3576.8035,10488.1266,348.9151,110.2036,9624.1171,404.8907,160.007,1077.4366,231.3683,20.7549,766.9954,58.3181,,3290.5589,534.4691,110.0129,2596.0508,50.0262,
2007,27452.8,24978.86031,6775.8647,782.24586,135.49258,127.04651,48.1111,10.82881,28.8464,39.2602,8572.42321,1608.51713,6963.90608,2700.01093,5828.39452,120.15816,32.88051,5451.60885,223.747,57.382,402.524,82.3294,13.63686,292.62649,13.93125,,2071.40901,368.39101,11.96274,1600.05609,90.99917,
2006,22249.6,20638.8696,5910.9313,755.2541,147.3554,105.0123,46.566,11.8305,12.1646,34.4511,6976.3518,959.9376,6016.4142,2263.0016,4424.3368,50.1949,24.1361,4181.5818,168.4239,56.6263,256.9913,55.9794,12.6297,167.8349,20.5474,,1353.7401,211.7631,11.6404,1110.6981,19.6385,
2005,20199.5,18659.1761,5943.65028,815.41617,137.58197,88.25004,47.54258,2.83094,13.64409,24.23243,6116.87424,824.88411,5291.99013,2080.44874,3444.20042,61.19115,18.51065,3273.3501,91.14852,32.75434,256.87092,38.59161,10.77791,193.44938,14.05202,,1283.45464,216.40175,79.07896,979.09893,8.875,
2004,20205.3,18714.38489,6271.86957,788.59828,148.41522,124.02831,58.44314,16.27997,22.03034,27.27486,5994.59915,975.744,5018.85515,2039.69793,3333.97686,70.49308,29.00735,3124.5927,109.88373,13.19957,228.43224,37.37467,11.67248,166.31641,13.06868,0.0,1262.5042,308.71014,85.74255,843.7906,24.26091,0.0
2003,13452.21842,12922.35684,6079.69737,1088.07111,97.09003,111.74058,57.72203,13.96099,12.75693,27.30063,3129.5711,651.01328,2478.55782,1573.57901,835.24941,36.92838,7.44845,741.2632,49.60938,7.35823,154.35829,31.5194,14.18835,94.28575,14.36479,,375.50329,84.90205,5.73684,284.799,0.0654,
2002,12573.5165,12176.307,6488.1295,1211.6245,102.6922,105.2257,54.2453,2.6915,28.3237,19.9842,2397.0319,631.0367,1765.9952,1407.7108,461.5694,9.2105,3.5576,423.3303,25.4711,2.3231,142.7826,20.7157,5.7386,110.1315,6.1967,,254.427,62.5662,3.7937,186.0972,1.9698,
2001,11726.6796,11536.4,6807.376,1372.0539,118.0164,119.7241,56.0695,2.443,33.3907,27.8209,1696.6754,485.5378,1211.1375,1158.7253,257.5194,6.98,4.8196,232.1338,13.586,6.2931,32.8118,7.8497,6.4833,15.136,3.3428,,157.4844,114.6673,1.3093,38.2059,3.3018,
2000,12336.3167,12172.3248,8165.8726,1656.2728,121.0932,108.8097,39.1674,6.6461,36.2089,26.7874,1203.9745,433.4669,770.5076,808.9005,105.8469,5.88,2.4725,90.6689,6.8255,1.5546,21.9077,9.0492,3.1253,9.713,0.02,,142.0842,111.81,1.2203,24.0551,4.9987,
