年份,农、林、牧产品批发流动资产合计,食品、饮料及烟草制品批发流动资产合计,米、面制品及食用油批发流动资产合计,烟草制品批发流动资产合计,纺织、服装及日用品批发流动资产合计,服装批发流动资产合计,文化、体育用品及器材批发流动资产合计,医药及医疗器材批发流动资产合计,矿产品、建材及化工产品批发流动资产合计,煤炭及制品批发流动资产合计,石油及制品批发流动资产合计,金属及金属矿批发流动资产合计,建材批发流动资产合计,化肥批发流动资产合计,机械设备、五金交电及电子产品批发流动资产合计,汽车、摩托车及零配件批发流动资产合计,日用家电批发流动资产合计,计算机、软件及辅助设备批发流动资产合计,贸易经纪与代理流动资产合计,其他批发流动资产合计
2019,8048.6201,22356.7231,4226.6663,5623.8536,22288.7226,4314.7287,6412.0544,19063.3598,105341.2478,14120.0086,17319.111,45436.3282,10904.0332,2272.9821,38389.6971,12408.2823,6845.5745,3057.1853,4339.6359,3756.3825
2018,6819.0,19528.4,3665.3,5827.8,19449.6,3781.6,5242.4,15693.0,88275.1,10900.9,15972.6,37723.9,8043.5,2260.7,33776.6,11108.3,6022.5,2871.6,3905.9,3106.4
2017,5886.73,17838.173,3250.216,5444.532,18367.365,3569.91,4985.109,12917.042,77997.084,11015.357,14555.37,31303.682,6556.944,2245.879,29742.841,8174.633,7779.749,2378.359,4287.531,3353.705
2016,5879.1689,16651.4857,3062.5343,5303.524,14431.4146,3772.2147,4211.2088,10427.4353,69794.5002,10814.0227,12601.8655,28154.6493,5598.6197,2225.0908,26992.6152,7148.0819,4480.5737,2090.5621,3774.7775,3626.429
2015,4988.7582,15576.1346,2762.9502,5075.0899,13668.727,3871.9387,3746.5752,8867.3972,63834.5264,10078.4923,12316.2124,24840.807,5045.3581,2694.2088,23578.3722,6363.3982,4022.9147,1752.4605,3875.8549,3364.6979
2014,4953.55058,13200.25715,2728.98715,4948.56901,13271.7868,3601.61842,3396.9372,7595.17752,66286.82563,10406.48704,10643.64116,28151.81311,5141.65108,2816.91997,22066.00032,5989.61633,4093.3161,1650.29467,4347.50008,3500.24832
2013,4083.9379,12077.25728,2556.54702,4644.29032,12120.74543,3061.91677,2757.67023,6203.89947,61129.86663,9829.26566,10809.37847,26275.54026,4330.36633,2138.60971,18831.74921,5272.46975,3687.27641,1368.35618,3724.34866,3103.23445
2012,3332.41004,10183.95394,2263.87955,4278.88313,9634.76397,2509.68101,2383.97694,4952.62339,49253.88979,8485.73698,8194.56875,21345.95841,3437.71184,2069.22612,15460.13762,4104.82793,3038.68879,1281.2203,3107.7649,2607.31234
2011,2974.4437,8407.9827,1636.6605,3840.8434,5880.739,2364.5594,1567.6748,4163.5626,41011.7894,6181.394,7142.8162,18588.5344,2792.3423,1632.9252,16462.1859,4116.9501,2730.843,1648.7542,3194.7957,2340.0911
2010,2799.9,6734.3,1487.7,3164.7,4258.1,1529.3,1166.5,3092.8,31041.1,4345.8,5657.6,14289.8,2086.9,1114.6,12858.4,3107.4,2168.7,959.9,2908.0,1735.1
2009,2132.53578,5192.33474,1019.91474,2650.51335,3422.77918,1179.25398,915.30311,2492.17751,23489.11562,3100.03022,4441.00095,10604.8292,1685.77148,973.56175,9965.09281,2242.60918,1796.23425,736.87737,2025.27354,1309.30305
2008,1891.3651,4859.8605,977.8918,2445.3576,3123.4788,1196.0561,880.1744,2022.7746,21104.0982,2569.4217,3858.031,9786.8105,1343.8044,1072.4753,8234.9115,1863.6324,1136.1481,518.2458,1887.7852,1128.9264
2007,1773.28682,3443.91343,501.47204,2029.84498,2150.87756,780.22938,535.77918,1397.51355,12808.51103,999.69445,2728.12948,6010.48884,923.68858,698.86292,5258.73806,938.02336,824.06085,359.87419,656.5254,1245.984
2006,2018.3681,2887.2393,477.7126,1684.5293,1794.684,638.6072,463.7614,1248.5142,9324.8437,809.3027,1957.0784,4228.8253,644.5225,565.2031,4162.9885,733.4419,636.0718,309.4163,723.4596,880.7329
2005,2099.19334,2691.75008,492.20455,1514.92085,1591.26003,563.94927,409.76839,1101.8289,7816.35684,681.33043,1648.2316,3426.46633,561.22972,475.90983,3884.62506,929.71693,536.21934,343.28572,246.79281,1143.41906
2004,2204.42197,2732.98904,594.90294,1412.54073,1600.40153,529.38721,409.15688,1079.70921,7311.88821,623.39537,1527.65754,3266.80688,498.76346,383.25768,4265.39219,998.97761,571.96081,349.12931,209.06741,767.71695
2003,1536.09122,2159.98733,530.2318,1139.47467,1506.66308,463.29234,321.12925,737.90644,3845.91145,292.18299,825.8545,1712.19997,219.81578,348.43804,2308.70342,596.1416,213.17806,93.3553,365.23564,358.2342
2002,,2782.3492,1193.2056,1082.1,,,,619.2,,214.9,796.5,,122.7315,,,416.6254,,,,
2001,,2644.4269,1111.859,1008.7486,,,,549.7231,,204.4404,842.7609,,89.921,,,406.4238,,,,
2000,,2992.0814,1118.5539,1321.2594,,,,468.481,,224.0778,857.8231,850.69,87.7594,,808.4,388.9717,,,,561.5836
