年份,国家铁路主要货物运输量,国家铁路煤货运量,国家铁路焦炭货运量,国家铁路石油货运量,国家铁路钢铁及有色金属货运量,国家铁路金属矿石货运量,国家铁路非金属矿石货运量,国家铁路矿建材料货运量,国家铁路水泥货运量,国家铁路木材货运量,国家铁路化肥和农药货运量,国家铁路粮食货运量,国家铁路棉花货运量,国家铁路盐货运量,国家铁路其他货物货运量
2019,343905.1452347,172263.2784,8736.2847,11761.0554,20466.8527,46425.5551,7824.0912,12022.0523,2417.8365,1996.4175,,7835.6633,,,
2018,318957.6769206,166421.9782,8512.4274,11507.5134,18474.3701,41869.7665,6273.0681,7928.4186,2436.2477,2187.2013,,8450.5682,,,
2017,291759.1612,149129.8603,8164.5507,11747.3817,17131.1268,38749.1394,5706.1439,8712.0621,2305.7546,2557.3559,,7795.1396,,,
2016,265086.399,131790.7288,7659.3969,12478.2192,15275.9815,36188.3227,5070.8983,9471.2842,2130.7853,2409.3228,,5981.2583,,,
2015,270823.7797,143221.2344,7553.0848,12552.9493,16063.4687,32841.1969,5669.6119,10438.101,2476.6685,1883.1116,,5589.8049,,,
2014,306259.312,164130.5731,9589.5361,12806.972,19664.7573,36708.3953,6451.6415,11890.8208,3416.525,2187.4205,7867.6824,8260.3673,495.9007,1531.3714,21257.3486
2013,321614.2714,167945.6587,9996.6715,12731.7605,21569.8041,40187.3864,7263.6799,13547.9459,3568.5727,2483.1804,8339.7167,10446.7106,436.5938,1500.2327,21596.3575
2012,322345.5782,168515.2922,9337.8811,12652.417,21932.1803,40111.7638,8750.5457,11759.0814,3425.6739,2436.9361,8924.7122,9980.7448,388.5955,1532.4215,22597.3327
2011,328135.9362,172125.7362,9894.7195,12564.4969,22778.5638,39147.6502,9514.8129,12440.3526,3638.5174,2813.9051,8308.3676,9578.2853,275.7619,1698.9127,23355.8541000001
2010,308209.4553,156019.9967,9494.1412,12847.4604,22428.0225,38087.7525,8706.6843,12553.4125,3526.4006,2501.3553,8178.7021,9692.3584,397.2776,1379.3435,22396.5477
2009,276275.6635,132720.1535,8548.6477,12530.9528,21526.5372,35679.6734,7868.2731,10745.2436,3740.3508,2475.5203,8029.332,9925.0198,442.6392,1318.1458,20725.1743
2008,273932.2601,134325.0,8774.7291,12671.3016,20716.2651,29795.9458,9054.1098,9518.1666,3549.2835,2935.2205,7810.9284,11469.5294,388.1953,1413.0336,21510.5514
2007,261239.2163,122080.6265,9327.1279,12701.8496,21593.7598,27577.3489,9187.474,8031.5181,3540.5808,3729.3787,8151.586,10471.3655,386.2777,1355.7553,23104.5675
2006,244395.0,112034.0,8831.0,12743.0,20059.0,25568.0,8675.0,8016.0,3799.0,3607.0,7417.0,10111.0,389.0,1288.0,21858.0
2005,230920.0,107082.0,7918.0,12667.0,17536.0,22187.0,8240.0,7820.0,3470.0,3501.0,7163.0,11082.0,283.0,1287.0,20684.0
2004,216961.0,99210.0,7189.0,11944.0,16083.0,19319.0,8039.0,7785.0,3700.0,3237.0,6392.0,10906.0,264.0,1278.0,21615.0
2003,199076.0,88132.0,7124.0,10765.0,15280.0,18082.0,7945.0,7664.0,3652.0,3054.0,5660.0,10138.0,218.0,1263.0,20099.0
2002,186894.0,81852.0,5613.0,10299.0,14123.0,16777.0,8176.0,8599.0,3596.0,3149.0,5942.0,8282.0,243.0,1256.0,18987.0
2001,178592.0,76625.0,4986.0,9852.0,12894.0,14987.0,8498.0,9799.0,3930.0,3366.0,5601.0,7090.0,161.0,1216.0,19587.0
2000,165498.0,68545.0,4725.0,9391.0,11537.0,13022.0,8138.0,9671.0,3900.0,3436.0,5189.0,7935.0,233.0,1245.0,18531.0
