年份,国家铁路货物周转量,国家铁路煤货物周转量,国家铁路焦炭货物周转量,国家铁路石油货物周转量,国家铁路钢铁及有色金属货物周转量,国家铁路金属矿石货物周转量,国家铁路非金属矿石货物周转量,国家铁路矿建材料货物周转量,国家铁路水泥货物周转量,国家铁路木材货物周转量,国家铁路化肥和农药货物周转量,国家铁路粮食货物周转量,国家铁路棉花货物周转量,国家铁路盐货物周转量,国家铁路其他货物周转量
2019,26992.8125,11334.98544,925.5746,869.22081,1793.68884,2372.70193,453.41484,389.86971,89.69332,153.73653,,1552.03952,,,
2018,25784.93965727,10963.65408,906.0329,862.19887,1656.11165,2250.31905,351.87846,268.84602,82.65032,164.56563,,1608.10191,,,
2017,24072.2334,9707.15603,865.17577,915.33887,1600.57154,2169.03365,289.34372,290.97012,80.29129,199.51556,,1538.90066,,,
2016,21253.39796,8252.67119,785.38874,1010.85452,1508.40389,1912.44402,268.37158,378.24408,79.73619,187.93606,,1070.85549,,,
2015,21462.54457,8867.53921,760.28463,1056.67491,1666.87755,1751.83901,319.56973,356.4866,90.82911,159.11319,,1012.54255,,,
2014,24934.31113,10596.2602,985.34664,1114.23548,2139.0129,2115.20408,401.27488,338.72513,132.31554,233.14897,1364.84604,1457.68392,192.32329,96.3453,3767.58876
2013,26702.85319,10861.68134,1033.20907,1082.87074,2389.42595,2550.82902,499.73155,423.08359,133.75327,278.71518,1414.53994,1871.82464,167.80563,96.31466,3899.06861
2012,26925.53229,10874.35682,999.46581,1082.13472,2465.6454,2620.74774,606.07306,416.39795,146.11157,275.58143,1454.63856,1813.94545,143.80688,97.5779,3929.049
2011,27296.49393,11246.68149,1020.05789,1127.87854,2482.84189,2619.41506,673.61866,463.95224,167.19473,310.52847,1312.87757,1719.37809,105.06331,118.99872,3928.00727
2010,25626.19217,10015.5128,939.53177,1209.86377,2451.46287,2484.32479,613.65243,454.9287,183.7345,340.40987,1193.52668,1746.65639,150.13592,100.94029,3741.51139
2009,23354.5,8478.19,839.52,1192.34,2374.12,2324.84,535.25,432.55,192.54,352.68,1172.47,1735.97,171.27,96.53,3456.24
2008,23360.31839,8360.28,860.08519,1162.35621,2373.85597,1930.91923,659.10638,436.22766,158.36357,413.53896,1147.95192,1994.15441,149.81103,112.15308,3601.51478
2007,21856.13106,7416.32316,865.49754,1158.31436,2328.88601,1727.51504,609.13179,403.27573,139.84862,516.54466,1112.32555,1671.98869,144.3998,101.77471,3660.30540000001
2006,20321.62,6728.49,822.34,1180.15,2160.23,1547.74,562.06,393.28,138.83,535.2,1020.52,1553.16,142.76,99.36,3437.5
2005,19346.12,6373.83,738.31,1184.95,1989.31,1385.78,544.42,362.94,133.01,536.06,1002.46,1655.1,98.75,103.82,3237.38
2004,18109.94,5712.98,661.51,1099.64,1789.64,1196.02,535.7,409.76,152.83,573.87,832.76,1634.93,89.87,98.43,3322.0
2003,16323.41,5055.4,637.89,1029.34,1655.45,1038.68,507.99,365.0,153.47,538.66,723.12,1366.51,73.34,100.31,3078.25
2002,15078.17,4638.86,487.55,973.16,1470.46,920.98,498.4,428.08,149.08,553.93,733.48,1145.0,83.61,95.25,2900.33
2001,14249.8,4276.04,419.76,899.96,1347.51,774.5,502.45,504.94,163.57,584.29,675.55,936.38,48.58,92.31,3023.96
2000,13336.06,3806.05,402.15,815.99,1244.45,616.46,472.65,493.15,167.39,588.08,611.86,1012.57,64.72,93.83,2946.71
