年份,国家铁路平均运距,国家铁路煤平均运距,国家铁路焦炭平均运距,国家铁路石油平均运距,国家铁路钢铁及有色金属平均运距,国家铁路金属矿石平均运距,国家铁路非金属矿石平均运距,国家铁路矿建材料平均运距,国家铁路水泥平均运距,国家铁路木材平均运距,国家铁路化肥和农药平均运距,国家铁路粮食平均运距,国家铁路棉花平均运距,国家铁路盐平均运距,国家铁路其他平均运距
2019,785,658,1059,739,876,511,580,324,371,770,,1981,,,
2018,808,659,1064,749,896,537,561,339,339,752,,1903,,,
2017,825,651,1060,779,934,560,507,334,348,780,,1974,,,
2016,802,626,1025,810,987,528,529,399,374,780,,1790,,,
2015,792,619,1007,842,1038,533,564,342,367,845,,1811,,,
2014,814.156832233725,645.599415140286,1027.52273908224,870.022578326868,1087.73928270144,576.218072926767,621.973307103316,284.862698460648,387.281053116837,1065.86259934932,1734.74979112019,1764.67203825186,3878.26211981552,629.143916361505,1772.37003113361
2013,830.275754672247,646.737845090842,1033.55308814539,850.527105029976,1107.76432596344,634.733743222475,687.986746222118,312.286152545088,374.808869663773,1122.41212921945,1696.14867133316,1791.7837601436,3843.51839169498,641.998138022188,1805.42881363211
2012,835,645,1070,855,1124,653,693,354,427,1131,1630.0,1817,3701.0,637.0,1738.72246435527
2011,832,653,1031,898,1090,669,708,373,460,1104,1580.0,1795,3810.0,700.0,1681.80844647424
2010,831,642,990,942,1093,652,705,362,521,1361,1459.0,1802,3779.0,732.0,1671.0
2009,845,639,982,952,1103,652,680,403,515,1425,1460.0,1749,3869.0,732.0,1667.65359845489
2008,853,622,980,917,1146,648,728,458,446,1409,1470.0,1739,3859.0,794.0,1674.30146862716
2007,837,607,928,912,1078,626,663,502,395,1385,1365.0,1597,3738.0,751.0,1584.23454583168
2006,832,601,931,926,1077,605,648,491,365,1484,1376.0,1536,3670.0,772.0,1573.0
2005,838,595,932,935,1134,625,661,464,383,1531,1400.0,1493,3486.0,807.0,1565.0
2004,834.709463912869,575.847192823304,920.169703714007,920.663094440723,1112.75259590872,619.090015011129,666.376414976987,526.345536287733,413.054054054054,1772.84522706209,1302.81602002503,1499.11058133138,3410.0,770.18779342723,1536.89567430025
2003,820,574,895,956,1083,574,639,476,420,1764,1278.0,1348,3366.0,794.0,1531.54385790338
2002,806.776568536176,566.737526266921,868.608587208267,944.907272550733,1041.18105218438,548.953925016392,609.58904109589,497.825328526573,414.571746384872,1759.06637027628,1234.39919219118,1382.51630041053,3440.74074074074,758.359872611465,1527.53462895665
2001,798,558,842,913,1045,517,591,515,416,1736,1206.0,1321,3017.0,759.0,1544.0
2000,806,555,851,869,1079,473,581,510,429,1712,1179.0,1276,2772.0,753.0,1590.0
