年份,中国向拉丁美洲出口总额,中国向安提瓜和巴布达出口总额,中国向阿根廷出口总额,中国向阿鲁巴岛出口总额,中国向巴哈马出口总额,中国向巴巴多斯出口总额,中国向伯利兹出口总额,中国向玻利维亚出口总额,中国向博内尔出口总额,中国向巴西出口总额,中国向开曼群岛出口总额,中国向智利出口总额,中国向哥伦比亚出口总额,中国向多米尼克出口总额,中国向哥斯达黎加出口总额,中国向古巴出口总额,中国向库腊索岛出口总额,中国向多米尼加共和国出口总额,中国向厄瓜多尔出口总额,中国向法属圭亚那出口总额,中国向格林纳达出口总额,中国向瓜德罗普岛出口总额,中国向危地马拉出口总额,中国向圭亚那出口总额,中国向海地出口总额,中国向洪都拉斯出口总额,中国向牙买加出口总额,中国向马提尼克岛出口总额,中国向墨西哥出口总额,中国向蒙特塞拉特出口总额,中国向尼加拉瓜出口总额,中国向巴拿马出口总额,中国向巴拉圭出口总额,中国向秘鲁出口总额,中国向波多黎各出口总额,中国向萨巴出口总额,中国向圣卢西亚出口总额,中国向圣马丁岛出口总额,中国向圣文森特和格林纳丁斯出口总额,中国向萨尔瓦多出口总额,中国向苏里南出口总额,中国向特立尼达和多巴哥出口总额,中国向特克斯和凯科斯群岛出口总额,中国向乌拉圭出口总额,中国向委内瑞拉出口总额,中国向英属维尔京群岛出口总额,中国向圣其茨-尼维斯出口总额,中国向荷属安地列斯群岛出口总额,中国向拉美其他国家(地区)出口总额
2019,15198282.786,7193.6357,688415.4384,3899.4192,35547.0072,15613.5079,11682.8558,85414.8191,1.0073,3553906.3912,3830.5754,1471183.8585,923414.9969,3374.9008,152133.2211,79092.6142,4179.7004,239042.7684,362857.4265,1745.9645,1458.9898,4611.5339,239967.0445,27291.4331,56083.4575,94046.0276,67070.4363,2659.8015,4638216.4507,41.9097,50207.1632,794450.0688,143211.7001,851308.2009,65875.7368,0.8711,2155.9712,658.3568,2129.15,100125.1496,23452.8148,36350.1691,302.4678,194899.0863,154007.5399,1036.1648,971.1865,1716.1246,1441.1171
2018,14877757.9,5536.0,841807.1,3237.0,48003.0,13673.1,9266.6,83616.9,63.6,3366487.2,10116.1,1587363.1,871765.0,3449.7,166273.4,107553.8,4104.9,210838.3,371783.1,1385.9,1314.6,4260.9,233289.2,22203.4,61590.1,98773.1,58331.9,2228.9,4400991.8,33.5,47399.5,694013.2,167104.7,806469.2,88293.1,0.7,1885.9,1320.7,3696.3,92722.4,21486.0,34712.8,300.7,206442.5,114579.0,3681.6,1153.9,2864.2,288.9
2017,13081617.2,4487.0,906721.1,2430.2,27849.3,10779.8,8724.7,72917.3,111.7,2895053.8,25697.2,1440984.9,743975.0,4912.8,149508.3,135704.2,2968.7,170294.8,296320.8,1581.3,1070.0,3759.9,195940.0,18863.8,53257.4,84482.0,51657.4,2715.9,3590538.7,22.1,62414.2,662696.9,156056.4,695886.5,59776.9,0.5,1591.7,954.7,4209.0,77255.2,17754.9,42989.1,271.5,215152.4,174640.5,1184.4,868.9,4432.6,146.9
2016,11393613.5,13344.9,720370.1,2529.2,35955.6,7243.1,8999.4,61055.4,66.9,2197927.0,16910.5,1280674.1,675611.8,3376.9,149529.6,178310.5,2314.7,156720.6,225802.6,1313.7,734.1,3358.4,185560.6,17836.1,45403.4,72067.3,50614.3,2363.8,3236742.2,34.0,62421.4,634408.6,116970.6,599156.3,59616.0,5.5,1694.9,681.7,1748.0,77233.1,13673.2,34636.4,90.9,177325.4,251953.6,3713.1,420.4,4937.2,155.6
2015,13209660.4,5307.0,880510.6,4827.8,158537.2,6519.7,7849.7,56884.6,34.7,2741222.5,6094.4,1329032.3,758079.3,3075.6,133067.7,188637.2,2760.9,155742.8,289141.6,1443.8,992.7,3316.4,205266.3,15894.8,43422.4,85379.2,62537.4,2455.1,3379175.5,49.3,66624.5,851888.3,126796.7,635497.4,76534.7,7.5,1829.2,1268.7,3711.8,72668.5,19920.5,47831.0,74.5,196056.5,531577.2,42417.7,1085.2,6367.6,232.2
2014,13622355.6962,17236.3379,767982.9417999999,5357.2288,74287.2954,7145.5431,9586.1219,70594.1353,28.709699999999998,3489013.4489,846.1499,1301750.1123,804333.4315000001,3703.9615,110953.8247,106246.53089999998,2562.8098999999997,127362.576,324513.9234,1294.3125,1486.4857,3651.1328000000003,186728.1383,16728.6279,39137.9244,68653.9344,52304.3589,2438.4918000000002,3225538.6103,41.6416,56813.365099999995,930738.9343000001,139624.45930000002,610084.7629,103669.9335,10.4751,2990.2666,597.5296000000001,3729.3995000000004,60189.325600000004,17686.5027,42797.749599999996,108.59200000000001,245849.03089999998,565742.1107,11497.3683,2666.2752,5989.3313,61.5425
2013,13396129.7,24548.2,875043.0,2132.5,33671.0,7021.0,12236.5,53146.9,3.5,3589547.1,1118.9,1310546.9,682603.7,2296.9,92697.7,137478.6,2009.7,104551.5,296684.6,1451.4,757.2,3031.2,147530.8,16013.8,32349.4,79903.7,62705.9,2361.3,2896630.0,15.1,52291.5,1099273.4,135650.0,618883.8,65745.5,123.4,1987.9,303.7,2523.2,52195.6,17403.2,32139.0,37.8,232360.3,606450.1,1106.8,1559.2,5952.9,54.4
2012,13521520.5,74697.7,786926.3,1624.4,59207.7,9611.2,5251.2,35191.5,5.3,3341956.1,11357.9,1259945.4,622925.0,2529.9,90175.8,117358.4,2614.8,102993.1,261399.6,1548.1,1986.9,3428.3,128366.6,19952.3,28370.8,105665.3,78609.7,2193.4,2751548.7,0.9,46678.7,1530604.2,133579.4,533248.1,65621.6,90.0,2878.5,218.9,2906.0,49052.8,18911.2,31218.0,29.6,241326.6,930420.2,15382.2,270.5,11563.7,
2011,12171929.905599998,65677.20259999999,850250.8228,1768.9297,55013.6746,14386.2602,4949.0722,38454.0298,3.3147,3183663.2654,2954.4857,1081672.5729,583884.2976,2648.9669,88452.3138,104364.9401,2008.9542,96739.0797,222360.6194,1286.2998,591.2234,3839.597,125397.4576,13260.848,30363.9341,42185.2727,37091.3287,2652.4132,2397587.8537999997,1.7888,42202.9098,1455581.0117000001,124805.0527,465327.717,55710.3549,26.9178,1015.1553,342.8597,7793.9358999999995,44999.2344,13618.4285,28655.764399999996,39.9755,200153.1976,652189.2435999999,15544.0036,438.4537,9925.2733,49.4256
2010,9179803.2,80616.1,611576.4,1161.6,62781.0,7135.7,4032.2,17298.3,3.1,2446049.5,1360.0,802462.7,381995.7,4089.2,68803.5,106689.8,1560.6,90433.8,149561.2,677.9,511.1,3088.5,101846.7,8347.0,25576.3,32214.2,23562.3,2382.0,1787265.3,1.1,29955.4,1195827.9,105060.4,354966.8,49431.5,,811.5,279.5,7371.5,36517.4,11395.1,29106.4,42.4,147757.5,364858.7,14179.8,266.9,8843.5,55.0
