年份,中国向欧洲出口总额,中国向比利时出口总额,中国向丹麦出口总额,中国向英国出口总额,中国向德国出口总额,中国向法国出口总额,中国向爱尔兰出口总额,中国向意大利出口总额,中国向卢森堡出口总额,中国向荷兰出口总额,中国向希腊出口总额,中国向葡萄牙出口总额,中国向西班牙出口总额,中国向阿尔巴尼亚出口总额,中国向安道尔出口总额,中国向奥地利出口总额,中国向保加利亚出口总额,中国向芬兰出口总额,中国向直布罗陀出口总额,中国向匈牙利出口总额,中国向冰岛出口总额,中国向列支敦士登出口总额,中国向马耳他出口总额,中国向摩纳哥出口总额,中国向挪威出口总额,中国向波兰出口总额,中国向罗马尼亚出口总额,中国向圣马力诺出口总额,中国向瑞典出口总额,中国向瑞士出口总额,中国向爱沙尼亚出口总额,中国向拉脱维亚出口总额,中国向立陶宛出口总额,中国向格鲁吉亚出口总额,中国向亚美尼亚出口总额,中国向阿塞拜疆出口总额,中国向白俄罗斯出口总额,中国向摩尔多瓦出口总额,中国向俄罗斯出口总额,中国向乌克兰出口总额,中国向斯洛文尼亚出口总额,中国向克罗地亚出口总额,中国向捷克出口总额,中国向斯洛伐克出口总额,中国向马其顿出口总额,中国向波黑出口总额,中国向梵蒂冈城国出口总额,中国向法罗群岛出口总额,中国向塞尔维亚出口总额,中国向黑山出口总额
2019,49974864.9271,1823431.8679,674986.091,6242502.4434,7978908.5186,3299102.5881,329417.0794,3351978.4047,155020.0562,7397879.5554,774011.5331,436643.8258,2689761.1895,60109.3182,255.3569,304777.1143,155478.7822,304448.6384,445.1103,647285.5061,11487.2033,5307.6287,115983.1724,3027.5515,344882.2425,2388010.7357,457343.8493,386.1037,853775.6003,454465.456,92232.4808,109358.5683,169764.4892,140174.8362,22309.3382,61639.1737,179906.92,12931.2171,4974848.651,739957.4556,341152.3282,139682.1033,1297304.2719,292382.4153,13482.702,11516.4881,14.6134,415.0653,103296.7143,11381.8914
2018,47459772.0,1705506.5,729174.9,5654297.7,7748934.2,3067291.1,364988.5,3317161.0,80557.2,7283469.4,649832.0,375019.8,2495224.9,53990.5,186.7,282753.7,144025.3,308576.4,275.7,654021.4,25557.7,5182.5,143199.8,12017.6,265099.5,2087621.2,450710.6,370.4,819085.9,401577.4,103150.7,116608.8,176295.5,109554.0,21318.4,51592.8,114158.9,10869.5,4796527.3,701850.2,442423.4,132716.2,1190958.3,253585.0,10574.4,10971.8,0.7,266.7,72830.1,17809.7
2017,42897539.5,1573812.1,651101.8,5671351.7,7113440.0,2766510.4,291262.9,2919996.2,70094.0,6713166.7,475138.1,344521.5,2291494.3,45403.4,127.1,252712.9,116904.7,284570.1,396.9,604934.5,11182.6,4623.1,209594.2,1325.6,248899.1,1787305.0,377796.0,555.2,702572.6,316049.9,100635.2,114824.2,160027.4,91261.9,14385.2,38697.1,93336.2,9791.6,4283060.0,504064.5,288693.0,115964.1,879297.0,272947.9,7804.1,7881.7,8.4,207.0,54563.9,13245.6
2016,38991655.3,1473612.4,541320.8,5572079.3,6525904.8,2468615.6,278037.2,2638835.3,125566.1,5745937.0,420269.0,400428.3,2132043.1,50672.0,130.7,224287.3,105653.6,287858.1,722.6,542516.5,13472.5,3725.0,156602.1,1326.3,260562.4,1510001.9,344871.5,479.2,631927.9,316930.0,96417.4,106272.4,129167.0,74543.7,11119.4,34600.2,109017.3,7681.2,3735576.7,422022.9,227025.8,101723.9,806174.9,286234.0,9013.8,6413.2,28.8,174.0,43224.2,10835.0
2015,40324061.2,1620831.3,615112.5,5956706.5,6915483.4,2674840.4,282316.1,2783441.0,232317.8,5945338.0,366498.0,289492.3,2185237.1,43019.1,128.5,249772.9,104325.9,354129.1,19691.1,519745.2,12502.2,2817.4,237997.1,808.7,285679.7,1434487.2,316224.0,430.1,709855.1,316715.9,95328.8,102250.6,121090.3,76867.5,11240.0,43914.5,74890.1,9995.5,3475687.7,351571.3,209173.5,98556.2,822613.2,279446.8,8653.2,5997.8,0.2,5915.7,41509.7,13414.7
2014,43882482.0046,1721640.5105,654783.1618,5714113.5496,7270304.8969,2870207.6131,280168.2298,2875639.7409,194875.3872,6492851.5588,418560.74950000003,313707.3216,2149727.8898,37826.975,220.38209999999998,239621.2239,117806.2014,509898.034,827.9815000000001,576416.5984,14375.937100000001,2138.341,319285.8677,1289.0882,273144.2111,1425679.8573999999,322317.7591,283.0014,716760.1148,308847.95019999996,114609.77760000002,131669.93540000002,165829.0764,90867.6,12280.906299999999,64525.2818,111059.4383,11520.4983,5367694.4136,510622.8655,199194.1939,102732.5028,799289.9362,282849.5793,7666.364100000001,28398.4316,0.258,187.8726,42456.3062,15706.6329
2013,40574398.4,1556017.8,571139.7,5094212.8,6734250.0,2671416.8,247716.7,2575266.0,180783.4,6031475.2,321897.6,250686.4,1892849.8,32459.6,224.4,203752.7,111698.4,583152.4,4158.1,569228.0,14664.2,1773.4,251456.6,2879.7,273711.5,1257487.5,282253.7,199.5,679906.1,351131.0,110982.0,137426.7,168617.8,86209.2,11985.0,86856.8,87216.0,11262.9,4959117.2,784922.5,183281.2,138994.3,683779.5,308443.7,6347.6,9132.8,,144.5,43191.2,8638.3
2012,39639909.1,1637658.5,653974.4,4629715.6,6921033.3,2689921.2,209834.5,2565343.2,195619.5,5889680.2,359316.6,250069.4,1823707.1,34390.5,2684.6,204022.7,105457.4,744055.3,11458.5,573797.3,9538.8,1523.9,224541.9,8249.6,301971.4,1238645.7,279717.8,148.5,641528.1,349223.6,123354.2,131270.9,163042.5,74015.8,11320.4,106982.8,91981.7,12394.2,4405595.6,732326.8,156664.1,129983.0,632304.4,242303.2,8875.0,4671.2,2.7,128.0,41287.6,14576.1
2011,41357107.9009,1897360.6576,644659.4335,4412166.0773,7640004.5668,2999885.1378,216608.5233,3369280.6199,159505.121,5949949.4794,394936.8486,280143.3742,1972125.0151,28148.2764,561.8994,222681.8752,100561.5637,664036.7339999999,2875.1966,680602.156,7658.0759,1332.4438,232958.5938,2272.5076,378587.1813,1093954.8802999998,345377.5011,183.0854,656686.0207999999,370022.7556,113085.4729,119294.6688,133510.17690000002,76106.9088,13572.2781,89261.8568,70513.4767,9749.0563,3890351.5146,714707.5079,167537.1443,154092.8563,766940.713,251259.9983,9181.0658,4143.4916,,40.6161,39635.3094,8998.1869
2010,35518797.0,1430210.5,518470.2,3876704.4,6804717.8,2765138.6,199205.7,3113944.4,98746.3,4970423.4,395889.3,251331.8,1817571.7,19927.8,337.2,185433.3,66090.6,549894.4,584.6,651831.4,7100.8,772.4,184491.0,1446.5,283632.1,943830.7,300446.2,550.8,570886.0,303115.2,67673.8,79416.0,98234.1,27493.2,11713.0,84615.6,79561.0,8052.3,2961207.4,556383.1,138556.0,134373.1,712151.7,195847.7,5278.3,3758.9,,146.6,34501.6,7108.3
