年份,中国向非洲出口总额,中国向阿尔及利亚出口总额,中国向安哥拉出口总额,中国向贝宁出口总额,中国向博茨瓦那出口总额,中国向布隆迪出口总额,中国向喀麦隆出口总额,中国向加那利群岛出口总额,中国向佛得角出口总额,中国向中非出口总额,中国向塞卜泰(休达)出口总额,中国向乍得出口总额,中国向科摩罗出口总额,中国向刚果(布)出口总额,中国向吉布提出口总额,中国向埃及出口总额,中国向赤道几内亚出口总额,中国向埃塞俄比亚出口总额,中国向加蓬出口总额,中国向冈比亚出口总额,中国向加纳出口总额,中国向几内亚出口总额,中国向几内亚比绍出口总额,中国向科特迪瓦共和国出口总额,中国向肯尼亚出口总额,中国向利比里亚出口总额,中国向利比亚出口总额,中国向马达加斯加出口总额,中国向马拉维出口总额,中国向马里出口总额,中国向毛里塔尼亚出口总额,中国向毛里求斯出口总额,中国向摩洛哥出口总额,中国向莫桑比克出口总额,中国向纳米比亚出口总额,中国向尼日尔出口总额,中国向尼日利亚出口总额,中国向留尼汪出口总额,中国向卢旺达出口总额,中国向圣多美和普林西比出口总额,中国向塞内加尔出口总额,中国向塞舌尔出口总额,中国向塞拉利昂出口总额,中国向索马里出口总额,中国向南非出口总额,中国向西撒哈拉出口总额,中国向苏丹出口总额,中国向坦桑尼亚出口总额,中国向多哥出口总额,中国向突尼斯出口总额,中国向乌干达出口总额,中国向布基纳法索出口总额,中国向刚果(金)出口总额,中国向赞比亚出口总额,中国向津巴布韦出口总额,中国向莱索托出口总额,中国向梅利利亚出口总额,中国向斯威士兰出口总额,中国向厄立特里亚出口总额,中国向马约特岛出口总额,中国向南苏丹共和国出口总额,中国向非洲其他国家(地区)出口总额
2019,11321443.2271,694178.2829,205572.7417,215251.8547,30145.857,6638.841,167016.9625,176.054,6416.6991,2566.0365,25.9937,27910.6802,7368.4891,43509.5402,220638.5569,1220070.5391,11320.4451,232349.9016,37726.1997,51248.0767,490325.6486,171742.9222,3193.8678,204156.9324,500926.6265,390225.4816,245159.2741,107254.644,26004.8133,43510.113,102591.8095,80638.9484,403454.4667,195769.5041,19817.3902,28733.509,1662261.502,17463.4087,26507.4997,892.0559,221102.2084,6564.6954,31354.0796,73138.1515,1654294.1878,7.195,228968.1192,381141.6296,213075.1253,136420.1748,74064.8831,26161.2964,207679.5634,97034.892,36880.4693,7203.3842,214.769,4248.3941,4854.2506,3917.2102,12224.2186,132.1602
2018,10489386.4,792645.4,225313.7,214994.8,28160.3,3732.4,169422.0,291.6,7826.6,1893.7,29.9,18458.5,7919.6,44596.1,186377.9,1198720.8,14514.6,253087.2,38585.8,42619.1,481394.8,135349.7,2983.2,189178.9,519720.1,195448.2,142823.3,101007.7,22160.2,34550.6,103685.8,80417.6,368091.3,186178.1,32371.1,11625.7,1340478.2,16365.7,16559.0,725.5,214285.1,6132.7,25302.2,63545.2,1624838.1,4.4,188040.2,358314.0,198924.5,141460.0,70639.6,22299.6,177324.8,96949.1,44567.6,6413.9,559.5,3640.2,4284.5,3656.0,7716.5,184.1
2017,9471762.2,678474.6,225745.3,192650.9,23270.0,4525.3,138861.1,333.6,6924.0,1296.2,30.4,11536.4,6775.8,49783.6,217541.0,948564.3,16621.8,266455.5,44619.1,39865.3,482479.7,123995.7,3372.4,169254.5,503465.0,210367.1,102797.0,100748.7,26194.4,33724.8,85915.4,76214.9,317622.6,130674.6,27214.1,9787.6,1215316.1,15351.6,12866.9,690.2,204071.3,4882.4,24243.1,47350.0,1480876.7,178.5,222176.0,311955.4,188634.6,132798.7,77736.7,18304.9,96998.3,70946.8,44381.9,6130.1,1031.9,3422.8,4294.7,4150.8,5194.2,74.6
2016,9227200.1,764811.2,168065.1,203949.7,20972.8,4506.4,155725.0,402.4,4869.8,1547.3,98.7,9358.7,4839.7,74068.2,214843.8,1043728.1,14829.2,321468.9,37724.0,31510.6,466703.1,114449.8,2125.3,158468.5,558800.3,159269.3,118475.5,94314.1,22828.3,36672.7,86973.9,75876.6,307918.0,130871.1,26868.6,10080.3,971532.8,17301.7,10860.3,640.5,219449.8,5572.8,24219.5,39195.8,1285352.2,18.9,212984.2,356711.7,191929.8,129612.7,82390.1,14109.3,99258.3,49021.7,38772.2,5471.9,1051.9,4246.2,6933.4,3826.4,4627.4,4093.5
2015,10854050.3,758334.7,371714.6,298907.3,22484.1,4008.9,183329.5,344.0,4330.0,1351.8,83.3,12355.0,4570.3,103542.2,198081.6,1195857.7,26139.0,344086.7,66541.5,33009.7,530887.8,127708.9,1748.3,155443.7,591431.6,135688.0,189201.7,86523.5,24596.2,27042.8,80137.3,84110.3,289718.4,193802.3,48991.5,17334.8,1370124.0,17204.3,12227.4,595.7,219053.2,5762.6,27656.1,29811.8,1585792.2,39.7,239450.3,427886.5,218016.6,123742.9,55340.0,12383.7,140867.8,55206.9,54332.3,8318.0,771.1,3056.7,13430.4,3815.3,15544.5,181.4
2014,10603474.8845,739517.7834,597499.6819,348597.9171,17614.9428,5160.2365,187757.8414,435.72079999999994,5122.343699999999,721.1752,49.5004,31771.0145,4068.5148,98452.5684,111218.1416,1046050.9601,35251.5328,292230.9224,43039.4094,35068.8473,413456.6463,110145.89739999999,1715.3183000000001,122007.88130000001,493062.72410000005,171133.2859,215761.2006,75267.81,15711.722899999999,29706.862800000003,75694.6574,74518.1893,296299.3198,196873.97890000002,54572.5066,24369.6273,1539342.4622,16192.3158,11498.5442,572.7717,165023.34180000002,4558.1781,16305.1716,20607.9161,1569914.5579,30.946800000000003,192869.3013,384356.6338,249191.2045,123577.8742,48656.895899999996,11797.193700000002,136218.29609999998,72566.5688,40380.1415,8876.095299999999,903.3591,2652.8388,8814.418300000001,1908.6137999999999,6607.8709,124.68889999999999
2013,9279936.5,602389.7,396405.9,299247.7,14825.2,5096.2,151467.9,317.4,6198.8,945.9,67.2,37189.3,2986.0,77929.3,101888.4,836267.5,35751.7,186846.6,43270.6,30852.1,394602.8,90747.6,1189.0,95579.5,321748.1,233575.0,283467.9,64296.1,21379.3,27463.9,59845.1,64870.1,327164.5,119929.3,48194.1,18394.1,1204261.3,13402.5,13410.9,486.2,99739.6,3867.0,15256.7,13376.1,1683077.6,1.0,239843.2,314070.2,244322.2,126315.9,45221.3,10338.7,94875.2,72969.2,41382.6,8982.9,753.7,2476.2,13795.7,7771.5,7508.7,40.6
2012,8531060.6,541665.6,403903.0,241366.2,18212.1,4646.0,106431.8,252.2,5749.0,1768.4,34.0,17277.8,1494.3,52109.8,90178.0,822399.2,36122.8,152948.3,42659.5,25751.3,479066.3,75385.1,1589.5,80390.7,278873.9,344655.0,238423.9,54241.4,24906.7,29023.2,45540.2,62017.1,313119.3,94088.7,43891.1,15849.2,929602.8,13973.5,9010.7,300.8,79397.3,3316.7,24918.8,10110.7,1532301.7,28.8,217862.0,208972.2,338310.3,139192.0,49514.4,7250.6,83748.6,69721.6,43049.0,9441.3,788.0,2892.0,5353.2,2339.6,,
2011,7308302.7816,447188.2142,278415.7882,287468.4516,61616.1511,4254.383,87410.8906,237.0359,4975.1685,1427.1013,8.7486,9480.3479,818.6019,48943.1142,50885.3299,728323.7864,26631.7114,88536.1446,26991.4912,29099.3539,310994.84530000004,63017.0425,1485.0937,54063.3271,236877.5109,496668.6794,72037.9163,50337.6232,11209.7469,29773.4843,38627.4767,49692.7164,304264.9431,70025.0891,28226.4528,14216.6981,920408.4275,14318.2088,6665.248,179.217,68036.0711,3500.9605,22483.375,9120.8549,1336230.5514,,199460.2401,165363.17309999999,183141.0255,111259.1243,35938.1703,5561.8684,82668.4606,61734.1817,41027.7768,7310.8508,393.7903,3068.5634,14815.597399999999,1120.979,132.2887,133.0772
2010,5995405.4,399999.9,200387.3,227367.8,36950.3,3336.1,54079.3,295.2,3433.5,2285.7,18.4,30849.1,1334.7,35370.9,44406.1,604096.8,45624.1,120961.5,20580.7,18678.4,193288.0,42134.8,943.4,54852.0,178630.3,439688.3,206130.8,39679.1,8007.7,22969.3,28496.8,39328.7,248477.4,49639.1,22954.2,27214.8,669684.4,12855.9,4999.3,205.4,49832.1,1485.6,9835.2,7223.2,1079986.2,2.7,195077.4,125312.8,133311.0,99489.3,25752.6,4795.6,47340.5,30167.6,31586.3,5936.3,375.9,2897.4,3880.0,682.4,,200.0
