年份,中国向亚洲出口总额,中国向阿富汗出口总额,中国向巴林出口总额,中国向孟加拉国出口总额,中国向不丹出口总额,中国向文莱出口总额,中国向缅甸出口总额,中国向柬埔寨出口总额,中国向塞浦路斯出口总额,中国向朝鲜出口总额,中国向中国香港出口总额,中国向印度出口总额,中国向印度尼西亚出口总额,中国向伊朗出口总额,中国向伊拉克出口总额,中国向以色列出口总额,中国向日本出口总额,中国向约旦出口总额,中国向科威特出口总额,中国向老挝出口总额,中国向黎巴嫩出口总额,中国向中国澳门出口总额,中国向马来西亚出口总额,中国向马尔代夫出口总额,中国向蒙古出口总额,中国向尼泊尔出口总额,中国向阿曼出口总额,中国向巴基斯坦出口总额,中国向巴勒斯坦出口总额,中国向菲律宾出口总额,中国向卡塔尔出口总额,中国向沙特阿拉伯出口总额,中国向新加坡出口总额,中国向韩国出口总额,中国向斯里兰卡出口总额,中国向叙利亚出口总额,中国向泰国出口总额,中国向土耳其出口总额,中国向阿联酋出口总额,中国向也门共和国出口总额,中国向越南出口总额,中国向中华人民共和国出口总额,中国向中国台湾出口总额,中国向东帝汶出口总额,中国向哈萨克斯坦出口总额,中国向吉尔吉斯斯坦出口总额,中国向塔吉克斯坦出口总额,中国向土库曼斯坦出口总额,中国向乌兹别克斯坦出口总额,中国向亚洲其他国家(地区)出口总额
2019,122067537.5977,59979.9484,148414.6634,1732328.6473,1091.0415,64986.5127,1231099.2449,798153.0879,58080.9891,257378.9925,27915248.9406,7482529.913,4564873.7002,958998.6041,946132.2795,961496.3788,14324451.7426,367791.6011,383631.9571,176245.3821,167959.9486,304487.2778,5214178.1876,34798.5885,182658.9978,148247.7643,302094.4207,1616692.1086,8214.4356,4076385.1931,240967.8189,2387650.5592,5479848.8296,11097441.0436,409060.6391,131380.7451,4558483.8927,1732370.4712,3341289.4763,281902.8984,9786888.2174,,5510930.9015,14294.8758,1272910.0679,628051.9944,159006.7934,43085.3257,503208.8425,133.6532
2018,118759869.1,66759.0,113552.2,1775305.9,1283.3,159194.8,1054777.1,600752.3,73812.4,221706.2,30202160.1,7667565.6,4319140.5,1393973.3,790332.4,927441.6,14704867.6,296948.5,331264.8,145399.5,196928.4,308918.5,4537598.7,39617.3,164488.9,107736.8,286461.1,1693331.7,7336.1,3503664.2,248241.4,1742803.6,4903662.5,10875614.4,425504.9,127277.2,4287871.7,1778859.5,2965124.8,187460.8,8387668.8,,4864305.5,13239.0,1135152.8,555679.3,142908.2,31692.5,394473.1,10.5
2017,109634007.3,54120.6,90251.9,1516902.1,623.8,63759.3,894846.4,478319.8,52430.7,324509.8,27921137.1,6804225.3,3475738.5,1858481.5,833041.5,891846.7,13725893.3,280360.9,311277.4,141935.1,201061.1,316894.9,4171227.7,29562.6,123561.2,96695.5,231645.3,1825078.9,6905.8,3206593.2,168233.0,1837500.8,4501930.0,10270377.7,408799.6,110281.4,3854172.7,1812150.8,2872396.5,164303.8,7161724.8,,4397853.3,13259.7,1156444.3,533680.8,130137.5,36811.7,274942.3,78.9
2016,104111685.1,43129.3,79079.8,1430222.8,484.5,51102.6,818868.1,393015.5,46235.7,308054.0,28725302.1,5841534.4,3212612.7,1641866.1,754817.6,818105.5,12941000.3,295482.5,300178.5,98709.8,210071.4,314117.5,3767177.5,32094.0,98863.7,86626.9,214809.0,1723446.4,5930.9,2984266.6,151636.5,1865528.1,4451166.7,9372895.4,428832.9,91534.6,3719508.4,1668951.1,3007252.6,169240.7,6110412.8,,4024120.3,16431.6,829258.9,560545.5,172509.7,33847.9,200755.1,50.6
2015,114009975.1,36182.0,101184.6,1389470.8,811.6,140740.9,965091.1,376339.1,58966.9,294291.7,33046278.7,5822802.7,3434196.5,1777010.7,790922.9,861594.9,13561644.3,342440.3,377267.1,122575.8,228553.0,459057.8,4398038.7,17264.8,157070.1,83270.5,211639.3,1644188.8,6924.5,2667079.1,227564.1,2161292.8,5194244.0,10128638.4,430404.5,102257.3,3829080.4,1860784.1,3702016.4,142996.8,6601702.0,,4489246.9,10453.0,844124.1,428212.3,179538.8,81546.9,222876.1,96.9
2014,118838071.429,39355.9251,123178.1672,1178227.2267,1111.5913,174681.4598,936764.6906999999,327473.7955,103757.6197,351965.1278,36307714.3714,5421742.1728,3905960.5523999995,2433848.6489999997,774384.1287,773910.5565000001,14939134.0472,336453.121,342872.4738,183947.508,260486.0826,359285.7678,4635338.7874,10399.0109,221638.1986,228357.92930000002,206538.0888,1324448.1938,7550.671799999999,2347357.7223,225401.11370000002,2057524.1927,4891117.476299999,10033345.081,379279.7469,98437.05870000001,3428922.7963,1930545.761,3903450.7148999996,220131.40899999999,6373001.4143,,4627662.483200001,6034.1649,1270984.9378,524251.97359999997,246823.634,95428.1603,267821.3964,24.2761
2013,113406962.1,32825.9,123892.9,970508.7,1740.5,170377.6,733868.9,340950.7,97173.0,363007.5,38449489.1,4843241.1,3693048.7,1403664.5,689408.8,764530.4,15013244.7,343455.5,267550.9,172257.7,249083.1,317078.6,4593059.1,9741.4,244959.2,221088.7,190084.4,1101959.6,9067.7,1986812.5,171090.8,1873981.4,4583186.5,9116495.1,343654.9,69015.2,3271790.4,1774699.1,3341129.5,213881.7,4858629.8,,4063404.8,4738.6,1254512.4,507534.6,186936.4,113764.4,261335.5,9.8
2012,100681185.7,46404.9,120278.1,796991.3,1560.4,125243.8,567371.2,270811.0,109332.1,353240.0,32343062.4,4767751.2,3428337.5,1159745.0,491182.0,698813.4,15162183.4,295863.8,208918.4,93414.3,169193.9,270821.2,3652528.2,7648.8,265350.4,196816.4,181157.6,927539.3,4067.4,1673133.3,120509.9,1845234.7,4074187.2,8767767.9,300109.2,118944.4,3119620.4,1558456.2,2956832.1,195509.9,3420811.4,,3677742.9,6247.4,1100072.8,507336.7,174787.0,169911.7,178333.9,
2011,89903809.2737,23000.9966,88001.1827,781057.1736999999,1738.1997,74439.3812,482149.74620000005,231481.0078,112340.5121,316472.66949999996,26798307.6978,5053709.0355,2921723.7461,1476209.0994,382465.13420000003,674079.8405,14827049.0867,251272.402,212841.4638,47626.9903,145839.3031,235527.2911,2788598.4786,9712.2449,273164.1566,118122.5863,99817.6839,843970.716,4781.539,1425538.1704,119875.7273,1484970.7392,3557013.4961,8292006.2303,298872.4221,242024.1006,2569475.438,1561357.4672,2681284.9085,110428.1308,2909014.1613000003,,3510894.2177,7043.2762,956652.9532999999,487828.86600000004,199677.76059999998,78416.2543,135924.244,11.3445
2010,73195484.2,17526.5,79950.3,678882.2,158.6,36760.9,347552.4,134734.2,134778.8,227728.2,21830205.3,4091495.6,2195356.5,1109199.4,358976.9,503705.0,12104348.9,188890.0,184859.2,48362.3,131945.3,214080.1,2380204.2,6347.6,144976.2,73125.7,94449.7,693759.6,2600.8,1154026.0,85544.4,1036644.1,3234723.0,6876626.3,199484.9,244297.2,1974107.7,1194203.9,2123533.9,122385.9,2310154.1,,2967448.9,4283.2,932006.9,412751.3,137650.1,52511.7,118102.4,37.6
