年份,中国向北美洲出口总额,中国向加拿大出口总额,中国向美国出口总额,中国向格陵兰出口总额,中国向百慕大群岛出口总额,中国向北美洲其他国家(地区)出口总额
2019,45563627.6434,3693195.8466,41866407.9283,100.7837,3689.4203,233.6645
2018,51372292.1,3515324.3,47839581.3,397.4,16929.8,59.3
2017,46124082.0,3137545.5,42973037.8,249.3,13202.4,47.1
2016,41284093.7,2733884.8,38527100.5,57.1,23024.9,26.3
2015,43900169.7,2942264.2,40921389.7,8.1,36482.7,25.0
2014,42625672.5735,3000367.8663,39606255.0339,77.75800000000001,18872.7506,99.16470000000001
2013,39781517.5,2921668.8,36840640.4,16.3,19003.5,188.4
2012,38011009.5,2812479.6,35177679.2,44.7,20775.7,
2011,35007506.4384,2526610.281,32445335.9001,53.5288,35501.601,5.1275
2010,30584270.7,2221613.4,28328655.2,51.6,33936.8,13.6
2009,23855383.0,1767458.0,22080222.0,34.0,7643.0,25.0
2008,27427243.285299998,2179587.6535,25238355.4584,141.0344,9154.0068,5.1322
2007,25211508.7961,1935568.5428,23267655.2164,55.923,8199.2233,29.8906
2006,21911386.200600002,1551671.9006999999,20344841.5081,49.4525,14781.7445,41.5948
2005,17466840.0,1165367.0,16289075.0,167.0,12223.0,8.0
2004,13323048.3,816117.9,12494202.8,45.2,12669.8,12.6
2003,9813121.0,563218.0,9246677.0,56.9,3163.4,5.4
2002,7426926.0,430346.0,6994579.0,14.0,1959.0,27.0
2001,5764093.0,334609.0,5428269.0,43.0,1109.0,63.0
2000,5527351.0,315784.0,5209922.0,,,
