年份,艺术表演场馆机构数,国有艺术表演场馆机构数,集体艺术表演场馆机构数,其他艺术表演场馆机构数,执行事业会计制度艺术表演场馆机构数,执行企业会计制度艺术表演场馆机构数,文化部门艺术表演场馆机构数,其他部门艺术表演场馆机构数,剧场机构数,影剧院数,书场、曲艺场机构数,杂技、马戏场机构数,音乐厅机构数,综合性艺术表演场馆数,其他艺术表演场馆数,中央艺术表演场馆机构数,省、区、市艺术表演场馆机构数,地、市艺术表演场馆机构数,县、市及以下艺术表演场馆机构数
2019,2716,1172,20,1524,891,1825,,,977,615,56,15,115,332,606,7,124,351,2234
2018,2478,1205,20,1253,921,1557,,,1130,610,32,8,44,287,367,7,118,357,1996
2017,2455,1228,20,1207,945,1510,,,1084,627,29,8,40,303,364,7,117,372,1959
2016,2285,1244,21,1020,964,1321,,,966,627,20,4,40,303,325,7,117,375,1786
2015,2143,1243,21,879,963,1180,,,853,639,24,3,53,273,298,7,113,376,1647
2014,1338,1222,20,96,950,388,,,576,604,9,2,13,101,33,7,110,369,852
2013,1344,1227,20,97,964,380,,,575,612,10,2,13,101,31,7,108,367,862
2012,1279,1419,24,921,1033,1331,1279.0,1085.0,985,776,32,8,40,289,234,7,128,443,1786
2011,1429,1438,84,434,1159,797,1429.0,527.0,703,802,36,8,34,242,131,7,179,427,1343
2010,1461,1519,129,464,,,1461.0,651.0,711,885,39,10,36,282,149,5,190,419,1498
2009,1499,,,,,,,,,,29,10,24,236,166,,,,
2008,1662,,,,,,,,952,776,16,5,25,105,65,,,,
2007,1732,,,,,,,,956,904,,,28,95,87,,,,
2006,1839,,,,,,,,831,881,,,22,48,57,,,,
2005,1866,,,,,,,,770,996,,,20,35,45,,,,
2004,1928,,,,,,,,,,20,2,19,,,,,,
2003,1900,,,,,,,,,,19,3,13,,,,,,
2002,1829,,,,,,,,,,19,2,14,,,,,,
2001,1854,,,,,,,,,,20,1,18,,,,,,
2000,1900,,,,,,,,,,20,3,12,,,,,,
