年份,艺术表演场馆从业人数,国有艺术表演场馆从业人数,集体艺术表演场馆从业人数,其他艺术表演场馆从业人数_x,执行事业会计制度艺术表演场馆从业人数,执行企业会计制度艺术表演场馆从业人数,文化部门艺术表演场馆从业人数,其他部门艺术表演场馆从业人数,剧场从业人数,影剧院从业人数,书场、曲艺场从业人数,杂技、马戏场从业人数,音乐厅从业人数,综合性艺术表演场馆从业人数,其他艺术表演场馆从业人数_y,中央艺术表演场馆从业人数,省、区、市艺术表演场馆从业人数,地、市艺术表演场馆从业人数,县、市及以下艺术表演场馆从业人数
2019,64507,19039,164,45304,13328,51179,,,25549,8477,945,1345,2973,12071,13147,213,5400,7792,51102
2018,51478,20226,164,31088,14216,37262,,,25602,9061,565,849,1085,8390,5926,204,5331,8190,37753
2017,53765,20440,180,33145,14569,39196,,,25841,9309,589,474,1556,10590,5406,238,5010,9046,39471
2016,51296,21029,263,30004,15028,36268,,,24578,9577,117,502,1090,10022,5410,275,4696,9420,36905
2015,46734,22826,233,23675,16294,30440,,,23170,10192,357,244,983,7119,4669,253,5154,9608,31719
2014,25709,21872,244,3593,15908,9801,,,11560,10121,156,38,471,2863,500,232,4310,9113,12054
2013,26036,22011,233,3792,16430,9606,,,11280,10437,136,46,474,3213,450,176,4362,9283,12215
2012,52231,25759,204,26268,16812,35419,25076.0,27155.0,25012,13287,783,249,1462,7536,3902,199,4792,14824,32416
2011,42407,27411,619,14377,20292,22115,26480.0,15927.0,15705,14021,332,544,1457,7134,3214,142,7263,12570,22432
2010,42387,29056,822,12509,,,25280.0,17107.0,16109,14597,366,236,1779,6442,2858,56,7661,10816,23854
2009,46436,,,,,,,,,,230,650,4312,5406,3362,,,,
2008,42049,,,,,,,,16946,14026,93,173,707,4158,5946,,,,
2007,39770,,,,,,,,17833,16465,,,825,2547,2100,,,,
2006,34945,,,,,,,,15370,16435,,,563,1580,997,,,,
2005,35678,,,,,,,,14157,19176,,,473,1334,538,,,,
2004,35464,,,,,,,,,,108,98,485,,,,,,
2003,37123,,,,,,,,,,209,166,334,,,,,,
2002,37471,,,,,,,,,,171,8,488,,,,,,
2001,40007,,,,,,,,,,167,75,490,,,,,,
2000,42177,,,,,,,,,,198,74,718,,,,,,
