年份,艺术表演场馆艺术演出观众人次,国有艺术表演场馆艺术演出观众人次,集体艺术表演场馆艺术演出观众人次,其他艺术表演场馆艺术演出观众人次_x,执行事业会计制度艺术表演场馆艺术演出观众人次,执行企业会计制度艺术表演场馆艺术演出观众人次,文化部门艺术表演场馆艺术演出观众人次,其他部门艺术表演场馆艺术演出观众人次,剧场艺术演出观众人次,影剧院艺术演出观众人次,书场、曲艺场艺术演出观众人次,杂技、马戏场艺术演出观众人次,音乐厅艺术演出观众人次,综合性艺术表演场馆艺术演出观众人次,其他艺术表演场馆艺术演出观众人次_y,中央艺术表演场馆艺术演出观众人次,省、区、市艺术表演场馆艺术演出观众人次,地、市艺术表演场馆艺术演出观众人次,县、市及以下艺术表演场馆艺术演出观众人次
2019,67850,24690,380,42780,17435.76,50420,,,32010,11750,890,2120,3280,11610,6200,780,8520,9140,49420
2018,58620,24820,280,33520,18420.0,40200,,,32410,8100,630,2130,2490,9510,3340,820,8280,8560,40960
2017,32342.2,26640.08,234.93,5467.19,18830.23,13511.97,,,16422.71,6921.18,100.82,95.5,2582.07,5335.97,883.96,672.95,8778.83,10861.73,12028.69
2016,30980.52,26222.45,310.13,4447.94,18196.63,12783.89,,,15925.47,6568.6,128.88,98.6,2010.4,5299.05,949.52,414.48,8541.12,10343.63,11681.29
2015,28536.29,24793.07,475.44,3267.78,17817.42,10718.87,,,15616.48,6471.71,143.6,98.5,1604.33,4311.26,290.44,267.58,8435.11,9464.27,10369.35
2014,25982.67,22164.45,269.39,3548.85,14981.37,11001.3,,,14199.72,5827.69,153.64,87.5,1221.2,4209.07,283.86,542.08,7292.95,8926.84,9220.82
2013,26624.45,22544.07,316.6,3763.78,15790.0,10830,,,13954.23,6722.68,127.6,85,1378.64,4099.04,257.29,431,7507.41,8594.64,10091.42
2012,61187.36,27850.06,285.89,33051.41,16295.78,44891.58,21916.64,39270.72,37917.39,7523.83,907.45,657.01,1742.88,9418.65,3020.14,373.07,8949.67,15996.57,35868.05
2011,47566.5,31190.49,699.79,15676.22,21320.5,26246,26857.75,20708.75,25872.51,9805.83,599.26,794.53,2338.69,6029.39,2126.28,411.28,15962.48,10281.97,20910.77
2010,54709,37162,1443,16104,,,31653.0,23056.0,24893,12638,842,1979,2687,9317,2353,290,16718,13549,24152
2009,53692,35917,2121,15654,,,32067.0,21625.0,24376,14949,783,1827,1978,6542,3237,303,14557,12635,26197
2008,44288,37170,1372,5746,,,32111.0,12177.0,22289,10257,234,1526,1633,7209,1140,240,11876,11221,20951
2007,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
