省份编码,省份,年份,地方财政一般预算收入(亿元),地方财政税收收入(亿元),地方财政国内增值税(亿元),地方财政营业税(亿元),地方财政企业所得税(亿元),地方财政个人所得税(亿元),地方财政资源税(亿元),地方财政固定资产投资方向调节税(亿元),地方财政城市维护建设税(亿元),地方财政房产税(亿元),地方财政印花税(亿元),地方财政城镇土地使用税(亿元),地方财政土地增值税(亿元),地方财政车船税(亿元),地方财政耕地占用税(亿元),地方财政契税(亿元),地方财政烟叶税(亿元),地方财政其他税收收入(亿元),地方财政非税收入(亿元),地方财政专项收入(亿元),地方财政行政事业性收费收入(亿元),地方财政罚没收入(亿元),地方财政国有资本经营收入(亿元),地方财政国有资源(资产)有偿使用收入(亿元),地方财政其他非税收入(亿元)
110000,北京市,2019,5817.0994,4822.9802,1820.898,,1228.53,544.1642,32.6319,,234.9845,354.428,87.7141,20.0291,225.3701,32.9174,3.2312,225.1901,,3.291,994.1192,424.3174,64.8621,76.0041,152.1033,171.4102,105.4221
110000,北京市,2018,5785.9176,4988.8302,1801.4341,,1287.7443,728.4633,27.2254,,245.5792,299.5218,86.2588,19.6511,209.1273,31.2316,2.8182,245.2984,,,797.0874,496.7593,57.4068,53.6365,0.1237,136.0977,53.0634
110000,北京市,2017,5430.7875,4676.6807,1671.9016,,1229.8016,643.1967,1.0812,,225.407,273.1073,89.9989,19.9185,288.9857,33.099,2.7198,197.4634,,,754.1068,462.3018,65.6814,49.1856,,120.4235,56.5145
110000,北京市,2016,5081.26,4452.97,1214.34,584.41,1095.23,571.26,0.75,,221.64,198.22,80.52,19.18,177.34,32.44,3.34,254.29,,0.01,628.29,375.16,55.37,45.66,,103.32,15.27
110000,北京市,2015,4723.86,4263.91,716.12,1186.13,1024.73,478.12,0.91,,204.36,152.06,68.69,17.88,174.86,25.27,4.54,210.23,,,459.95,283.39,64.38,55.78,-64.99,89.08,32.32
110000,北京市,2014,4027.1609,3861.2922,646.6927,1068.6441,915.844,383.5236,0.7814,,187.2354,140.2182,61.3292,17.7551,214.3286,27.7198,4.6892,192.5241,,0.0068,165.8687,103.3812,53.8976,38.6713,-94.7864,55.3131,9.3919
110000,北京市,2013,3661.1097,3514.5169,574.89,1034.7918,802.1152,333.8449,0.8237,,177.4052,122.5418,52.2207,16.339,187.2363,25.8199,8.9964,177.492,,,146.5928,95.5599,41.6928,34.488,-60.2398,32.7574,2.3345
110000,北京市,2012,3314.934,3124.7503,313.9994,1152.7384,752.4673,281.4872,0.8033,,160.3445,110.7208,44.7062,16.2569,132.0657,22.2935,10.2719,126.5845,,0.0107,190.1837,87.9974,45.8964,43.0571,-30.5024,36.0494,7.6858
110000,北京市,2011,3006.28,2854.63,237.76,1071.51,683.71,272.9,0.34,,145.65,99.4,39.67,16.07,121.29,18.58,11.57,136.17,,,151.65,79.39,43.61,33.75,-29.88,20.64,4.14
110000,北京市,2010,2353.9301,2251.59,210.0089,855.4046,513.0941,215.33,0.37,,80.0,83.83,32.14,16.13,85.86,14.92,10.19,134.27,,0.06,102.34,48.16,39.84,22.93,-27.79,14.39,4.82
110000,北京市,2009,2026.8089,1913.9702,179.732,752.5977,430.422,177.8368,0.4171,,71.2794,73.9811,32.2307,15.753,54.164,10.9906,11.4108,103.155,,,112.8387,44.0123,36.6618,19.4785,-23.5242,25.4906,10.7197
110000,北京市,2008,1837.3238,1775.5757,158.3363,651.7767,497.5151,171.3327,0.3624,0.0253,63.947,63.8422,23.7773,15.4399,34.6672,10.2317,1.3541,82.9678,,,61.7481,40.8569,25.8364,21.246,-33.9853,6.4898,1.3043
110000,北京市,2007,1492.638,1435.6708,134.8424,601.058,309.3437,135.1997,0.3146,,56.6323,51.7527,17.7726,14.6499,24.3401,8.165,1.3045,80.295,,0.0003,56.9672,37.4795,30.4527,21.3263,,,-32.2913
110000,北京市,2006,1117.1514,,117.7984,460.9912,213.8573,102.2754,0.3052,0.0015,45.1704,43.2935,13.5456,4.0022,5.6692,3.5137,1.5204,64.8741,,,,35.4845,22.8257,20.784,,,
110000,北京市,2005,919.2098,,97.5976,383.7623,164.7615,84.5232,0.2855,0.0006,38.8336,35.2058,10.887,3.2986,2.3831,3.1744,0.7405,60.6775,,,,32.9862,24.5235,18.842,,,
110000,北京市,2004,744.4874,,83.1922,333.1645,121.6973,73.3357,0.2466,0.0312,34.7203,31.9733,8.9476,3.2732,1.8496,2.8544,1.8363,43.6836,,,,27.7055,21.6127,13.2182,,,
110000,北京市,2003,592.5388,588.96,75.2553,263.6946,93.7007,57.2106,0.2848,0.0631,28.8542,30.7915,7.3524,3.2911,3.0689,2.5763,1.7589,20.3975,,,,21.5243,18.124,10.2177,,,
110000,北京市,2002,533.99,539.87,66.6884,227.7893,102.4446,61.2931,0.2876,0.2387,24.9144,25.1121,7.8327,3.2944,1.3971,2.2384,1.0399,16.868,,,,18.5259,14.9064,9.355,,,
110000,北京市,2001,454.1676,475.0,58.9957,181.3472,89.9075,79.5167,0.2431,1.1745,20.5316,21.434,6.7447,3.0975,0.1874,1.7423,0.4271,12.6297,,,,13.6227,8.4182,8.6547,,,
110000,北京市,2000,344.9968,372.79,45.9557,149.0539,61.6582,56.3847,0.2213,2.1388,17.3539,19.0116,4.7729,2.886,0.5284,1.4553,0.6972,13.375,,,,10.1923,7.1791,7.3001,,,
120000,天津市,2019,2410.41,1634.3537,727.1307,,323.9093,96.4671,12.8217,,108.6962,77.4391,32.9652,15.9454,102.8237,13.0977,4.6039,112.9591,,1.1941,776.0563,157.8342,34.4855,138.2052,227.7801,130.102,87.6493
120000,天津市,2018,2106.2397,1624.8898,698.4563,,319.5326,129.7754,11.3364,,106.185,76.1969,36.7825,16.8824,99.9175,11.5256,9.1092,105.6131,,,481.3499,227.647,48.4683,45.2456,3.4729,78.6367,77.8794
120000,天津市,2017,2310.3552,1611.9575,654.5425,,310.1395,116.5121,2.5584,,97.2582,76.4468,36.3437,18.5876,126.5957,11.1453,10.8239,151.0038,,,698.3977,293.7715,181.0154,35.7772,7.6418,82.0528,98.139
120000,天津市,2016,2723.5,1624.22,455.8,252.34,278.46,96.78,1.69,,98.19,72.18,35.31,23.47,120.41,10.47,8.02,171.1,,,1099.28,204.54,170.9,31.78,32.76,404.95,225.83
120000,天津市,2015,2667.11,1578.07,252.04,501.41,260.0,81.76,2.1,,96.17,71.81,34.19,25.07,139.99,10.53,10.41,92.59,,,1089.05,161.5,208.99,22.4,27.85,449.44,218.87
120000,天津市,2014,2390.3518,1486.8789,252.9156,478.4737,234.9142,71.9826,2.7647,,88.9781,65.8632,30.9443,25.1863,117.039,9.9101,11.5095,96.3976,,,903.4729,44.6902,236.4654,18.2084,53.1851,355.7869,195.1369
120000,天津市,2013,2079.0716,1310.662,225.8759,425.1683,204.3808,58.3088,3.6213,,84.6059,48.5255,29.1614,22.7502,81.8886,9.9686,16.198,100.2084,,0.0003,768.4096,59.9751,238.1246,16.3953,28.5636,253.3475,172.0035
120000,天津市,2012,1760.0201,1105.5625,149.8748,400.904,187.6982,49.563,2.6703,,71.1678,40.0196,23.843,17.2079,58.7883,8.7417,15.5483,79.5356,,,654.4576,59.9564,186.2756,15.4993,40.9136,260.6975,91.1152
120000,天津市,2011,1455.13,1004.51,141.32,352.86,182.95,52.01,0.73,,64.44,30.61,21.65,12.7,47.44,5.78,11.98,80.05,,,450.62,34.48,183.88,13.58,25.05,150.79,42.84
120000,天津市,2010,1068.8093,776.65,119.1975,283.8717,125.8896,42.96,0.56,,37.4,25.28,17.8,11.71,24.39,4.39,12.33,70.87,,,292.16,20.73,141.29,8.8,7.08,83.37,30.89
120000,天津市,2009,821.9916,614.2718,99.0817,223.6211,95.5594,35.6579,0.6877,,28.7017,22.3618,15.1803,11.1642,15.6659,3.4088,12.7789,50.4009,,,207.7198,16.4356,100.6928,8.1565,23.75,42.7671,15.9178
120000,天津市,2008,675.6186,546.2605,109.6841,179.8513,103.7025,32.1681,0.7554,,26.0574,19.2058,11.9725,10.4238,6.6079,3.725,1.7953,40.3114,,,129.3581,14.9369,78.5734,6.9379,-2.07,22.2495,8.7304
120000,天津市,2007,540.439,438.3644,94.8117,146.3822,76.4129,29.3615,0.5765,,23.3306,14.6712,7.451,5.499,5.6015,1.2639,1.2689,31.7237,,0.0098,102.0746,13.4613,72.2168,7.8833,,,8.5132
120000,天津市,2006,417.0479,,80.6681,115.9176,53.4939,21.2141,0.5004,0.0128,19.2174,12.6191,4.9909,1.1,3.5894,1.1601,0.4932,27.9686,,,,10.9381,53.5075,8.9009,,,
120000,天津市,2005,331.8507,,64.2377,96.4545,41.4157,18.8224,0.4679,0.0051,15.8763,10.304,3.8301,1.0124,0.3555,0.8791,0.8255,16.3175,,,,8.9995,45.8474,6.7835,,,
120000,天津市,2004,246.18,201.64,52.7313,78.3942,32.1246,15.9822,0.354,0.0,13.0921,8.0947,3.0489,0.8711,0.0,0.7008,1.0698,12.3768,,,,7.214,29.4509,6.5998,,,
120000,天津市,2003,204.5295,177.56,45.1925,64.3231,23.8022,12.5347,0.3755,0.0091,10.7987,7.1989,2.0708,0.751,,0.6262,1.2474,8.2543,,,,6.0031,14.7274,5.9786,,,
