省份编码,省份,年份,地方财政一般预算支出(亿元),地方财政一般公共服务支出(亿元),地方财政外交支出(亿元),地方财政国防支出(亿元),地方财政公共安全支出(亿元),地方财政教育支出(亿元),地方财政科学技术支出(亿元),地方财政文化体育与传媒支出(亿元),地方财政社会保障和就业支出(亿元),地方财政医疗卫生支出(亿元),地方财政环境保护支出(亿元),地方财政城乡社区事务支出(亿元),地方财政农林水事务支出(亿元),地方财政交通运输支出(亿元),地方财政资源勘探电力信息等事务支出(亿元),地方财政商业服务业等事务支出(亿元),地方财政金融监管支出(亿元),地方财政地震灾后重建支出(亿元),地方财政国土资源气象等事务支出决策数(亿元),地方财政住房保障支出支出(亿元),地方财政粮油物资储备管理等事务(亿元),地方财政国债还本付息支出(亿元),地方财政其他支出(亿元)
110000,北京市,2019,7408.1876,499.4297,,9.7359,540.617,1137.1772,433.4167,279.3242,972.9767,534.4127,308.8057,1074.613,584.6243,401.5949,163.8573,31.9526,16.3261,,23.2989,96.8444,13.5069,68.7814,109.6352
110000,北京市,2018,7471.4332,512.4003,,9.6155,516.4224,1025.507,425.8712,245.4299,835.653,490.0949,399.4452,1246.2151,576.0413,462.9944,231.6907,51.751,15.1466,,25.047,131.9972,12.6861,62.2419,134.715
110000,北京市,2017,6824.5284,493.2429,,9.9621,467.9874,964.6184,361.7581,208.9568,795.3805,427.867,458.4403,1034.1398,518.3464,446.4768,155.2449,53.7305,12.9261,,24.1135,147.9999,12.0366,49.7287,111.8892
110000,北京市,2016,6406.77,367.2,,8.51,358.79,887.37,285.78,198.35,716.2,397.95,363.38,1120.37,443.55,353.48,194.67,56.15,11.3,,19.51,322.09,11.07,36.33,212.72
110000,北京市,2015,5737.7011,300.12,,7.81,319.75,855.67,287.8,188.5,700.48,370.52,303.26,995.39,424.78,295.63,167.05,58.85,12.8,,30.51,104.69,20.74,11.83,258.45
110000,北京市,2014,4524.669,272.2329,,8.4875,279.777,742.0541,282.7117,163.9031,509.0079,322.2919,213.3553,567.3982,343.668,214.5513,158.5941,39.8966,4.0861,,31.8202,66.9595,5.6359,8.4935,271.7166
110000,北京市,2013,4173.6563,297.1203,,9.0553,255.8233,681.1775,234.6742,154.7082,469.1317,276.1274,138.1672,510.6691,297.6191,231.7948,183.3182,41.8145,3.542,,32.3266,48.4769,5.6765,5.2677,281.5493
110000,北京市,2012,3685.3076,286.5685,,7.8658,236.8679,628.651,199.9444,141.3733,424.3122,256.0626,113.537,430.756,222.6932,243.7624,165.3222,38.288,3.0005,0.3078,16.0066,44.7926,5.7289,4.2411,200.2264
110000,北京市,2011,3245.23,261.38,,6.59,218.68,520.08,183.07,87.01,354.88,225.49,94.51,339.27,187.34,199.12,170.35,41.06,2.09,0.39,9.88,54.56,5.14,,284.34
110000,北京市,2010,2717.3174,239.5705,,4.7,180.94,450.2155,178.9154,79.363,275.8992,186.8247,60.8541,294.3,158.64,154.99,,,,14.22,,,,,208.64
110000,北京市,2009,2319.3658,212.2099,,5.2864,161.3774,365.6677,126.3072,74.7524,234.2924,166.627,54.0459,347.8192,142.0063,147.0666,,,,18.0953,,,,,131.4826
110000,北京市,2008,1959.2857,196.2664,,2.21,160.4616,316.2957,112.1886,61.1138,209.3285,145.0513,35.4688,199.8383,121.7736,80.3461,,,,11.2461,,,,,191.6518
110000,北京市,2007,1649.5023,179.5578,,2.4756,133.795,263.0041,90.742,53.6194,179.2806,118.9527,29.5827,187.43,102.5106,33.0894,,,,,,,,,172.8609
110000,北京市,2006,1296.8389,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2005,1058.3114,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2004,898.2756,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2003,734.8043,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2002,628.3496,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2001,559.1063,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2000,442.9969,,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2019,3555.7052,225.8652,,1.9538,213.2644,467.63,109.9332,46.4052,550.9765,197.8608,242.2857,797.4655,161.5128,80.9993,176.7594,50.9654,4.7107,,17.6106,84.7706,7.8915,55.0582,11.314
120000,天津市,2018,3103.1579,231.0622,,2.5984,236.5294,448.1946,106.6828,52.9248,505.4591,192.7573,66.4557,561.4365,165.7067,82.838,173.8461,51.2252,3.6039,,27.3069,92.2135,8.4517,42.8519,27.1937
120000,天津市,2017,3282.5404,209.0239,,3.5895,207.417,434.5894,115.9874,57.936,459.5807,182.0989,110.2158,882.3533,158.3633,87.6925,123.5037,53.4398,5.5159,,21.9159,64.0811,5.8152,30.0222,53.1967
120000,天津市,2016,3699.43,192.2,,3.66,177.4,502.49,125.18,57.16,377.92,203.23,65.63,1146.48,161.02,111.52,220.8,40.91,3.05,,57.4,116.23,7.11,18.59,99.34
120000,天津市,2015,3232.3507,178.3,,1.02,157.87,507.44,120.82,51.73,314.77,195.02,73.1,922.16,156.08,98.88,204.3,50.38,3.67,,21.8,46.82,7.81,6.75,101.84
120000,天津市,2014,2884.6993,158.0759,,1.157,139.3114,517.0063,108.9967,47.872,259.5635,161.3271,57.9312,823.6995,134.9089,94.9487,183.0964,26.2435,2.9326,,25.2425,15.5694,5.5997,,114.6119
120000,天津市,2013,2549.2061,144.733,,1.6156,126.1764,461.3571,92.8087,44.5317,229.2803,128.9387,48.437,723.0344,123.0282,90.0244,136.8014,29.4004,3.0227,,21.1232,14.9853,5.4669,,118.4951
120000,天津市,2012,2143.2125,136.546,,1.5991,111.922,378.7491,76.4529,35.8482,201.1728,105.9134,38.4869,590.2605,100.9766,87.214,106.6783,29.2134,2.8124,,20.0748,9.5802,5.1125,,99.7726
120000,天津市,2011,1796.33,117.81,,1.01,100.41,302.32,60.17,29.76,168.34,90.53,32.24,485.42,91.78,97.37,75.86,20.55,1.92,,25.31,20.82,2.18,,72.54
120000,天津市,2010,1376.8395,98.0718,,0.88,84.92,229.5648,43.253,24.2788,137.7424,70.0719,27.099,355.29,67.14,46.95,,,,8.14,,,,,49.74
120000,天津市,2009,1124.2778,110.5867,,1.017,73.4905,173.6062,33.9953,19.8073,115.899,54.2235,13.3551,261.0739,63.6906,49.4369,,,,6.8284,,,,,62.1935
120000,天津市,2008,867.7245,95.9055,,0.5631,65.8481,141.6985,28.653,18.012,105.7164,41.9156,10.9789,185.0121,38.5397,14.156,,,,7.2885,,,,,37.3338
