年份,京哈线货物周转量,京广线货物周转量,京沪线货物周转量,京九线货物周转量,京包线货物周转量,滨洲线货物周转量,滨绥线货物周转量,大秦线货物周转量,石太线货物周转量,石德线货物周转量,北同蒲线货物周转量,南同蒲线货物周转量,包兰线货物周转量,新石线货物周转量,太焦线货物周转量,焦柳线货物周转量,胶济线货物周转量,陇海线货物周转量,沪昆线货物周转量,宝成线货物周转量,南昆线货物周转量,成昆线货物周转量,兰新线货物周转量,青藏线货物周转量
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
2014,476.62045,1171.26231,753.77504,905.86215,656.97157,533.36906,124.83635,2652.4891,224.61178,181.99467,370.83778,251.19858,374.66361,558.55841,95.19919,777.45304,291.12624,1441.69427,1134.38957,227.94141,283.25307,346.08749,1566.44582,237.79767
2013,509.90417,1400.80279,864.07865,1024.58278,735.2316,586.91642,148.01931,2564.87556,231.28562,181.24129,356.00546,256.28488,427.76176,636.21907,97.24662,834.49926,297.86171,1597.41903,1269.503,207.2767,286.32687,366.33705,1575.00212,212.4318
2012,545.48,1366.34,909.32,1061.76,681.43,621.42,182.58,2482.01,230.41,195.18,337.66,252.65,435.27,636.26,97.06,856.54,325.9,1600.0,1355.26,218.95,309.65,357.64,1461.23,211.16
2011,585.94,1404.06,902.06,1118.81,770.55,577.84,206.3,2478.98,236.41,194.14,293.97,251.62,450.39,633.21,94.2,869.22,332.14,1567.89,1409.35,218.26,317.61,357.74,1383.83,176.21565
2010,553.92,1302.22,781.29,1129.33,899.24,509.61,201.13,1452.68,216.12,176.11,264.27,244.52,513.72,604.43,115.18,828.82,304.5,1541.42,1415.46,209.69,321.34,357.54,1205.63,155.57
2009,549.56,1252.68,786.15,1074.69,736.57,444.93,187.41,1127.02,213.77,179.02,213.85,228.8,473.51,561.27,104.92,831.97,258.22,1493.99,1342.11,261.12,305.67,373.52,1085.78,140.91
2008,639.16,1354.89,802.25,1121.8,694.03,409.8,222.56,1336.57,208.88,164.72,207.99,246.25,417.01,563.9,103.95,809.74,236.68,1436.76,1300.14,255.05,293.73,394.24,1110.42,124.6
2007,794.95,1352.54,910.97,1094.07,653.36,386.56,200.27,1669.13,233.71,172.3,207.55,224.5,407.94,496.21,100.55,818.85,238.85,1305.82,1343.64,264.6,303.3,370.68,993.62,95.22
2006,,1416.16,,960.49,600.77,363.88,195.1,1314.46,237.54,166.47,,,374.03,442.02,,,211.76,1162.42,,261.65,,339.16,1000.75,64.47
2005,,1404.66,,893.99,559.23,314.51,202.75,1073.7,237.9,160.9,,,341.1,424.64,,,191.01,1165.95,,269.89,,317.89,916.87,75.35
2004,351.31,1430.11,,667.96,586.49,274.71,190.47,871.2,219.47,132.69,,,303.74,273.06,,,197.15,1147.53,,247.9,,305.16,758.61,70.54
2003,,1337.99,,575.38,596.45,230.73,174.68,677.27,226.36,114.23,,,280.33,204.72,,,250.15,1098.57,,227.31,,287.73,682.75,61.89
2002,,1311.96,,619.19,570.77,211.81,163.84,596.98,213.01,116.64,,,266.81,189.72,,,252.82,1000.27,,223.86,,270.28,633.48,54.73
2001,,1316.58,,582.58,516.5,195.98,161.92,524.24,200.14,104.69,,,,163.26,,,235.08,952.25,,197.46,,245.67,607.72,
2000,,1247.93,,545.65,471.22,191.44,152.36,445.98,190.61,111.19,,,,137.93,,,209.7,869.15,,155.82,,209.98,569.7,
