年份,京沪线旅客周转量,新石线旅客周转量,沪昆线旅客周转量,鹰厦线旅客周转量,京九线旅客周转量,京广线旅客周转量,石太线旅客周转量,石德线旅客周转量,焦柳线旅客周转量,京包线旅客周转量,包兰线旅客周转量,北同蒲线旅客周转量,南同蒲线旅客周转量,陇海线旅客周转量,宝中线旅客周转量,兰新线旅客周转量,兰青、青藏线旅客周转量,宝成、成渝线旅客周转量,襄渝线旅客周转量,南昆线旅客周转量,成昆线旅客周转量,京哈线旅客周转量
2019,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,
2014,613.16,,902.61033,28.87902,715.23545,1215.82857,69.02322,49.34472,149.0504,50.28228,58.84836,24.97654,45.64927,666.8407,,364.87696,77.32494,128.77841,174.70792,,62.48589,526.97648
2013,582.31875,,908.83767,45.45648,678.4897,1193.09102,58.39578,45.00926,153.58927,108.36955,55.96875,28.55437,59.43695,664.5485,,369.23139,75.46569,130.38402,171.97302,,71.97122,499.22588
2012,565.56707,28.98339,857.37272,54.08188,647.1326,1308.30796,9.54653,38.69001,153.53544,80.46686,51.94247,30.10481,61.82543,649.95001,23.30208,348.22268,69.35828,130.04372,166.26195,43.30004,76.4037,528.15013
2011,665.33526,25.64644,874.30393,60.22534,662.13933,1356.74807,9.5723,38.13466,160.35055,91.2046,51.18491,29.61719,63.43663,648.86809,23.2641,329.15961,68.73028,131.33608,165.20735,45.88549,79.62326,543.37138
2010,804.21,22.41,802.29,55.74,642.08,1277.52,5.43,33.92,144.66,108.67,51.99,29.58,62.63,664.97,25.05,275.38,62.16,125.95,150.33,22.3,54.71,486.35
2009,764.23108,21.48934,766.33752,62.12828,600.56927,1247.73098,8.69887,31.88371,128.78862,99.7123,48.17238,26.65825,57.87241,613.78958,22.92219,251.15373,55.16601,126.80316,137.92245,38.63003,61.5984,452.46477
2008,778.03286,21.44277,789.45484,69.95051,606.24557,1255.87417,21.42152,33.83162,126.08567,95.81422,45.50307,22.6171,57.81126,593.70346,21.08527,240.41175,45.54545,129.99948,145.65362,40.19839,61.59901,429.59192
2007,699.63,20.43803,722.71,68.08149,560.28348,1195.75873,20.95125,32.55901,112.33722,88.61799,41.71313,18.87262,52.74064,556.52685,19.49339,233.16017,50.72727,144.4739,140.70718,38.06314,64.54219,402.14204
2006,710.8497,22.93207,455.54634,74.08791,465.9194,1140.19633,17.61151,18.43583,102.39502,82.99041,43.77778,12.9764,39.82696,509.41722,17.10091,239.35023,25.89994,111.00479,69.58579,11.20354,65.66868,367.58977
2005,684.39,17.84,409.34,65.83,403.28,926.43,19.39,25.12,90.23,75.5,34.18,14.52,44.81,460.54,16.3,191.08,21.49,133.56,120.17,8.91,58.15,369.26
2004,602.39,16.21,392.82,65.73,378.53,967.95,21.36,22.14,98.41,72.75,31.55,13.45,45.14,417.56,16.51,180.17,21.63,124.32,123.75,7.54,54.83,351.31
2003,485.16,12.09,332.62,59.84,328.49,862.03,16.63,17.13,82.24,61.71,22.77,13.28,37.58,345.21,15.18,155.88,18.73,107.52,103.36,6.25,46.52,362.25
2002,506.48,11.76,329.75,61.88,330.28,887.17,19.06,17.08,93.64,64.52,25.12,12.88,36.15,338.38,14.59,161.49,18.65,108.93,102.51,6.29,47.6,423.58
2001,,10.34,732.32,,226.93,798.44,21.44,15.32,,62.33,,,,348.21,,148.72,,,,,50.28,
2000,,9.3,274.99,,191.28,806.59,20.04,14.0,,54.71,,,,327.19,,141.02,,,,,44.43,
