年份,高技术产业研究与试验发展机构数(大中型工业企业口径),医药制造业高技术产业研究与试验发展机构数(大中型工业企业口径),化学药品制造高技术产业研究与试验发展机构数(大中型工业企业口径),中成药制造高技术产业研究与试验发展机构数(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展机构数(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展机构数(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展机构数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展机构数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展机构数(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展机构数(大中型工业企业口径)
2019,6331,,,,,,,,,,,,,,,,,,,
2018,6399,,,,,,,,,,,,,,,,,,,
2017,7018,,,,,,,,,,,,,,,,,,,
2016,6456,,,,,,,,,,,,,,,,,,,
2015,5572,,,,,,,,,,,,,,,,,,,
2014,4763,,,,,,,,,,,,,,,,,,,
2013,4583,,,,,,,,,,,,,,,,,,,
2012,4566,,,,,,,,,,,,,,,,,,,
2011,3254,,,,,,,,,,,,,,,,,,,
2010,3184,929.0,526.0,248.0,77.0,122.0,1439.0,296.0,25.0,37.0,333.0,505.0,142.0,101.0,213.0,46.0,110.0,481.0,86.0,395.0
2009,2845,849.0,477.0,234.0,70.0,111.0,1251.0,239.0,29.0,29.0,287.0,480.0,122.0,65.0,217.0,55.0,124.0,417.0,78.0,339.0
2008,2534,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,1619,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,1379,,,,,,,,,,,,,,,,,,,
