年份,高技术产业研究与试验发展人员全时当量(大中型工业企业口径),医药制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),化学药品制造高技术产业研究与试验发展人员全时当量(大中型工业企业口径),中成药制造高技术产业研究与试验发展人员全时当量(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展人员全时当量(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展人员全时当量(大中型工业企业口径)
2019,63.9,,,,,,,,,,,,,,,,,,,
2018,66.10084,,,,,,,,,,,,,,,,,,,
2017,59.02875,,,,,,,,,,,,,,,,,,,
2016,58.02478,,,,,,,,,,,,,,,,,,,
2015,59.0,,,,,,,,,,,,,,,,,,,
2014,57.3,,,,,,,,,,,,,,,,,,,
2013,55.9,,,,,,,,,,,,,,,,,,,
2012,52.6,,,,,,,,,,,,,,,,,,,
2011,42.6718,,,,,,,,,,,,,,,,,,,
2010,39.90749,5.52338,3.72907,1.0459,0.53742,2.82491,21.1512,9.85103,0.44251,0.21298,3.19289,4.7274,2.14216,0.58224,6.85095,2.22249,4.16107,3.55704,0.73033,2.82671
2009,32.0033,5.1108,3.1457,1.1766,0.5186,2.3034,18.3062,8.5735,0.3768,0.3073,3.2278,3.49,1.4945,0.8363,3.5427,1.7075,1.6366,2.7401,0.5523,2.1878
2008,28.5079,4.0192,2.4797,1.0524,0.2717,1.9346,17.223,9.2972,0.2813,0.2364,2.0508,2.4912,2.0256,0.8405,3.1052,1.4232,1.4994,2.226,0.3485,1.8775
2007,24.8228,3.0778,1.9302,0.742,0.2769,2.7182,14.2408,7.4887,0.3233,0.2492,1.8728,2.3168,1.775,0.2152,2.9712,1.4995,1.0267,1.8148,0.3468,1.468
2006,18.898654,2.539104,1.667061,0.574755,0.170642,2.737386,9.781573,4.857268,0.34787,0.150194,1.431753,1.657691,1.14243,0.194367,2.459128,1.307935,1.11711,1.381463,0.235352,1.146111
2005,17.3161,1.958438,1.257375,0.497577,0.153351,2.986993,9.509124,4.967883,0.18095,0.173964,1.52112,1.367232,1.15731,0.140665,1.748375,0.745181,0.894266,1.113208,0.126246,0.986962
2004,12.083003,1.393072,0.489578,0.371021,0.123516,2.402559,6.051443,3.005647,0.16584,0.073514,0.895372,0.728469,1.151241,0.03136,1.357764,0.576924,0.467528,0.878165,0.142075,0.73609
2003,12.7847,1.7518134,0.6529003,0.4884151,0.1146547,2.8165327,6.164336,2.9052715,0.1709993,0.0251087,0.7486179,1.002527,1.060004,0.2518076,1.2393462,0.6537374,0.4346535,0.8128227,0.0840275,0.7287952
2002,,1.8287,0.8532,0.4522,0.1401,3.6112,4.9675,2.6129,0.2122,0.0563,0.6328,0.652,0.5729,0.2284,0.6602,0.2131,0.3205,0.7852,0.0994,0.6858
2001,,1.5229409,0.6030849,0.382345,0.166542,3.209629,4.9250215,2.4719542,0.341409,0.031971,0.5398674,0.5480258,0.6584239,0.3333702,0.6701834,0.2510995,0.3873968,0.8312511,0.0636602,0.7675909
2000,9.1573,,,,,,,,,,,,,,,,,,,
