年份,私营工业企业流动资产合计,煤炭开采和洗选业私营工业企业流动资产合计,石油和天然气开采业私营工业企业流动资产合计,黑色金属矿采选业私营工业企业流动资产合计,有色金属矿采选业私营工业企业流动资产合计,非金属矿采选业私营工业企业流动资产合计,开采辅助活动私营工业企业流动资产合计,其他采矿业私营工业企业流动资产合计,农副食品加工业私营工业企业流动资产合计,食品制造业私营工业企业流动资产合计,酒、饮料和精制茶制造业私营工业企业流动资产合计,烟草制品业私营工业企业流动资产合计,纺织业私营工业企业流动资产合计,纺织服装、服饰业私营工业企业流动资产合计,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业流动资产合计,木材加工和木、竹、藤、棕、草制品业私营工业企业流动资产合计,家具制造业私营工业企业流动资产合计,造纸和纸制品业私营工业企业流动资产合计,印刷和记录媒介复制业私营工业企业流动资产合计,文教、工美、体育和娱乐用品制造业私营工业企业流动资产合计,石油加工、炼焦和核燃料加工业私营工业企业流动资产合计,化学原料和化学制品制造业私营工业企业流动资产合计,医药制造业私营工业企业流动资产合计,化学纤维制造业私营工业企业流动资产合计,橡胶和塑料制品业私营工业企业流动资产合计,非金属矿物制品业私营工业企业流动资产合计,黑色金属冶炼和压延加工业私营工业企业流动资产合计,有色金属冶炼和压延加工业私营工业企业流动资产合计,金属制品业私营工业企业流动资产合计,通用设备制造业私营工业企业流动资产合计,专用设备制造业私营工业企业流动资产合计,汽车制造业私营工业企业流动资产合计,铁路、船舶、航空航天和其他运输设备私营工业企业流动资产合计,电气机械和器材制造业私营工业企业流动资产合计,计算机、通信和其他电子设备制造业私营工业企业流动资产合计,仪器仪表制造业私营工业企业流动资产合计,其他制造业私营工业企业流动资产合计,废弃资源综合利用业私营工业企业流动资产合计,金属制品、机械和设备修理业私营工业企业流动资产合计,电力、热力生产和供应业私营工业企业流动资产合计,燃气生产和供应业私营工业企业流动资产合计,水的生产和供应业私营工业企业流动资产合计
2019,164720.63,2592.7,9.25,958.15,392.3,704.09,99.78,2.06,7462.53,2438.81,1604.29,13.52,5871.32,3009.83,1849.26,1791.24,1933.85,2157.4,1365.41,2468.36,5767.53,9622.85,4170.63,1554.15,6009.32,13881.54,9117.2,5826.7,8467.18,9477.86,9072.14,7210.8,2095.66,15944.02,13028.76,2051.07,364.24,955.08,101.31,2617.34,474.27,186.84
2018,149298.64,2263.5,5.2,887.4,440.9,598.6,56.8,2.8,6550.3,2094.3,1549.5,15.0,5317.3,2763.1,1396.3,1540.7,1459.7,1708.8,1103.6,2148.2,4142.1,9327.6,3128.6,1254.5,4895.7,9984.2,6697.8,4409.5,7359.5,7582.7,7372.5,6675.6,2020.2,12147.5,10374.5,1858.1,302.1,680.8,62.1,1773.6,288.0,115.8
2017,127828.04,2179.95,5.97,888.18,605.95,603.36,35.43,2.57,6499.19,2004.49,1590.82,9.61,5342.63,2851.44,1396.59,1572.95,1457.45,1715.21,1099.31,2135.58,3612.58,9111.51,2833.84,1144.55,5142.82,9818.27,6443.06,4383.12,6428.43,7278.11,6779.78,5937.44,2069.84,11570.91,8546.13,1805.86,322.17,587.74,60.8,1579.52,272.76,102.11
2016,120053.62,2252.28,5.45,1191.28,565.51,641.21,41.74,3.41,6783.45,1813.74,1541.58,8.59,5739.41,2960.94,1483.16,1658.43,1288.81,1594.16,1070.29,2133.78,3063.89,8644.35,2554.34,1046.73,4881.06,9020.18,5693.32,4666.67,6334.36,6635.33,6402.87,5455.1,2262.38,10148.17,6783.43,1445.09,313.31,514.85,58.74,1050.49,191.5,110.26
2015,114893.16,2477.31,7.31,1377.21,609.66,607.84,44.22,3.07,6676.77,1725.66,1485.8,10.27,5808.6,3014.53,1444.83,1641.4,1187.46,1561.05,994.04,2204.6,2832.7,8560.89,2364.8,1146.87,4368.97,8809.89,5634.16,4733.57,6014.9,6616.6,5846.71,4915.63,2070.11,9360.81,5404.75,1302.79,310.15,478.91,52.4,881.44,219.02,85.44
2014,108457.83,2763.96,9.09,1526.73,599.38,563.43,40.49,3.11,6182.55,1597.43,1349.27,11.47,5848.06,2876.24,1435.23,1535.35,1112.07,1560.74,933.03,2036.21,2835.3,8084.01,2157.91,1141.49,4179.21,8469.16,6122.43,4605.52,5833.77,6286.19,4924.92,3916.25,1981.89,8867.67,4253.94,1210.64,275.6,490.27,58.07,586.25,140.22,53.26
2013,99272.0,2836.95,7.98,1493.52,580.78,494.87,28.21,2.29,5486.28,1481.46,1275.91,10.54,5579.63,2593.26,1310.58,1363.94,986.29,1495.24,861.03,1648.49,2849.21,7419.48,1877.69,1167.77,3718.07,7336.39,6481.19,4329.85,5379.3,5757.83,4360.15,3205.99,1778.02,8075.36,3535.07,1090.21,243.4,410.51,60.95,494.44,106.95,56.93
2012,81049.07,2442.78198,5.69659,1171.49951,476.99504,368.67249,18.81157,2.4321,4127.50911,1273.64159,874.36197,6.38943,4806.73308,2264.19304,1096.99999,1090.8881,830.35804,1311.49017,648.94019,1209.269,2249.29764,5823.20962,1453.09828,1065.09351,2991.52308,5824.90365,5589.76811,3228.75689,4490.50606,4808.17992,3413.97262,2877.43924,1622.2343,7061.85544,2422.9474,1010.49649,193.55585,302.84734,68.9225,374.8539,98.38726,49.5592
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
