年份,私营工业企业应收账款净额,煤炭开采和洗选业私营工业企业应收账款净额,石油和天然气开采业私营工业企业应收账款净额,黑色金属矿采选业私营工业企业应收账款净额,有色金属矿采选业私营工业企业应收账款净额,非金属矿采选业私营工业企业应收账款净额,开采辅助活动私营工业企业应收账款净额,其他采矿业私营工业企业应收账款净额,农副食品加工业私营工业企业应收账款净额,食品制造业私营工业企业应收账款净额,酒、饮料和精制茶制造业私营工业企业应收账款净额,烟草制品业私营工业企业应收账款净额,纺织业私营工业企业应收账款净额,纺织服装、服饰业私营工业企业应收账款净额,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业应收账款净额,木材加工和木、竹、藤、棕、草制品业私营工业企业应收账款净额,家具制造业私营工业企业应收账款净额,造纸和纸制品业私营工业企业应收账款净额,印刷和记录媒介复制业私营工业企业应收账款净额,文教、工美、体育和娱乐用品制造业私营工业企业应收账款净额,石油加工、炼焦和核燃料加工业私营工业企业应收账款净额,化学原料和化学制品制造业私营工业企业应收账款净额,医药制造业私营工业企业应收账款净额,化学纤维制造业私营工业企业应收账款净额,橡胶和塑料制品业私营工业企业应收账款净额,非金属矿物制品业私营工业企业应收账款净额,黑色金属冶炼和压延加工业私营工业企业应收账款净额,有色金属冶炼和压延加工业私营工业企业应收账款净额,金属制品业私营工业企业应收账款净额,通用设备制造业私营工业企业应收账款净额,专用设备制造业私营工业企业应收账款净额,汽车制造业私营工业企业应收账款净额,铁路、船舶、航空航天和其他运输设备私营工业企业应收账款净额,电气机械和器材制造业私营工业企业应收账款净额,计算机、通信和其他电子设备制造业私营工业企业应收账款净额,仪器仪表制造业私营工业企业应收账款净额,其他制造业私营工业企业应收账款净额,废弃资源综合利用业私营工业企业应收账款净额,金属制品、机械和设备修理业私营工业企业应收账款净额,电力、热力生产和供应业私营工业企业应收账款净额,燃气生产和供应业私营工业企业应收账款净额,水的生产和供应业私营工业企业应收账款净额
2019,48769.69,495.97,1.12,136.75,61.79,187.68,51.55,1,1354.63,489.85,286.95,3.81,1560.57,803.32,573.47,524.18,518.35,652.68,514.96,606,1360.67,2490.8,1060.63,263.93,2101.35,5601.15,1074.16,1282.93,2931.71,3376.82,2940.64,2526.21,679.99,5752.56,4622.09,691.55,115.45,190.71,38.49,722.72,78.15,42.38
2018,41768.39,398.6,0.7,140.1,80.6,142.6,21.1,0.7,1172.2,430.8,290.1,4.7,1349.5,688.3,436.1,392.5,359.3,529.4,395.6,578.1,495.3,2191.6,802.2,197.8,1628.0,3664.5,700.8,873.3,2369.5,2580.5,2334.3,2278.9,641.6,4798.4,3584.0,640.1,92.6,157.8,21.3,451.6,44.8,23.9
2017,35237.08,373.17,1.34,126.77,92.65,134.34,19.92,0.53,1144.51,421.0,304.95,3.1,1312.94,715.76,413.03,372.88,330.31,536.22,379.92,603.42,388.67,2051.51,688.76,189.01,1589.27,3362.71,883.89,923.13,1957.19,2453.62,2145.53,2072.49,593.5,4368.85,2872.88,718.6,96.07,121.95,19.54,389.79,42.85,20.5
2016,32257.5,415.77,0.66,179.27,104.58,143.12,20.05,0.54,1208.63,379.61,290.63,2.0,1390.17,738.69,440.87,359.91,282.98,472.4,345.9,582.54,385.8,1991.87,603.24,178.61,1440.35,2998.52,881.75,964.75,1819.87,2172.97,1946.33,1727.01,611.05,3840.71,2373.62,477.67,87.71,118.8,20.75,218.98,21.29,17.52
2015,30628.35,494.39,0.59,200.12,102.86,142.65,22.29,0.6,1138.63,353.76,263.46,2.22,1381.56,729.79,417.44,347.76,259.66,467.4,313.33,721.31,372.52,2017.88,548.53,208.25,1275.33,2883.28,918.99,937.13,1711.36,2127.54,1848.79,1569.92,581.34,3435.15,2000.39,439.48,88.64,95.44,18.24,150.4,26.49,13.43
2014,27805.4,512.18,0.97,234.64,99.33,125.28,21.02,0.41,1046.41,328.77,240.87,4.69,1329.01,692.61,420.95,320.54,234.98,435.01,288.41,651.98,466.45,1893.2,488.26,201.03,1206.58,2593.47,990.47,869.37,1642.13,1984.0,1503.59,1103.68,546.93,3119.16,1470.87,401.42,83.61,99.79,19.64,106.71,17.84,9.15
2013,24676.23,519.54,1.58,242.13,90.34,104.92,16.84,0.51,909.42,276.03,206.13,2.55,1240.62,614.05,374.09,280.18,203.72,427.7,268.06,466.95,339.84,1678.78,422.47,193.8,1071.98,2207.56,895.52,800.24,1457.29,1851.27,1324.29,964.08,489.87,2868.61,1227.78,352.55,75.51,88.17,18.94,77.54,14.38,10.4
2012,19819.71446,435.73688,0.66092,199.91403,67.82952,79.22841,7.87567,0.37798,715.17127,234.35931,150.16534,2.0254,1048.89866,549.48708,307.28542,222.34634,166.74569,371.30986,194.38729,285.16451,267.68646,1308.41628,328.64939,159.49454,854.10728,1693.93437,787.52724,632.09803,1226.97014,1479.16794,996.73797,806.92747,437.70315,2470.62732,799.1709,315.19925,55.06409,55.49036,22.82655,62.46787,10.90617,9.57211
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
