年份,私营工业企业主营业务收入,煤炭开采和洗选业私营工业企业主营业务收入,石油和天然气开采业私营工业企业主营业务收入,黑色金属矿采选业私营工业企业主营业务收入,有色金属矿采选业私营工业企业主营业务收入,非金属矿采选业私营工业企业主营业务收入,开采辅助活动私营工业企业主营业务收入,其他采矿业私营工业企业主营业务收入,农副食品加工业私营工业企业主营业务收入,食品制造业私营工业企业主营业务收入,酒、饮料和精制茶制造业私营工业企业主营业务收入,烟草制品业私营工业企业主营业务收入,纺织业私营工业企业主营业务收入,纺织服装、服饰业私营工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业私营工业企业主营业务收入,家具制造业私营工业企业主营业务收入,造纸和纸制品业私营工业企业主营业务收入,印刷和记录媒介复制业私营工业企业主营业务收入,文教、工美、体育和娱乐用品制造业私营工业企业主营业务收入,石油加工、炼焦和核燃料加工业私营工业企业主营业务收入,化学原料和化学制品制造业私营工业企业主营业务收入,医药制造业私营工业企业主营业务收入,化学纤维制造业私营工业企业主营业务收入,橡胶和塑料制品业私营工业企业主营业务收入,非金属矿物制品业私营工业企业主营业务收入,黑色金属冶炼和压延加工业私营工业企业主营业务收入,有色金属冶炼和压延加工业私营工业企业主营业务收入,金属制品业私营工业企业主营业务收入,通用设备制造业私营工业企业主营业务收入,专用设备制造业私营工业企业主营业务收入,汽车制造业私营工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备私营工业企业主营业务收入,电气机械和器材制造业私营工业企业主营业务收入,计算机、通信和其他电子设备制造业私营工业企业主营业务收入,仪器仪表制造业私营工业企业主营业务收入,其他制造业私营工业企业主营业务收入,废弃资源综合利用业私营工业企业主营业务收入,金属制品、机械和设备修理业私营工业企业主营业务收入,电力、热力生产和供应业私营工业企业主营业务收入,燃气生产和供应业私营工业企业主营业务收入,水的生产和供应业私营工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,381034.44,4512.8,16.3,1805.21,1406.61,2533.24,57.01,15.89,29101.95,8353.83,5806.63,14.84,19711.6,9923.07,6302.8,9069.95,4816.61,5952.8,4025.56,7476.46,6957.09,29196.35,8124.53,3461.25,15219.37,30985.95,22250.74,15452.89,19677.78,20306.41,16060.55,13858.26,5189.2,26759.04,17571.03,4048.37,1133.35,1739.81,137.95,1256.18,554.32,190.86
2016,410188.06,4595.92,25.37,3249.02,1955.95,3177.67,51.55,20.55,33908.51,8464.18,6115.84,13.22,22141.46,11128.96,6893.46,10247.55,4792.88,5907.92,4169.15,8085.68,6087.92,33403.15,8148.86,3236.74,16834.59,32824.88,23400.5,16524.98,22834.95,21715.71,17815.56,14402.79,6069.21,26519.07,16395.73,3833.77,1341.86,1920.66,166.0,990.75,611.87,163.69
2015,386394.6,4777.91,33.6,3750.49,2040.38,3209.43,51.66,20.01,32249.71,7746.36,5551.01,11.29,21368.68,10622.33,6551.15,9619.72,4219.36,5562.58,3733.62,7417.34,5455.82,32206.92,7600.16,3146.5,15706.58,31375.28,23182.52,16443.32,20648.44,21076.08,16778.31,12687.91,5700.64,24941.36,12706.85,3472.7,1244.27,1798.3,165.53,836.24,553.61,130.63
2014,372175.7,5875.13,36.25,5422.7,2178.59,3082.66,63.52,19.32,31156.85,7136.47,5072.16,15.28,20661.3,10070.32,6245.91,9157.52,3807.75,5409.94,3340.75,7090.71,5750.69,30135.88,6897.4,3016.02,14916.03,30030.34,25651.0,16542.63,19794.95,20724.24,14716.01,11017.1,5406.7,24078.69,9987.29,3252.11,1142.08,1744.93,205.24,745.78,462.59,114.85
2013,342002.6,6613.18,28.67,5756.63,2199.68,2854.59,53.01,16.89,29220.14,6407.47,4637.48,13.54,19237.35,9296.35,5622.13,8298.88,3442.47,5258.37,2896.83,6009.36,5874.39,27657.03,5894.47,2991.54,13478.8,26727.34,25303.5,15483.61,17750.5,18814.46,13133.33,9348.95,4910.87,22011.42,7894.0,2925.32,1003.97,1593.33,243.07,647.61,341.23,110.85
2012,285621.48,6576.42643,31.82637,5035.65014,1922.99082,2395.47976,35.33171,15.399,23898.71551,5466.73123,3743.33673,5.76466,16567.98354,7852.29929,4898.63747,6995.479,2927.99164,4891.65488,2036.71654,4506.78033,5111.56934,22596.81471,4601.83147,2641.35548,11185.89598,22284.90216,21559.83785,12099.88076,14695.6576,15418.0678,10458.18616,8596.30217,4444.95504,18614.49856,5798.84067,2477.59997,849.34236,1313.36606,226.84309,542.77897,202.53402,95.22942
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
