年份,私营工业企业固定资产合计,煤炭开采和洗选业私营工业企业固定资产合计,石油和天然气开采业私营工业企业固定资产合计,黑色金属矿采选业私营工业企业固定资产合计,有色金属矿采选业私营工业企业固定资产合计,非金属矿采选业私营工业企业固定资产合计,开采辅助活动私营工业企业固定资产合计,其他采矿业私营工业企业固定资产合计,农副食品加工业私营工业企业固定资产合计,食品制造业私营工业企业固定资产合计,酒、饮料和精制茶制造业私营工业企业固定资产合计,烟草制品业私营工业企业固定资产合计,纺织业私营工业企业固定资产合计,纺织服装、服饰业私营工业企业固定资产合计,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业固定资产合计,木材加工和木、竹、藤、棕、草制品业私营工业企业固定资产合计,家具制造业私营工业企业固定资产合计,造纸和纸制品业私营工业企业固定资产合计,印刷和记录媒介复制业私营工业企业固定资产合计,文教、工美、体育和娱乐用品制造业私营工业企业固定资产合计,石油加工、炼焦和核燃料加工业私营工业企业固定资产合计,化学原料和化学制品制造业私营工业企业固定资产合计,医药制造业私营工业企业固定资产合计,化学纤维制造业私营工业企业固定资产合计,橡胶和塑料制品业私营工业企业固定资产合计,非金属矿物制品业私营工业企业固定资产合计,黑色金属冶炼和压延加工业私营工业企业固定资产合计,有色金属冶炼和压延加工业私营工业企业固定资产合计,金属制品业私营工业企业固定资产合计,通用设备制造业私营工业企业固定资产合计,专用设备制造业私营工业企业固定资产合计,汽车制造业私营工业企业固定资产合计,铁路、船舶、航空航天和其他运输设备私营工业企业固定资产合计,电气机械和器材制造业私营工业企业固定资产合计,计算机、通信和其他电子设备制造业私营工业企业固定资产合计,仪器仪表制造业私营工业企业固定资产合计,其他制造业私营工业企业固定资产合计,废弃资源综合利用业私营工业企业固定资产合计,金属制品、机械和设备修理业私营工业企业固定资产合计,电力、热力生产和供应业私营工业企业固定资产合计,燃气生产和供应业私营工业企业固定资产合计,水的生产和供应业私营工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,76299.55,1261.51,12.29,560.51,397.65,521.0,22.92,5.56,4635.81,1748.7,1305.18,6.24,3719.57,1548.07,804.3,1424.51,873.91,1252.84,835.32,1149.97,1363.68,6514.91,1929.86,867.78,3113.25,7369.7,5139.8,2481.93,3731.42,3860.13,3359.3,2901.84,1085.44,4326.86,2182.31,622.53,168.55,235.55,48.85,2557.22,223.16,129.61
2016,84008.55,1377.83,14.96,1051.02,461.61,601.83,17.51,6.32,5540.07,1824.91,1369.04,6.26,4258.31,1718.41,918.3,1650.7,937.29,1308.19,915.21,1284.92,1546.45,7174.16,2088.67,871.48,3352.97,7976.97,6011.79,2804.44,4158.22,4442.73,3975.7,2919.49,1264.65,4470.12,2052.29,739.57,189.63,259.8,49.16,2095.55,178.27,123.79
2015,81327.57,1515.22,22.74,1256.78,465.66,693.05,22.4,5.23,5412.7,1707.37,1311.34,6.7,4124.7,1700.84,908.69,1579.03,843.27,1269.58,821.73,1098.37,1523.84,7124.31,1958.2,866.12,3092.94,7727.25,5843.47,3197.4,4059.39,4314.54,3702.96,2759.98,1184.4,4281.47,1830.88,681.83,190.88,262.11,51.38,1566.31,216.15,126.35
2014,76750.9,1662.51,23.86,1257.27,500.38,578.81,25.68,4.8,5156.85,1500.69,1180.79,6.6,4078.76,1555.34,849.83,1526.49,783.45,1232.74,780.55,959.51,1575.9,6402.93,1682.93,808.09,2911.63,7246.27,5854.64,2915.45,4980.59,3986.43,3184.87,2269.9,1103.11,3975.48,1602.87,634.71,168.33,231.82,50.93,1266.42,150.11,82.61
2013,65738.61,1650.62,17.1,1124.74,449.67,502.49,16.74,5.34,4343.75,1265.02,969.85,7.58,3711.54,1385.99,743.02,1262.14,685.66,1125.26,641.22,752.12,1505.57,5541.48,1295.66,733.99,2555.0,6237.97,5547.7,2577.95,3327.95,3472.15,2637.8,1880.37,959.7,3379.0,1349.66,514.21,144.55,178.1,56.51,1004.24,112.08,67.11
2012,53232.3568,1467.81884,18.29804,946.91981,356.83346,410.35018,10.13371,2.97658,3411.97379,1132.49668,776.38806,1.87944,3223.10371,1147.58579,612.10567,1046.54014,541.78588,984.11312,480.09544,566.17634,1422.198,4162.45538,962.45228,578.05814,2036.77996,5161.38362,4397.33768,1586.73858,2750.71284,2758.26297,1959.57056,1546.94309,841.8171,2830.96801,1431.93571,443.66526,132.69048,161.50279,52.06787,759.33671,74.39959,43.5055
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
