年份,私营工业企业存货,煤炭开采和洗选业私营工业企业存货,石油和天然气开采业私营工业企业存货,黑色金属矿采选业私营工业企业存货,有色金属矿采选业私营工业企业存货,非金属矿采选业私营工业企业存货,开采辅助活动私营工业企业存货,其他采矿业私营工业企业存货,农副食品加工业私营工业企业存货,食品制造业私营工业企业存货,酒、饮料和精制茶制造业私营工业企业存货,烟草制品业私营工业企业存货,纺织业私营工业企业存货,纺织服装、服饰业私营工业企业存货,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业存货,木材加工和木、竹、藤、棕、草制品业私营工业企业存货,家具制造业私营工业企业存货,造纸和纸制品业私营工业企业存货,印刷和记录媒介复制业私营工业企业存货,文教、工美、体育和娱乐用品制造业私营工业企业存货,石油加工、炼焦和核燃料加工业私营工业企业存货,化学原料和化学制品制造业私营工业企业存货,医药制造业私营工业企业存货,化学纤维制造业私营工业企业存货,橡胶和塑料制品业私营工业企业存货,非金属矿物制品业私营工业企业存货,黑色金属冶炼和压延加工业私营工业企业存货,有色金属冶炼和压延加工业私营工业企业存货,金属制品业私营工业企业存货,通用设备制造业私营工业企业存货,专用设备制造业私营工业企业存货,汽车制造业私营工业企业存货,铁路、船舶、航空航天和其他运输设备私营工业企业存货,电气机械和器材制造业私营工业企业存货,计算机、通信和其他电子设备制造业私营工业企业存货,仪器仪表制造业私营工业企业存货,其他制造业私营工业企业存货,废弃资源综合利用业私营工业企业存货,金属制品、机械和设备修理业私营工业企业存货,电力、热力生产和供应业私营工业企业存货,燃气生产和供应业私营工业企业存货,水的生产和供应业私营工业企业存货
2019,37116.53,242.36,0.81,122.9,67.85,97.06,5.9,0.5,2235.2,708.99,610.9,3.68,1742.09,845.92,503.93,480.15,466.76,478.54,276.15,838.07,1470.08,2040.68,967.02,408.76,1254.79,2360.32,2387.2,1506.47,1969.07,2238.3,2137.48,1407.58,462.46,2906.05,2781.46,435.94,82.17,401.58,19.68,106.16,32.29,13.21
2018,34157.61,209.1,0.3,122.9,74.9,88.1,5.1,0.4,1976.0,609.7,578.3,3.4,1587.4,812.5,371.0,443.3,379.2,399.1,236.1,722.1,957.1,2056.9,696.2,368.5,1095.5,1840.5,1873.0,1278.7,1772.6,1895.1,1764.4,1283.5,492.3,2373.4,2034.5,388.1,75.5,201.6,10.0,73.2,26.1,8.3
2017,29635.93,222.12,0.19,124.27,129.13,93.1,1.69,0.66,2003.94,571.12,566.87,4.88,1517.58,855.64,349.58,459.44,373.07,372.97,230.58,716.91,853.96,1953.04,635.78,322.62,1100.72,1778.55,1811.96,1296.6,1505.42,1826.9,1584.09,1174.79,470.75,2368.69,1661.88,371.19,79.73,145.21,10.21,57.76,25.65,6.71
2016,27468.53,232.18,0.22,156.95,94.73,103.21,2.49,0.58,2059.73,514.19,534.66,5.09,1532.04,788.76,351.15,467.6,347.14,339.7,228.87,643.17,650.4,1854.17,537.58,248.73,1023.48,1679.3,1559.6,1388.85,1487.24,1658.54,1420.89,1031.11,528.35,1898.01,1536.63,297.83,76.92,113.92,8.34,44.02,15.42,6.75
2015,26063.47,250.53,0.66,218.07,111.25,106.24,3.22,0.35,1963.92,487.83,527.75,4.19,1554.12,804.85,352.79,467.45,315.37,332.73,215.39,596.69,553.13,1819.8,479.84,265.53,939.52,1691.06,1389.36,1370.65,1351.81,1637.19,1333.74,1039.59,460.83,1767.77,1101.93,282.89,73.39,108.01,8.12,44.01,22.77,9.12
2014,25066.17,277.35,0.98,270.09,100.72,97.88,3.27,0.32,1888.52,453.52,486.92,3.91,1569.84,766.65,357.2,447.25,302.35,318.04,194.39,568.47,544.93,1763.2,469.1,248.35,888.89,1623.87,1602.72,1285.41,1324.59,1559.55,1183.0,867.02,448.97,1763.32,877.81,269.41,67.64,110.62,10.63,33.15,8.92,7.38
2013,23118.89,314.1,1.67,240.35,115.42,85.86,2.42,0.3,1722.48,415.52,387.53,6.62,1522.87,720.46,330.74,415.71,262.48,302.86,172.67,496.97,588.94,1604.27,385.36,266.98,780.64,1464.67,1706.38,1177.47,1251.9,1363.8,1042.72,727.38,398.1,1603.4,766.64,246.56,61.0,108.04,11.04,32.47,7.79,6.31
2012,19166.29701,291.70545,0.81432,224.57379,93.16652,69.03031,1.8912,0.24681,1284.18466,339.55474,301.67333,1.93315,1320.46568,634.30592,270.85673,340.55847,219.12446,282.01341,127.18877,381.35926,507.16836,1310.61502,309.06413,245.78219,637.05942,1208.30434,1476.37669,887.43147,1031.53232,1118.91516,823.19805,706.26846,385.10748,1367.88228,537.6044,228.16062,50.19996,86.66892,12.30229,29.31423,18.07129,4.62295
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
