年份,私营工业企业管理费用,煤炭开采和洗选业私营工业企业管理费用,石油和天然气开采业私营工业企业管理费用,黑色金属矿采选业私营工业企业管理费用,有色金属矿采选业私营工业企业管理费用,非金属矿采选业私营工业企业管理费用,开采辅助活动私营工业企业管理费用,其他采矿业私营工业企业管理费用,农副食品加工业私营工业企业管理费用,食品制造业私营工业企业管理费用,酒、饮料和精制茶制造业私营工业企业管理费用,烟草制品业私营工业企业管理费用,纺织业私营工业企业管理费用,纺织服装、服饰业私营工业企业管理费用,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业管理费用,木材加工和木、竹、藤、棕、草制品业私营工业企业管理费用,家具制造业私营工业企业管理费用,造纸和纸制品业私营工业企业管理费用,印刷和记录媒介复制业私营工业企业管理费用,文教、工美、体育和娱乐用品制造业私营工业企业管理费用,石油加工、炼焦和核燃料加工业私营工业企业管理费用,化学原料和化学制品制造业私营工业企业管理费用,医药制造业私营工业企业管理费用,化学纤维制造业私营工业企业管理费用,橡胶和塑料制品业私营工业企业管理费用,非金属矿物制品业私营工业企业管理费用,黑色金属冶炼和压延加工业私营工业企业管理费用,有色金属冶炼和压延加工业私营工业企业管理费用,金属制品业私营工业企业管理费用,通用设备制造业私营工业企业管理费用,专用设备制造业私营工业企业管理费用,汽车制造业私营工业企业管理费用,铁路、船舶、航空航天和其他运输设备私营工业企业管理费用,电气机械和器材制造业私营工业企业管理费用,计算机、通信和其他电子设备制造业私营工业企业管理费用,仪器仪表制造业私营工业企业管理费用,其他制造业私营工业企业管理费用,废弃资源综合利用业私营工业企业管理费用,金属制品、机械和设备修理业私营工业企业管理费用,电力、热力生产和供应业私营工业企业管理费用,燃气生产和供应业私营工业企业管理费用,水的生产和供应业私营工业企业管理费用
2019,17991.74,199.52,0.72,62.91,44.62,123.44,9.29,0.44,716.78,365.08,234.48,1.37,635.8,430.46,285.45,224.11,280.57,250.77,219.35,324.63,206.98,1164.08,581.03,140.27,749.77,1387.41,553.95,409.68,1007.36,1214,1075.51,804.15,245.73,1656.86,1800.15,285.65,56.43,70.43,13.8,100.44,38.51,19.76
2018,14366.8,165.3,0.6,53.4,50.2,100.2,3.6,0.6,564.2,271.8,190.2,1.0,467.1,349.6,185.9,186.7,190.7,184.4,143.7,243.7,132.2,916.1,422.8,91.6,508.4,921.0,375.5,262.5,712.5,848.9,769.0,620.1,204.0,1085.0,1085.1,224.2,39.6,43.3,7.1,69.5,23.9,9.1
2017,13430.11,175.75,1.0,58.95,52.93,107.41,3.56,1.03,724.27,293.41,214.46,1.3,541.35,372.87,193.88,229.58,200.55,194.02,163.56,264.51,107.0,963.35,418.14,96.86,541.17,1005.94,487.01,301.05,684.05,900.72,798.33,610.69,208.14,1152.48,948.88,216.19,43.09,41.25,7.92,63.89,24.66,14.87
2016,13142.6,206.33,1.17,88.28,63.64,120.88,3.22,1.59,838.5,283.14,213.19,1.2,542.98,390.72,214.4,260.87,182.06,186.81,161.0,261.57,95.17,985.29,370.26,77.44,518.19,1019.11,458.25,263.62,709.48,868.5,755.61,576.5,238.99,1018.92,790.96,198.02,46.14,36.73,8.39,50.9,21.82,12.76
2015,12278.54,225.25,1.54,109.49,71.31,117.44,3.79,1.41,778.47,256.02,186.85,1.22,521.86,386.87,206.34,256.1,163.91,175.8,144.9,231.36,101.24,926.11,341.79,66.8,473.97,965.1,460.13,253.86,642.98,840.73,701.25,496.35,222.2,951.37,643.51,186.53,44.21,37.36,8.17,46.04,20.02,8.91
2014,11266.73,265.31,1.4,150.26,75.41,103.62,3.25,1.71,701.31,235.42,169.78,1.4,492.06,356.98,189.88,243.32,144.74,164.98,132.27,202.25,101.72,840.39,293.45,62.12,442.44,893.97,466.63,245.21,601.8,799.2,599.8,403.51,204.03,855.24,512.09,163.06,37.74,36.34,7.82,40.17,17.13,7.49
2013,10719.69,297.65,1.46,168.69,82.22,99.65,2.27,1.62,713.12,231.53,164.67,0.99,469.56,348.06,180.03,240.41,137.66,165.83,115.74,173.52,116.4,811.86,263.12,53.11,416.94,835.28,474.52,278.6,554.84,748.63,542.98,357.55,188.02,779.63,420.98,146.92,34.43,38.01,9.01,33.17,13.71,7.3
2012,9025.33434,307.07547,1.25462,154.06767,71.06776,89.25436,1.90952,0.74658,585.40419,183.66733,132.26049,0.56208,409.39339,300.60401,164.44321,217.11542,111.3802,156.18774,81.11918,125.12444,109.08234,670.64006,203.69723,46.80304,359.27666,695.20873,403.99973,235.70461,450.03852,640.36245,429.04926,306.8335,170.27915,669.68543,302.09468,127.38332,30.24833,28.44195,9.21943,27.47659,11.05773,6.11394
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
