年份,私营工业企业工业销售产值(现价),煤炭开采和洗选业私营工业企业工业销售产值(现价),石油和天然气开采业私营工业企业工业销售产值(现价),黑色金属矿采选业私营工业企业工业销售产值(现价),有色金属矿采选业私营工业企业工业销售产值(现价),非金属矿采选业私营工业企业工业销售产值(现价),开采辅助活动私营工业企业工业销售产值(现价),其他采矿业私营工业企业工业销售产值(现价),农副食品加工业私营工业企业工业销售产值(现价),食品制造业私营工业企业工业销售产值(现价),酒、饮料和精制茶制造业私营工业企业工业销售产值(现价),烟草制品业私营工业企业工业销售产值(现价),纺织业私营工业企业工业销售产值(现价),纺织服装、服饰业私营工业企业工业销售产值(现价),皮革、毛皮、羽毛及其制品和制鞋业私营工业企业工业销售产值(现价),木材加工和木、竹、藤、棕、草制品业私营工业企业工业销售产值(现价),家具制造业私营工业企业工业销售产值(现价),造纸和纸制品业私营工业企业工业销售产值(现价),印刷和记录媒介复制业私营工业企业工业销售产值(现价),文教、工美、体育和娱乐用品制造业私营工业企业工业销售产值(现价),石油加工、炼焦和核燃料加工业私营工业企业工业销售产值(现价),化学原料和化学制品制造业私营工业企业工业销售产值(现价),医药制造业私营工业企业工业销售产值(现价),化学纤维制造业私营工业企业工业销售产值(现价),橡胶和塑料制品业私营工业企业工业销售产值(现价),非金属矿物制品业私营工业企业工业销售产值(现价),黑色金属冶炼和压延加工业私营工业企业工业销售产值(现价),有色金属冶炼和压延加工业私营工业企业工业销售产值(现价),金属制品业私营工业企业工业销售产值(现价),通用设备制造业私营工业企业工业销售产值(现价),专用设备制造业私营工业企业工业销售产值(现价),汽车制造业私营工业企业工业销售产值(现价),铁路、船舶、航空航天和其他运输设备私营工业企业工业销售产值(现价),电气机械和器材制造业私营工业企业工业销售产值(现价),计算机、通信和其他电子设备制造业私营工业企业工业销售产值(现价),仪器仪表制造业私营工业企业工业销售产值(现价),其他制造业私营工业企业工业销售产值(现价),废弃资源综合利用业私营工业企业工业销售产值(现价),金属制品、机械和设备修理业私营工业企业工业销售产值(现价),电力、热力生产和供应业私营工业企业工业销售产值(现价),燃气生产和供应业私营工业企业工业销售产值(现价),水的生产和供应业私营工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,413614.49,4809.82,25.37,3382.15,2044.09,3262.82,49.33,22.52,34274.21,8622.34,6270.04,13.24,22251.22,11147.73,6966.94,10468.2,4788.73,5943.81,4241.38,8071.87,5816.97,33635.92,8321.5,3261.83,16972.55,33446.87,23080.27,16688.03,22050.92,21976.49,18099.97,14759.98,6360.76,26790.02,16597.67,3836.88,1362.44,1940.23,178.19,1015.3,607.92,157.98
2015,391618.21,5036.35,39.34,3851.85,2100.28,3258.8,52.87,20.74,32816.35,8105.36,5730.3,11.29,21491.39,10723.16,6615.27,9768.92,4273.55,5649.98,3781.16,7551.18,5463.0,32359.84,7762.86,3187.33,15926.01,31921.62,23174.09,16555.29,20961.67,21312.91,17031.7,13035.96,5932.8,25195.78,12619.32,3513.23,1244.08,1845.87,173.19,860.01,530.79,132.73
2014,375088.65,6077.43,38.26,5554.74,2233.91,3165.6,59.77,19.2,31395.97,7238.7,5194.36,15.49,20685.93,10057.47,6280.18,9316.09,3847.29,5521.42,3375.08,7121.37,5758.94,30227.05,6995.58,3039.93,15030.83,30424.33,25560.66,16411.49,19893.84,21051.3,14865.34,11130.26,5517.28,24284.3,10001.95,3273.23,1151.17,1743.9,213.88,748.65,454.44,112.02
2013,341836.32,6730.2,38.57,5761.77,2218.77,2876.09,52.61,16.88,29292.57,6409.05,4666.61,11.75,19103.34,9264.32,5629.49,8297.08,3426.21,5262.75,2912.91,5961.33,5788.31,27605.27,5939.03,2968.29,13521.02,26824.33,24944.43,15372.19,17770.23,19012.8,13131.37,9423.16,4952.43,22005.27,7793.74,2933.15,996.26,1578.18,252.88,645.89,335.09,110.71
2012,285331.77055,6781.12274,31.75957,5060.11326,1933.13512,2395.64513,35.86394,16.25828,23795.68817,5462.3853,3743.73255,5.83248,16446.18149,7835.58467,4867.53388,6989.10305,2910.10335,4877.35633,2030.5501,4489.16643,5036.69269,22525.26101,4613.50406,2623.84224,11338.29133,22299.9489,21400.31156,12003.63838,14652.97426,15486.37744,10468.69943,8606.31202,4523.9981,18558.76563,5769.52203,2487.22471,850.47227,1314.21468,234.44798,543.14396,196.34669,90.66534
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
