年份,私营工业企业资产总计,煤炭开采和洗选业私营工业企业资产总计,石油和天然气开采业私营工业企业资产总计,黑色金属矿采选业私营工业企业资产总计,有色金属矿采选业私营工业企业资产总计,非金属矿采选业私营工业企业资产总计,开采辅助活动私营工业企业资产总计,其他采矿业私营工业企业资产总计,农副食品加工业私营工业企业资产总计,食品制造业私营工业企业资产总计,酒、饮料和精制茶制造业私营工业企业资产总计,烟草制品业私营工业企业资产总计,纺织业私营工业企业资产总计,纺织服装、服饰业私营工业企业资产总计,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业资产总计,木材加工和木、竹、藤、棕、草制品业私营工业企业资产总计,家具制造业私营工业企业资产总计,造纸和纸制品业私营工业企业资产总计,印刷和记录媒介复制业私营工业企业资产总计,文教、工美、体育和娱乐用品制造业私营工业企业资产总计,石油加工、炼焦和核燃料加工业私营工业企业资产总计,化学原料和化学制品制造业私营工业企业资产总计,医药制造业私营工业企业资产总计,化学纤维制造业私营工业企业资产总计,橡胶和塑料制品业私营工业企业资产总计,非金属矿物制品业私营工业企业资产总计,黑色金属冶炼和压延加工业私营工业企业资产总计,有色金属冶炼和压延加工业私营工业企业资产总计,金属制品业私营工业企业资产总计,通用设备制造业私营工业企业资产总计,专用设备制造业私营工业企业资产总计,汽车制造业私营工业企业资产总计,铁路、船舶、航空航天和其他运输设备私营工业企业资产总计,电气机械和器材制造业私营工业企业资产总计,计算机、通信和其他电子设备制造业私营工业企业资产总计,仪器仪表制造业私营工业企业资产总计,其他制造业私营工业企业资产总计,废弃资源综合利用业私营工业企业资产总计,金属制品、机械和设备修理业私营工业企业资产总计,电力、热力生产和供应业私营工业企业资产总计,燃气生产和供应业私营工业企业资产总计,水的生产和供应业私营工业企业资产总计
2019,282829.6,5186.86,31.14,1811.9,845.51,1605.63,142.1,6.64,12729.65,4877.43,3431.85,26.23,10659.15,5175.42,3315.76,3140.47,3465.71,3940.57,2508.4,4073.06,9450.54,18601.28,7430.45,2839.19,10206.34,24241.33,17354.88,10016.83,13877.72,14850.52,13877.41,12185.82,3474.26,24200.03,18204.41,2957.59,594.93,1529.59,165.96,8098.86,1123.52,574.68
2018,263450.59,4817.5,20.7,1893.8,1008.8,1353.7,93.6,6.3,12053.7,4431.0,3367.6,25.8,10037.7,4880.2,2486.2,3113.9,2628.8,3286.4,2106.7,3637.6,6693.5,17860.1,5952.8,2409.5,8577.4,18712.5,13018.2,7563.2,12498.8,12671.9,11879.3,11262.9,3573.5,19103.8,14983.1,2939.7,508.5,1090.0,120.0,5600.1,650.9,369.1
2017,242636.74,4656.2,25.05,1877.64,1248.24,1454.84,65.62,11.3,12979.91,4575.94,3521.01,22.1,10472.52,5180.85,2628.33,3551.24,2804.29,3460.1,2224.42,3776.53,6078.59,18791.1,5871.99,2313.99,9585.69,20487.53,13832.45,8028.7,11996.91,13147.21,11909.65,10513.94,3823.89,18668.71,12549.75,2841.55,579.25,953.46,143.88,5022.43,626.28,333.66
2016,239542.71,4867.19,21.0,2938.69,1247.81,1566.8,70.3,11.38,14250.28,4315.9,3462.39,20.03,11498.94,5404.23,2819.82,3844.54,2614.32,3365.82,2285.53,3909.76,5631.06,18962.82,5597.58,2192.12,9435.89,19728.97,13197.46,8966.35,12266.78,12945.24,11918.34,9898.88,4105.67,17201.35,10204.25,2504.39,585.97,932.62,128.27,3777.95,521.94,324.1
2015,229006.48,5223.67,33.52,3242.07,1343.57,1654.03,77.49,9.38,13841.49,4079.81,3303.07,20.69,11403.68,5444.0,2737.71,3736.57,2349.12,3218.38,2095.68,3804.85,5335.5,18377.41,5192.74,2361.11,8485.44,19079.96,13272.45,9184.72,11610.28,12625.71,10960.64,8993.2,3794.08,16111.66,8348.8,2275.18,568.48,898.63,124.77,2949.2,566.76,270.94
2014,213114.42,5571.32,41.31,3485.51,1316.98,1389.33,72.44,8.49,12907.88,3641.74,2931.54,21.69,11209.53,5142.93,2638.4,3494.93,2183.54,3152.24,1944.01,3417.29,5278.58,16715.81,4537.08,2246.09,7942.73,18007.94,13477.73,8551.58,12163.29,11825.46,9198.31,7138.17,3532.38,14919.45,6734.33,2066.79,504.49,852.1,131.66,2170.78,368.75,179.81
2013,187704.4,5550.71,28.82,3134.64,1191.07,1193.54,48.71,7.97,11022.66,3176.34,2570.7,20.87,10374.52,4495.66,2300.59,2986.03,1908.92,2939.48,1695.96,2691.19,5105.85,14734.81,3694.15,2145.88,6966.84,15320.03,13487.17,7792.09,9807.06,10498.06,7847.17,5798.23,3128.77,13136.21,5565.74,1833.66,438.18,718.57,131.07,1775.46,283.04,157.98
2012,152548.13,4695.23675,26.48518,2555.14456,976.75109,930.33375,32.9911,6.59353,8469.70268,2761.42995,1902.19681,15.53467,8950.22726,3853.17179,1958.3461,2418.57145,1588.44099,2556.14523,1282.84703,1963.60998,4116.2586,11441.71288,2796.16723,1836.35503,5749.31078,12486.90608,11024.56635,5432.55471,8090.76686,8582.66412,6045.46633,5327.56527,2763.12111,11250.52989,4334.11678,1655.71601,376.1846,511.84416,130.86434,1340.83337,190.22222,120.64761
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
