年份,私营工业企业销售费用,煤炭开采和洗选业私营工业企业销售费用,石油和天然气开采业私营工业企业销售费用,黑色金属矿采选业私营工业企业销售费用,有色金属矿采选业私营工业企业销售费用,非金属矿采选业私营工业企业销售费用,开采辅助活动私营工业企业销售费用,其他采矿业私营工业企业销售费用,农副食品加工业私营工业企业销售费用,食品制造业私营工业企业销售费用,酒、饮料和精制茶制造业私营工业企业销售费用,烟草制品业私营工业企业销售费用,纺织业私营工业企业销售费用,纺织服装、服饰业私营工业企业销售费用,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业销售费用,木材加工和木、竹、藤、棕、草制品业私营工业企业销售费用,家具制造业私营工业企业销售费用,造纸和纸制品业私营工业企业销售费用,印刷和记录媒介复制业私营工业企业销售费用,文教、工美、体育和娱乐用品制造业私营工业企业销售费用,石油加工、炼焦和核燃料加工业私营工业企业销售费用,化学原料和化学制品制造业私营工业企业销售费用,医药制造业私营工业企业销售费用,化学纤维制造业私营工业企业销售费用,橡胶和塑料制品业私营工业企业销售费用,非金属矿物制品业私营工业企业销售费用,黑色金属冶炼和压延加工业私营工业企业销售费用,有色金属冶炼和压延加工业私营工业企业销售费用,金属制品业私营工业企业销售费用,通用设备制造业私营工业企业销售费用,专用设备制造业私营工业企业销售费用,汽车制造业私营工业企业销售费用,铁路、船舶、航空航天和其他运输设备私营工业企业销售费用,电气机械和器材制造业私营工业企业销售费用,计算机、通信和其他电子设备制造业私营工业企业销售费用,仪器仪表制造业私营工业企业销售费用,其他制造业私营工业企业销售费用,废弃资源综合利用业私营工业企业销售费用,金属制品、机械和设备修理业私营工业企业销售费用,电力、热力生产和供应业私营工业企业销售费用,燃气生产和供应业私营工业企业销售费用,水的生产和供应业私营工业企业销售费用
2019,9929.31,147.74,0.08,29.85,18.82,109.5,1.19,0.56,517.26,350.11,216.81,0.22,265.33,279.31,145.58,134.07,194.93,150.85,99.74,187.65,120.85,632.3,813.37,28.63,359.3,1054.95,205.89,153.25,432.36,531.76,544.88,290.8,89.8,902.57,684.55,131.89,24.6,31.32,5.15,13.22,23.11,5.15
2018,9260.32,113.9,,25.0,23.9,87.3,0.5,0.6,519.7,288.3,207.5,0.4,242.4,254.1,121.6,145.9,150.6,128.7,79.7,171.2,118.1,600.4,657.5,27.8,292.5,758.6,171.4,128.0,369.7,456.6,461.0,268.1,81.3,590.0,519.3,119.5,20.4,21.7,2.8,10.7,15.4,3.3
2017,9217.47,118.88,0.6,26.54,27.47,99.63,0.4,1.23,645.32,312.1,240.06,0.91,310.83,291.0,135.1,190.59,183.31,145.65,100.66,201.14,112.69,699.66,499.04,32.98,348.9,868.07,247.23,159.34,409.69,547.15,501.06,299.66,105.38,686.46,452.78,130.92,27.86,24.24,2.98,10.53,15.26,4.2
2016,9202.46,128.74,0.52,45.3,33.31,109.32,0.6,1.42,737.21,293.93,235.53,0.76,332.91,299.87,144.91,210.11,172.03,145.86,101.87,196.05,94.89,740.71,413.97,34.25,351.75,840.8,282.18,151.37,424.0,543.3,494.65,295.34,112.38,646.0,379.76,119.85,32.09,25.73,3.21,9.31,13.24,3.42
2015,8618.52,136.31,0.78,55.38,35.39,101.92,0.48,1.51,689.23,273.68,207.48,0.78,316.37,293.95,138.78,203.16,152.06,130.98,94.13,180.86,85.63,708.58,364.9,31.63,322.13,789.51,286.56,154.66,396.36,518.69,446.45,258.01,104.32,619.29,317.62,121.48,31.12,21.54,3.31,8.05,12.07,3.39
2014,7956.32,170.42,0.92,75.05,34.89,94.53,0.83,1.63,642.24,247.85,188.41,0.52,299.51,269.63,131.95,195.09,129.67,122.27,81.7,153.21,93.08,654.75,320.58,29.39,300.56,738.59,281.54,153.62,374.04,498.2,360.46,231.47,100.23,564.46,246.87,94.69,28.09,18.62,3.24,9.23,10.69,3.58
2013,7161.74,179.67,0.82,76.54,32.12,88.58,0.53,1.12,599.1,223.25,169.83,0.48,270.71,249.55,122.39,175.12,117.12,117.44,70.49,129.48,88.45,588.68,271.02,24.97,270.85,651.07,267.44,144.07,343.34,447.26,320.58,189.94,91.01,504.15,186.17,80.5,26.61,17.14,5.37,6.62,8.88,3.26
2012,5976.61277,196.22897,0.91481,65.81815,30.51651,71.76267,1.13408,0.65278,463.89841,189.05371,137.56418,0.16203,236.76184,218.07366,107.65505,147.91845,96.35402,107.1364,48.76156,95.19942,77.92843,486.68555,198.17675,23.41629,232.16568,543.05304,233.94133,111.75425,277.87294,373.41753,261.27478,160.88131,81.33407,433.85673,138.19055,71.33781,21.66219,13.12901,5.53985,5.40284,6.65368,3.37146
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
