年份,建设工程监理企业单位数,房屋建筑工程企业单位数,冶炼工程企业单位数,矿山工程企业单位数,化工、石油工程企业单位数,水利水电工程企业单位数,电力工程企业单位数,农林工程企业单位数,铁路工程企业单位数,公路工程企业单位数,港口与航道工程企业单位数,航天航空工程企业单位数,通信工程企业单位数,市政公用工程企业单位数,机电安装工程企业单位数,综合资质企业单位数,事务所资质企业单位数
2019,8469,6572,24,43,138,105,390,17,53,63,8,8,49,783,4,210,2
2018,8393,6610,22,39,137,111,376,16,51,39,6,8,47,729,1,191,10
2017,7945,6394,19,33,140,89,341,17,51,28,9,7,29,616,2,166,4
2016,7483,6109,20,31,148,78,293,20,53,24,9,7,18,516,149,3,5
2015,7433,6121,28,31,145,77,277,23,54,27,9,7,12,483,3,127,9
2014,7279,5941,34,40,151,81,249,23,47,33,10,6,15,503,3,116,27
2013,6820,,,,,,,,,,,,,,,,
2012,6605,5465,47,30,138,78,209,19,53,26,10,6,15,413,3,89,4
2011,6512,5398,52,31,134,76,195,20,54,27,10,6,15,376,3,83,32
2010,6106,5112,51,28,132,63,170,20,54,24,9,5,13,341,3,57,24
2009,5475,4584,48,28,124,59,161,12,48,20,11,7,12,295,3,49,14
2008,6080,5103,57,35,131,75,162,41,56,30,15,4,17,305,3,17,1
2007,6043,5116,56,32,126,83,166,42,62,35,16,6,15,283,5,,
2006,6170,,,,,,,,,,,,,,,,
2005,5927,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
