年份,中国科协系统举办青少年科普讲座数,中国科协系统举办青少年科普讲座听讲人数,中国科协系统举办青少年科普展览数,中国科协系统举办青少年科普展览社会聘用人员数,中国科协系统举办青少年科技竞赛数,中国科协系统举办青少年科技竞赛参加人数,中国科协系统举办青少年科技夏冬令营数,中国科协系统举办青少年科技夏冬令营参加人数,科协(小计)举办青少年科普讲座数,科协(小计)举办青少年科普讲座听讲人数,科协(小计)举办青少年科普展览数,科协(小计)举办青少年科普展览社会聘用人员数,科协(小计)举办青少年科技竞赛数,科协(小计)举办青少年科技竞赛参加人数,科协(小计)举办青少年科技夏冬令营数,科协(小计)举办青少年科技夏冬令营参加人数,学会(小计)举办青少年科普讲座数,学会(小计)举办青少年科普讲座听讲人数,学会(小计)举办青少年科普展览数,学会(小计)举办青少年科普展览社会聘用人员数,学会(小计)举办青少年科技竞赛数,学会(小计)举办青少年科技竞赛参加人数,学会(小计)举办青少年科技夏冬令营数,学会(小计)举办青少年科技夏冬令营参加人数,全国学会举办青少年科普讲座数,全国学会举办青少年科普讲座听讲人数,全国学会举办青少年科普展览数,全国学会举办青少年科普展览社会聘用人员数,全国学会举办青少年科技竞赛数,全国学会举办青少年科技竞赛参加人数,全国学会举办青少年科技夏冬令营数,全国学会举办青少年科技夏冬令营参加人数,省级学会举办青少年科普讲座数,省级学会举办青少年科普讲座听讲人数,省级学会举办青少年科普展览数,省级学会举办青少年科普展览社会聘用人员数,省级学会举办青少年科技竞赛数,省级学会举办青少年科技竞赛参加人数,省级学会举办青少年科技夏冬令营数,省级学会举办青少年科技夏冬令营参加人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,23317.0,1508.0,15928.0,,11071.0,4119.0,2792.0,82.0,23317.0,1508.0,15928.0,,10163.0,3285.0,2476.0,73.8,,,,,908.0,834.0,316.0,8.0,,,,,117.0,491.0,39.0,0.63,,,,,791.0,343.0,277.0,7.0
2010,21857.0,1997.0,14225.0,,9788.0,3734.0,2539.0,63.0,21857.0,1997.0,14225.0,,9221.0,3177.0,2232.0,58.0,,,,,567.0,557.0,307.0,5.48,,,,,83.0,331.0,36.0,,,,,,484.0,226.0,271.0,5.0
2009,21332.0,1584.0,13569.0,,11120.0,3129.0,2754.0,58.0,21332.0,1584.0,13569.0,,10484.0,2766.0,2401.0,51.0,,,,,636.0,363.0,353.0,7.0,,,,,86.0,164.02,75.0,0.52,,,,,550.0,199.0,278.0,6.0
2008,20564.0,1291.0,12044.0,,10347.0,3467.0,3005.0,68.0,20564.0,1291.0,12044.0,,9740.0,3174.0,2610.0,61.0,,,,,607.0,293.0,395.0,7.0,,,,,78.0,106.0,30.0,0.36,,,,,529.0,187.0,365.0,7.0
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
