年份,保险公司保费,财产保险公司保费,企业财产保险保费,家庭财产保险保费,机动车辆保险保费,财产保险公司工程保险保费,财产保险公司责任保险保费,财产保险公司信用保险保费,财产保险公司保证保险保费,财产保险公司船舶保险保费,财产保险公司货物运输保险保费,财产保险公司特殊风险保险保费,财产保险公司农业保险保费,财产保险公司健康险保费,财产保险公司意外伤害保险保费,财产保险公司其他险保费,人寿保险公司保费,人寿保险公司寿险保费,人寿保险公司健康险保费,人寿保险公司人身意外伤害险保费
2019,42644.8,13016.3,464.101587,91.213347,8188.316573,117.844252,753.296029,199.954992,843.65271,55.510888,130.122862,68.88746,672.481981,840.292367,526.568609,64.08594,29628.4,22754.1373462409,6225.6840033037,648.5950356489
2018,38013.3313496539,11756.4518722032,423.2894705946,76.7670874129,7834.0542405666,120.7525882746,590.8893113322,242.4797009117,645.0907501325,52.9730705508,121.2312559798,59.4691675724,572.7351616038,569.0282713969,416.7367289367,30.9550669377,26256.8794774507,20722.844507222,4875.079357471,658.9556127577
2017,36581.0,10541.4,392.0,62.9,7521.1,110.2,451.4,214.4,379.2,48.0,100.2,50.4,478.9,394.1,312.7,25.8,26040.0,21455.4,3992.5,588.4
2016,30904.15,9266.0,381.21,52.15,6834.22,93.24,362.4,200.92,184.12,51.19,85.51,40.33,417.71,293.67,247.91,21.17,21638.3,17395.88,3739.54,502.87
2015,24283.0,8423.0,386.2,41.7,6199.0,82.9,301.8,192.5,208.1,55.1,88.2,42.3,374.9,228.3,200.0,22.2,15859.0,13241.5,2182.1,435.6
2014,20235.0,7544.0,387.35,33.68,5515.93,81.67,253.3,200.67,199.88,55.12,95.44,41.76,325.78,169.09,171.93,12.8,12690.0,10901.69,1418.09,370.63
2013,17222.0,6481.0,378.8,37.87,4720.79,78.61,216.63,155.17,120.37,53.53,102.94,38.98,306.59,117.97,150.93,1.98,10741.0,9425.14,1005.52,310.41
2012,15488.0,5530.0,360.36,28.47,4005.17,62.26,183.77,160.57,93.46,55.68,101.71,36.87,240.6,72.41,126.54,1.99,9958.0,8908.06,790.35,259.64
2011,14339.0,4779.0,329.81,23.32,3504.56,73.76,148.01,115.46,56.51,55.87,97.83,35.43,174.03,56.12,105.12,3.23,9560.0,8695.59,635.61,229.0
2010,14528.0,4027.0,271.6,19.3,3004.2,70.9,115.9,96.0,22.9,50.8,78.7,26.8,135.9,45.7,85.5,2.8,10501.0,9679.5,631.7,189.8
2009,11137.0,2993.0,221.4,15.1,2155.6,51.6,92.2,70.2,8.0,41.8,61.3,23.7,133.9,43.1,73.9,0.9,8144.0,7457.4,530.8,156.1
2008,9784.0,2446.0,209.63,12.68,1702.52,39.23,81.75,36.73,6.39,38.69,70.9,26.95,110.68,36.83,72.71,0.49,7338.0,6658.4,548.73,130.86
2007,7036.0,2086.0,186.83,17.01,1484.28,31.48,66.6,34.78,4.24,31.28,63.11,24.48,53.33,14.44,74.31,0.3,4949.0,4463.4,369.74,115.85
2006,5641.0,1580.0,157.440774,11.251142,1107.873597,24.581179,56.203941,28.666067,8.387339,27.834979,55.570322,20.558616,8.476337,8.836019,61.866531,1.589801,4061.0,3592.750085,368.013202,100.439348
2005,4927.0,1281.0,149.0,12.0,858.0,23.0,45.0,23.0,18.0,25.0,51.0,19.0,7.0,5.0,46.0,2.0,3646.0,3247.0,307.0,95.0
2004,4318.0,1125.0,134.0,15.0,745.0,,33.0,16.0,1.0,20.0,46.0,,4.0,,,91.0,3194.0,2851.0,257.0,86.0
2003,3880.0,869.0,124.951578660001,19.4186670729841,540.144528385215,,34.8204906629603,8.3079311679,2.0260464991157,14.8559431755984,40.8220356547626,,4.641154,,,66.37,3011.0,2669.49,241.92,99.58
2002,3054.0,780.0,123.0,24.0,472.0,,37.0,7.0,9.0,13.0,42.0,,5.0,,,34.0,2274.0,2074.0,121.0,79.0
2001,2109.0,685.0,121.0,19.0,422.0,,28.0,3.0,4.0,12.0,41.0,,3.0,,,21.0,1424.0,1288.0,61.0,75.0
2000,1598.0,608.0,118.0,13.0,373.0,,21.0,3.0,2.0,11.0,36.0,,4.0,,,18.0,990.0,882.0,28.0,80.0
