省份编码,省份,年份,支出法生产总值(亿元),最终消费(亿元),居民消费(亿元),城镇居民消费(亿元),农村居民消费(亿元),政府消费(亿元),资本形成总额(亿元),固定资本形成总额(亿元),存货增加(亿元),货物和服务净流出(亿元),最终消费率(%),资本形成率(%)
110000,北京市,2019,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,
110000,北京市,2017,28014.94,16842.14,11491.53,10724.04,767.49,5350.61,10946.3,10375.27,571.03,226.5,60.1184225274086,39.0730802921584
110000,北京市,2016,25669.13,15406.53,10621.7,9909.4,712.3,4784.8,10074.09,9716.05,358.04,188.51,60.0196812279964,39.2459347083442
110000,北京市,2015,23014.59,14503.6,8471.4,7818.24,653.16,6032.2,8489.98,8155.36,334.62,21.0100000000093,63.0191543712054,36.8895557122677
110000,北京市,2014,21330.83,13329.2,7691.63,7094.59,597.04,5637.57,8309.43,7957.2,352.23,-307.8,62.4879575712713,38.9550242536273
110000,北京市,2013,19500.6,11946.1,6974.32,6466.25,508.07,4971.78,7868.4,7595.38,273.02,-313.9,61.3,40.3
110000,北京市,2012,17879.4,10655.05,6203.29,5790.13,413.16,4451.76,7409.6,7032.8,376.8,-185.25,59.5940020358625,41.4421065583856
110000,北京市,2011,16251.93,9488.19,5525.02,5147.07,377.95,3963.17,6683.61,5953.86,729.75,80.13,58.4,41.1
110000,北京市,2010,14113.58,8032.8,4773.96,4402.72,371.24,3258.84,6059.7,5342.4,717.3,21.08,56.9,42.9
110000,北京市,2009,12153.03,6930.41,3998.23,3672.71,325.52,2932.18,5049.94,4435.01,614.93,172.68,57.0,41.6
110000,北京市,2008,11115.0,6026.41,3466.54,3193.05,273.49,2559.87,4722.88,3989.48,733.4,365.71,54.2,42.5
110000,北京市,2007,9846.81,5108.67,3039.96,2810.61,229.35,2068.71,4469.29,4022.63,446.66,268.85,51.9,45.4
110000,北京市,2006,8117.78,4138.53,2587.6,2397.08,190.52,1550.93,3936.74,3551.17,385.57,42.51,51.0,48.5
110000,北京市,2005,6969.52,3486.51,2221.79,2037.8,183.99,1264.72,3580.89,3204.65,376.24,-97.88,50.0,51.4
110000,北京市,2004,6033.21,3085.28,1979.51,1805.09,174.42,1105.77,3167.5,2844.29,323.21,-219.57,51.1,52.5
110000,北京市,2003,5007.21,2636.5,1729.72,1568.76,160.96,906.78,2737.78,2437.88,299.9,-367.07,52.7,54.7
110000,北京市,2002,4315.0,2300.26,1528.0,1375.05,152.95,772.26,2332.74,1951.88,380.86,-318.0,53.3,54.1
110000,北京市,2001,3707.96,1911.65,1244.76,1101.53,143.23,666.89,1936.48,1602.06,334.42,-140.17,51.6,52.2
110000,北京市,2000,3161.66,1687.96,1155.81,1029.27,126.54,532.15,1697.39,1400.36,297.03,-223.69,53.4,53.7
120000,天津市,2019,,,,,,,,,,,,
120000,天津市,2018,,,,,,,,,,,,
120000,天津市,2017,18549.19,8424.17,6078.15,5440.53,637.62,2346.02,10467.18,10137.46,329.72,-342.16,45.4152984577763,56.4293103903728
120000,天津市,2016,17885.39,8012.04,5636.28,5042.38,593.9,2375.76,10584.13,10113.89,470.24,-710.78,44.7965630047765,59.1775186339241
120000,天津市,2015,16538.19,7155.66,4993.12,4457.9,535.22,2162.54,10999.11,10495.81,503.3,-1616.58,43.2674917871908,66.5073384693247
