年份,总产出,农、林、牧、渔业总产出金额,采矿业总产出金额,食品、饮料制造及烟草制品业总产出金额,纺织、服装及皮革产品制造业总产出金额,其他制造业总产出金额,电力、热力及水的生产和供应业总产出金额,炼焦、燃气及石油加工业总产出金额,化学工业总产出金额,非金属矿物制品业总产出金额,金属产品制造业总产出金额,机械设备制造业总产出金额,建筑业总产出金额,运输仓储邮政、信息传输、计算机服务和软件业总产出金额,批发零售贸易、住宿和餐饮业总产出金额,房地产业、租赁和商务服务业总产出金额,金融业总产出金额,其他服务业总产出金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,22577335292.3594,1101240339.56656,541862961.949453,1262076278.99826,757438910.354255,118357529.096166,634986429.784823,1866525446.42063,,649457466.78087,1474812341.9127,3309824388.27577,2287859273.51028,,,,,2936423794.97406
2016,,,,,,,,,,,,,,,,,,
2015,20814465144.4975,1070563648.68972,538352109.434191,1144256391.76723,834957533.661444,745169657.94508,615101423.509997,442442394.851974,1562054667.2793,642897137.42153,1551854604.54193,3237532701.43116,2019037211.45374,1193191609.79384,1350975667.52376,1185196222.09571,882407185.025851,1798474978.07108
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,16016270834.4107,894213473.191527,535980969.001036,879595838.044386,662820783.770474,557804723.237175,503944452.381436,431360192.331024,1210245787.87551,466046232.057356,1423397994.81911,2583436487.47989,1386125871.74766,870517515.273177,954898297.202534,763137290.618104,590140254.289307,1302604671.09095
2011,,,,,,,,,,,,,,,,,,
2010,12526448720.9322,693198000.0,486392588.834822,674322854.347832,567717977.389044,494952711.955426,477306939.799391,301486097.232788,932510585.250119,400640738.766875,1065785795.3711,2345737070.91639,1023433007.71762,661343668.186574,646944042.304543,518947738.88005,322865825.537,912863078.44258
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,8188589620.15938,488929999.906421,291808994.493842,417903946.653897,432699283.108018,364763391.982445,326648146.102665,221828537.609747,619980925.832371,228043740.330725,788014509.303815,1456899652.83944,627217352.10778,424612908.130587,436479767.811398,265592041.64755,194810240.058876,602356181.79487
2006,,,,,,,,,,,,,,,,,,
2005,5467647076.63632,393566962.496529,194703333.793369,258777955.816439,280820100.76656,218409736.732517,194181865.01819,133644986.769488,400316692.631975,153602496.267033,420664813.443922,908864181.26649,425643566.417028,350611486.089967,340898949.752159,205765574.10872,102616150.812277,484558224.453657
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,3134305016.85856,285787422.989725,103171891.024155,144807827.911793,156354358.234318,138916352.671387,84781571.09172,64483952.190134,215726168.166462,58045337.1744104,213653417.958036,444322891.409176,281326817.295279,146064292.101843,242910018.084582,173306319.334314,73139315.5002034,307507063.721027
2001,,,,,,,,,,,,,,,,,,
2000,2575527831.49567,264482669.860909,80837463.7338849,146508103.287729,170892098.268161,89257895.0138969,85232150.4757965,83211417.2383159,215871882.651944,62751301.1333895,157266045.073246,416297688.060152,221570467.397738,105707978.729791,169342750.095699,110427373.112852,51651589.7691475,144218957.593017
