年份,政府消费,农、林、牧、渔业用于政府消费的金额,采矿业用于政府消费的金额,食品、饮料制造及烟草制品业用于政府消费的金额,纺织、服装及皮革产品制造业用于政府消费的金额,其他制造业用于政府消费的金额,电力、热力及水的生产和供应业用于政府消费的金额,炼焦、燃气及石油加工业用于政府消费的金额,化学工业用于政府消费的金额,非金属矿物制品业用于政府消费的金额,金属产品制造业用于政府消费的金额,机械设备制造业用于政府消费的金额,建筑业用于政府消费的金额,运输仓储邮政、信息传输、计算机服务和软件业用于政府消费的金额,批发零售贸易、住宿和餐饮业用于政府消费的金额,房地产业、租赁和商务服务业用于政府消费的金额,金融业用于政府消费的金额,其他服务业用于政府消费的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,1237503118.68515,12379032.8592395,,,,,,,,,,,,,,,,1103917258.18322
2016,,,,,,,,,,,,,,,,,,
2015,970534166.0,10833996.6642008,,,,,,,,,,,,18729765.6386549,,7354952.56181963,1614215.82839635,932001235.306928
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,731817933.368402,6076074.49959634,,,,,,,,,,,,19730147.955222,,11370816.9687061,9360490.05555707,685280403.88932
2011,,,,,,,,,,,,,,,,,,
2010,519720573.67,4977112.39137816,,,,,,,,,,,,12031091.0817024,,7377031.60620055,2623906.9346279,492711431.656091
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,351909186.200692,3416229.58685555,,,,,,,,,,,,16214816.303128,,5690532.80983363,2720322.01841335,323867285.482462
2006,,,,,,,,,,,,,,,,,,
2005,266051999.684559,2820251.72462272,,,,,,,,,,,,5963879.40936302,,1066576.96053689,,256201291.590037
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,191199000.0,1641610.55780229,,,,,,,,,,,,3061651.27618003,,1018757.19393119,,185476980.972086
2001,,,,,,,,,,,,,,,,,,
2000,117053000.127891,,,,,,,,,,,,,,,12046368.65497,,105006631.472921
