年份,最终消费,农、林、牧、渔业用于最终消费的金额,采矿业用于最终消费的金额,食品、饮料制造及烟草制品业用于最终消费的金额,纺织、服装及皮革产品制造业用于最终消费的金额,其他制造业用于最终消费的金额,电力、热力及水的生产和供应业用于最终消费的金额,炼焦、燃气及石油加工业用于最终消费的金额,化学工业用于最终消费的金额,非金属矿物制品业用于最终消费的金额,金属产品制造业用于最终消费的金额,机械设备制造业用于最终消费的金额,建筑业用于最终消费的金额,运输仓储邮政、信息传输、计算机服务和软件业用于最终消费的金额,批发零售贸易、住宿和餐饮业用于最终消费的金额,房地产业、租赁和商务服务业用于最终消费的金额,金融业用于最终消费的金额,其他服务业用于最终消费的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,4441770001.35025,274785893.301117,1351020.70698849,624174972.129483,143149525.773942,3796624.67992502,62021553.8441299,115758378.861534,,5033270.03267424,5449976.98152127,227390668.711037,,,,,,1831833332.73067
2016,,,,,,,,,,,,,,,,,,
2015,3630338941.95537,191855151.115559,2654050.17378703,431707855.132002,156951252.619588,82376868.7341349,46031197.2851438,52932771.9073706,85806546.9504519,7157191.40300597,3815027.28385368,255579968.796112,,164141537.239693,276841408.713995,365427166.970352,164435405.555381,1342625542.07494
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,2717185766.00715,211936918.719639,1631933.40918244,376210299.037923,110936161.305078,32532834.3839351,35938156.6915652,36934001.0356724,59602940.0719257,5061192.7667012,4908608.77733989,146458111.165642,,143056309.748684,242425895.772625,228996603.746479,105244789.061987,975311010.312773
2011,,,,,,,,,,,,,,,,,,
2010,1966864777.18023,126679494.6413,1365886.84001478,278807696.178853,87970162.0887354,38984956.4376831,46556713.1888791,13732224.3909635,33457266.6400797,3095005.38215971,4864486.48092409,108621415.570359,12483648.1442386,87855430.1972808,164728468.664678,183116935.698155,62006570.481907,712538416.154016
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,1317435370.46613,114976728.721532,1477904.65732192,166879064.059816,61137553.4328606,23212134.3538421,26750693.8770261,10679885.3330534,23510405.9852136,2796629.32074359,4108598.70462508,65620259.3100311,9318748.27725,70125004.136621,134956976.733159,93568018.7400723,44150738.3488064,464166026.474155
2006,,,,,,,,,,,,,,,,,,
2005,978226899.780655,107075722.342888,2377753.76294208,102497554.654607,45863661.3792079,17842764.8396826,18372722.2185993,5699239.16562796,20495149.8851541,7601631.1430804,4555216.58176372,50691758.2715726,,54560329.2729951,78892264.9964136,64351728.8219519,34623100.0,362726302.444168
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,716912000.0,106281547.537421,2851623.57307379,71735425.1271334,32309735.8299328,13269314.1139644,12741727.0,2919227.0,14479682.0041988,5598034.19995785,3930922.9836425,29523944.8327923,,20769441.0125295,62691774.238616,55961289.728357,14803521.6886792,267044788.618431
2001,,,,,,,,,,,,,,,,,,
2000,560768476.589333,109555370.277075,1210627.665109,88279384.6525794,34099173.4517472,14862955.4502029,7050030.74105209,3342678.79201132,16897436.10809,7214661.25301819,3750611.90289625,35153063.9579687,,16526832.2695501,34730720.6045971,41915647.7446337,14759476.5323308,131419805.186472
