年份,居民最终消费,农、林、牧、渔业用于居民消费的金额,采矿业用于居民消费的金额,食品、饮料制造及烟草制品业用于居民消费的金额,纺织、服装及皮革产品制造业用于居民消费的金额,其他制造业用于居民消费的金额,电力、热力及水的生产和供应业用于居民消费的金额,炼焦、燃气及石油加工业用于居民消费的金额,化学工业用于居民消费的金额,非金属矿物制品业用于居民消费的金额,金属产品制造业用于居民消费的金额,机械设备制造业用于居民消费的金额,建筑业用于居民消费的金额,运输仓储邮政、信息传输、计算机服务和软件业用于居民消费的金额,批发零售贸易、住宿和餐饮业用于居民消费的金额,房地产业、租赁和商务服务业用于居民消费的金额,金融业用于居民消费的金额,其他服务业用于居民消费的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,3204266882.6651,262406860.441878,1351020.70698849,624174972.129483,143149525.773942,3796624.67992502,62021553.8441299,115758378.861534,,5033270.03267424,5449976.98152127,227390668.711037,,,,,,727916074.547449
2016,,,,,,,,,,,,,,,,,,
2015,2659804775.95537,181021154.451358,2654050.17378703,431707855.132002,156951252.619588,82376868.7341349,46031197.2851438,52932771.9073706,85806546.9504519,7157191.40300597,3815027.28385368,255579968.796112,,145411771.601038,276841408.713995,358072214.408532,162821189.726985,410624306.768013
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,1985367832.63875,205860844.220043,1631933.40918244,376210299.037923,110936161.305078,32532834.3839351,35938156.6915652,36934001.0356724,59602940.0719257,5061192.7667012,4908608.77733989,146458111.165642,,123326161.793462,242425895.772625,217625786.777773,95884299.0064301,290030606.423452
2011,,,,,,,,,,,,,,,,,,
2010,1447144203.51023,121702382.249922,1365886.84001478,278807696.178853,87970162.0887354,38984956.4376831,46556713.1888791,13732224.3909635,33457266.6400797,3095005.38215971,4864486.48092409,108621415.570359,12483648.1442386,75824339.1155784,164728468.664678,175739904.091955,59382663.5472791,219826984.497925
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,965526184.265436,111560499.134676,1477904.65732192,166879064.059816,61137553.4328606,23212134.3538421,26750693.8770261,10679885.3330534,23510405.9852136,2796629.32074359,4108598.70462508,65620259.3100311,9318748.27725,53910187.833493,134956976.733159,87877485.9302386,41430416.3303931,140298740.991693
2006,,,,,,,,,,,,,,,,,,
2005,712174900.096095,104255470.618266,2377753.76294208,102497554.654607,45863661.3792079,17842764.8396826,18372722.2185993,5699239.16562796,20495149.8851541,7601631.1430804,4555216.58176372,50691758.2715726,,48596449.8636321,78892264.9964136,63285151.861415,34623100.0,106525010.854131
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,525713000.0,104639936.979618,2851623.57307379,71735425.1271334,32309735.8299328,13269314.1139644,12741727.0,2919227.0,14479682.0041988,5598034.19995785,3930922.9836425,29523944.8327923,,17707789.7363494,62691774.238616,54942532.5344258,14803521.6886792,81567807.6463444
2001,,,,,,,,,,,,,,,,,,
2000,443715476.461443,109555370.277075,1210627.665109,88279384.6525794,34099173.4517472,14862955.4502029,7050030.74105209,3342678.79201132,16897436.10809,7214661.25301819,3750611.90289625,35153063.9579687,,16526832.2695501,34730720.6045971,29869279.0896637,14759476.5323308,26413173.713551
