年份,城镇居民消费,农、林、牧、渔业用于城镇居民消费的金额,采矿业用于城镇居民消费的金额,食品、饮料制造及烟草制品业用于城镇居民消费的金额,纺织、服装及皮革产品制造业用于城镇居民消费的金额,其他制造业用于城镇居民消费的金额,电力、热力及水的生产和供应业用于城镇居民消费的金额,炼焦、燃气及石油加工业用于城镇居民消费的金额,化学工业用于城镇居民消费的金额,非金属矿物制品业用于城镇居民消费的金额,金属产品制造业用于城镇居民消费的金额,机械设备制造业用于城镇居民消费的金额,建筑业用于城镇居民消费的金额,运输仓储邮政、信息传输、计算机服务和软件业用于城镇居民消费的金额,批发零售贸易、住宿和餐饮业用于城镇居民消费的金额,房地产业、租赁和商务服务业用于城镇居民消费的金额,金融业用于城镇居民消费的金额,其他服务业用于城镇居民消费的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,2556879016.98466,175580822.87492,541848.43509821,459772044.864463,121077442.577658,2774142.66269045,53907149.3398002,97008090.9519529,,3772988.7804277,4730120.35497279,193179023.600564,,,,,,618241477.694374
2016,,,,,,,,,,,,,,,,,,
2015,2068371924.64233,117669296.211934,949585.30402741,306676776.612002,124273513.624256,64396273.225584,33547895.8583058,42781074.9051049,66196368.9648313,4993494.66557709,2716841.4077566,212715259.531574,,116319434.85988,230378818.66798,264276466.794187,140316197.930713,340164626.078618
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,1533139381.08,125492145.748467,638967.411510042,272142476.278812,88556431.5489113,25685144.6537155,28723866.8626043,34212769.0027816,48761881.5827383,3567737.39628845,4031789.9906399,120053730.502592,,99446601.3879822,196291989.230788,170498730.088357,81652800.2379879,233382319.159567
2011,,,,,,,,,,,,,,,,,,
2010,1121392092.14,64277434.6334591,526877.713871941,201436073.708369,70165542.4123504,32079789.3827345,38937051.5980607,12467080.7340181,25606020.49216,2801553.32537942,4077387.94360967,88816596.1212646,12483648.1442386,60781475.7606502,126138434.75082,146147924.46453,49378500.0,185270700.956629
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,722353743.86,59967034.9532283,604441.545231694,122862401.779488,49122299.5536787,19629234.7853187,21159879.23998,9309325.00003637,17375076.2561041,2294313.27653298,3404223.04005101,51262854.9579009,9318748.27725,42298655.8600909,101381333.375179,64277656.2381154,34359558.0720084,113726707.646429
2006,,,,,,,,,,,,,,,,,,
2005,519893100.44,54690428.8980223,1767624.97154294,69267408.3795112,37780794.7794728,14856509.1651573,15696963.4771212,4776449.74267321,14630888.6281217,6356479.74656459,3507981.52520979,39392016.4421816,,39897851.7990468,62813397.0369806,40555846.0318792,28859700.0,85042759.8215068
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,362996000.0,55311145.4071078,2072983.74083717,46839594.2252413,25810962.6001527,10806275.4815368,10451072.0,2504000.0,9496690.66138779,4602802.39664394,3173868.90062836,23357855.9690689,,13024018.5670211,48540636.1560828,32682272.9594486,9431638.55611474,64890182.3526423
2001,,,,,,,,,,,,,,,,,,
2000,197681306.0,45369909.317996,418295.082084777,47853460.2537193,21502204.4995485,9894088.53521411,4918183.96117733,2864859.96548926,9148717.65994175,5242760.28969773,2044899.97477225,20269640.9537372,,9963688.58726272,23167655.8645971,15008689.6372878,9047170.50819406,19319945.3515532
