年份,最终使用,农、林、牧、渔业用于最终使用的金额,采矿业用于最终使用的金额,食品、饮料制造及烟草制品业用于最终使用的金额,纺织、服装及皮革产品制造业用于最终使用的金额,其他制造业用于最终使用的金额,电力、热力及水的生产和供应业用于最终使用的金额,炼焦、燃气及石油加工业用于最终使用的金额,化学工业用于最终使用的金额,非金属矿物制品业用于最终使用的金额,金属产品制造业用于最终使用的金额,机械设备制造业用于最终使用的金额,建筑业用于最终使用的金额,运输仓储邮政、信息传输、计算机服务和软件业用于最终使用的金额,批发零售贸易、住宿和餐饮业用于最终使用的金额,房地产业、租赁和商务服务业用于最终使用的金额,金融业用于最终使用的金额,其他服务业用于最终使用的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,9724840892.78848,310729850.887408,9381170.9505611,675036991.39968,326004322.608152,17710540.1432818,63677853.644511,257011603.620595,,34641981.3554066,135349200.01203,1728845561.71016,2188692348.82267,,,,,1872123582.88717
2016,,,,,,,,,,,,,,,,,,
2015,8147539541.40072,238134433.273741,7911839.08066123,480710987.364762,344804019.418503,208108978.665078,46907936.8221438,58320637.8728693,184649944.844762,38452831.9651503,105351472.660657,1677289051.98912,1801096661.14787,388874734.602872,539597276.20232,493968629.133903,169959757.928836,1363400348.42747
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,6567743245.75515,286678966.552621,12469606.0972426,422265479.699071,273723635.184182,156099475.019221,36716264.1179902,53713866.8096282,160758386.49352,31114067.600644,123540156.232473,1511103203.10469,1296852813.93771,310788618.335185,421234155.506559,364389891.231999,109392810.949596,996901848.882817
2011,,,,,,,,,,,,,,,,,,
2010,5022012609.37557,172935162.488156,16903200.8877443,313492019.646974,242777593.460137,140339801.653379,47495713.9408462,21514989.7975769,139530388.271155,26452639.2574416,92435844.69458,1289786166.22013,984978890.525827,170055882.61423,268137331.166965,300636779.170524,64076703.3622535,730463502.217644
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,3382039494.91864,142052871.750353,10369689.7129692,195481244.785116,202548378.607924,105594292.008464,27401824.3443907,17826630.492265,100812259.109866,18174951.4357928,108586209.50427,839351430.21929,601873406.806587,130139751.705523,202246138.490975,159725284.915215,45013176.4248064,474841954.60483
2006,,,,,,,,,,,,,,,,,,
2005,2469642631.10427,128549074.266975,6399646.83502322,146087474.67988,149437373.046926,63007084.4174785,18925241.9531885,12773515.1800425,62389662.422323,18403257.3437495,57279101.2171184,621039676.416819,414518177.993455,99325038.1121958,148488248.753657,104457025.203662,35192135.62133,383370897.64045
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,1482005175.0,122070572.820256,9259032.51451985,83368780.0732882,87386654.7545685,53019.0,184427.0,-219382.0,38677330.8487827,8310056.01522378,22380504.9937207,267231852.897886,273799510.973494,37687963.9527147,102503845.228095,77424601.2886995,15021653.2837169,280333862.553924
2001,,,,,,,,,,,,,,,,,,
2000,1117755958.28705,126490434.391817,6743314.03110793,95050357.3413888,76706969.2022159,28781521.2832218,7050030.74105209,4086044.96490666,36990758.5290857,11100292.267225,18481199.4945731,206875336.499618,217126328.60753,24896471.1388382,53375954.8377313,56998409.8246337,14915872.2191475,132086662.912955
