年份,出口,农、林、牧、渔业用于出口的金额,采矿业用于出口的金额,食品、饮料制造及烟草制品业用于出口的金额,纺织、服装及皮革产品制造业用于出口的金额,其他制造业用于出口的金额,电力、热力及水的生产和供应业用于出口的金额,炼焦、燃气及石油加工业用于出口的金额,化学工业用于出口的金额,非金属矿物制品业用于出口的金额,金属产品制造业用于出口的金额,机械设备制造业用于出口的金额,建筑业用于出口的金额,运输仓储邮政、信息传输、计算机服务和软件业用于出口的金额,批发零售贸易、住宿和餐饮业用于出口的金额,房地产业、租赁和商务服务业用于出口的金额,金融业用于出口的金额,其他服务业用于出口的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,1638468236.32323,11935754.5116521,4873424.68073292,35859177.1717096,184337606.706223,13124814.3445848,953252.364717239,133860091.258621,,28827542.8125352,101480437.289876,707078598.406373,8252443.40181024,,,,,40290250.1564992
2016,,,,,,,,,,,,,,,,,,
2015,1484483433.03003,9151855.09674361,3300221.31356336,28412513.4859664,168236895.921065,93079741.5634272,876739.537,7455884.57087124,106982595.378081,33336193.8251003,98534635.112067,625773503.23666,10371821.1478734,70507854.4967743,178379773.019498,32584946.5993487,5524352.37345445,11973906.3525331
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,1366658525.78813,7816220.63021789,4661988.73521752,28019945.2527183,159364386.074423,97491639.4529422,778107.426425,11744437.6484585,98856503.2053648,26733885.1580718,87454254.4450755,590726233.64417,7730236.31888125,66923658.7822758,123386341.060348,41329287.4855198,4148021.88760893,9493378.58041457
2011,,,,,,,,,,,,,,,,,,
2010,1119108719.92358,8446626.95416619,5343345.282956,22082508.3476439,147862250.338156,66871675.9901478,791958.148114828,8174685.05028788,94420280.3400691,19022111.8951195,71102192.8915845,492918659.910728,9812177.97811155,44466893.0955191,74444291.2846311,42883843.4723683,2070132.88034644,8395086.06362823
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,955409910.047372,6659785.1083398,6400504.5529125,19121135.3853318,138885319.909929,60303334.0200313,651130.467364564,7678378.27588982,72379174.1176023,14836921.2951168,87140072.5598811,404595757.669627,4088746.84,44780693.3170358,47440878.0536359,32094712.268,862438.076,7490928.1306752
2006,,,,,,,,,,,,,,,,,,
2005,684952724.660104,6001733.44842256,7930210.37270744,15681840.7891729,98959369.9863225,42580384.3653377,552519.734589202,7049928.15834911,51339161.5471869,9031299.00386497,47943620.0089285,288774259.859574,2124066.03233,31614161.3794903,49847242.7745059,6374996.38171,569035.62133,18578895.1962825
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,309443175.0,4741964.93693822,4484214.68145887,8934889.75372057,54951070.1980396,20802597.0,512777.0,2630030.0,21763899.0293428,4177255.93482122,15270048.9603773,104448272.352118,1045918.64826155,14518826.2031851,28878774.7893385,10036576.4876463,218131.595037687,12027927.1567458
2001,,,,,,,,,,,,,,,,,,
2000,231989481.37672,5847007.62000175,4006230.36599893,9312851.87880939,44588471.5704688,13063714.5246953,,2261225.91102568,19190632.5564257,3936231.1942068,14507201.3620234,81562195.7119014,249234.760641196,7615011.5622881,14987156.8649343,10039062.08,156395.686816744,666857.72648283
