年份,资本形成总额,农、林、牧、渔业用于资本形成总额的金额,采矿业用于资本形成总额的金额,食品、饮料制造及烟草制品业用于资本形成总额的金额,纺织、服装及皮革产品制造业用于资本形成总额的金额,其他制造业用于资本形成总额的金额,电力、热力及水的生产和供应业用于资本形成总额的金额,炼焦、燃气及石油加工业用于资本形成总额的金额,化学工业用于资本形成总额的金额,非金属矿物制品业用于资本形成总额的金额,金属产品制造业用于资本形成总额的金额,机械设备制造业用于资本形成总额的金额,建筑业用于资本形成总额的金额,运输仓储邮政、信息传输、计算机服务和软件业用于资本形成总额的金额,批发零售贸易、住宿和餐饮业用于资本形成总额的金额,房地产业、租赁和商务服务业用于资本形成总额的金额,金融业用于资本形成总额的金额,其他服务业用于资本形成总额的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,3644602655.115,24008203.0746389,3156725.56283968,15002842.0984874,-1482809.87201344,789101.118771975,703047.435663845,7393133.50044022,,781168.5101971,28418785.7406327,794376294.59275,2180439905.42086,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,3032717166.41532,37127427.0614386,1957567.59331084,20590618.7467937,19615870.8778509,32652368.3675162,,-2068018.6053725,-8139197.48377072,-2040553.26295603,3001810.26473601,795935579.956344,1790724840.0,154225342.866405,84376094.4688266,95956515.5642024,,8800900.0
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,2483898953.95987,66925827.2027638,6175683.95284262,18035235.4084296,3423087.80468042,26075001.1823437,,5035428.12549727,2298943.21622989,-681010.32412904,31177293.0100572,773918858.294882,1289122577.61883,100808649.804226,55421918.6735868,94064000.0,,12097459.9896293
2011,,,,,,,,,,,,,,,,,,
2010,1936039112.27176,37809040.8926893,10193968.7647735,12601815.1204779,6945181.03324553,34483169.2255483,147042.603852219,-391919.643674476,11652841.2910067,4335521.98016248,16469165.3220714,688246090.739046,962683064.403476,37733559.32143,28964571.2176557,74636000.0,,9530000.0
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,1109194214.40514,20416357.9204817,2491280.50273482,9481045.33996816,2525505.26513485,22078823.6345901,,-531633.116678275,4922679.00705045,541400.819932353,17337538.239764,369135413.239632,588465911.689337,15234054.2518658,19848283.7041805,34062553.9071428,,3185000.0
2006,,,,,,,,,,,,,,,,,,
2005,806463006.663515,15471618.4756642,-3908317.30062631,27908079.2360999,4614341.68139564,2583935.21245821,,24347.856065466,-9444649.01001801,1770327.19680415,4780264.6264262,281573658.285672,412394111.961125,13150547.4597104,19748740.982738,33730300.0,,2065700.0
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,455650000.0,11047060.3458967,1923194.25998719,2698465.19243423,125848.726596016,4022988.05196753,,-349708.0,2433749.81524113,-1465234.11955529,3179533.04970086,133259635.712976,272753592.325233,2399696.73700009,10933296.2001408,11426735.0726962,,1261146.77874707
2001,,,,,,,,,,,,,,,,,,
2000,324998000.320994,11088056.4947403,1526456.0,-2541879.19,-1980675.82,854851.308323514,,-1517859.73813034,902689.864570015,-50600.18,223386.229653527,90160076.8297476,216877093.846889,754627.307,3658077.3682,5043700.0,,
