年份,其他,农、林、牧、渔业用于其他的金额,采矿业用于其他的金额,食品、饮料制造及烟草制品业用于其他的金额,纺织、服装及皮革产品制造业用于其他的金额,其他制造业用于其他的金额,电力、热力及水的生产和供应业用于其他的金额,炼焦、燃气及石油加工业用于其他的金额,化学工业用于其他的金额,非金属矿物制品业用于其他的金额,金属产品制造业用于其他的金额,机械设备制造业用于其他的金额,建筑业用于其他的金额,运输仓储邮政、信息传输、计算机服务和软件业用于其他的金额,批发零售贸易、住宿和餐饮业用于其他的金额,房地产业、租赁和商务服务业用于其他的金额,金融业用于其他的金额,其他服务业用于其他的金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,-93467359.5015736,8718580.9473395,-4828105.16254625,-12479992.2652535,-9799685.53409955,-10698532.2954598,-27368772.2491772,-7972701.90042634,-25071045.7072416,-18868039.7085309,-14808674.8574386,-24814781.7154543,98119148.6061136,3224568.67962273,16212160.9525935,-29167500.3237315,-948359.02794195,-32915627.9399537
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,20528250.2717736,6223678.3861051,-2038441.2492371,8650833.61879391,8131428.06288371,1444734.23996017,-765214.109313138,-235454.099334588,-2135195.08282455,-2648997.48847908,-7250381.50754735,5499975.3052575,4945821.16523427,364889.932720909,110622.233786017,430788.810120862,-545062.575529329,344224.629176245
2011,,,,,,,,,,,,,,,,,,
2010,29628950.6320314,22167219.9007065,-18437812.7065184,25551080.089231,6318294.94234348,-1953049.62835742,-15854536.1215935,-13421896.7492307,-13194304.5688205,-13548124.2300532,-24324041.7127052,40699006.5003426,7249810.25208627,-13336363.1658289,14599947.3754533,17930312.5746863,10802305.617264,-1618897.73697429
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,18604163.2118835,26717057.8203617,-2903905.28298029,17605576.1859519,-525974.373510256,-662857.666535061,-12612423.0132686,-7171878.59725241,-5449043.86369085,-5661331.00076306,-25832847.03316,9526278.04484632,7557010.89695163,3128631.83465234,7278079.65545224,1429196.18557169,5526379.16566214,656213.808662533
2006,,,,,,,,,,,,,,,,,,
2005,-13097468.59347,10046257.0256306,-3426244.12230786,9971855.64944199,8897677.84492067,-2475321.50818308,4867472.99511681,-5651967.10112822,2962330.12178558,7097676.12896191,-9305019.69671708,2790303.39972076,-22986831.9014849,-9432391.88250745,-16350732.2959989,-1097628.94092833,-5714909.90766689,16710005.5978744
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,6008674.0,7141077.22496563,4686325.741862,5380920.95158594,3762157.22260125,2089623.0,-2646875.0,1545155.0,2587274.0,-757340.197412875,2868827.0,1316130.4778586,-10089915.4924269,2091450.47945775,-873540.63542356,1711570.23978777,-2199461.74706129,-12604704.1626482
2001,,,,,,,,,,,,,,,,,,
2000,2528230.21418533,3583911.06692639,1717257.06674802,3722360.77999581,5024504.27979897,1323056.27404347,-2069787.86525562,-2050869.39424395,-2340234.29543471,-1559385.88513111,-2544739.46764728,10506743.5335165,-8769803.63888919,-2990245.16143075,7200962.90661389,-1732832.17931681,-525475.609999999,-5967192.19610828
