年份,进口,农、林、牧、渔业进口金额,采矿业进口金额,食品、饮料制造及烟草制品业进口金额,纺织、服装及皮革产品制造业进口金额,其他制造业进口金额,电力、热力及水的生产和供应业进口金额,炼焦、燃气及石油加工业进口金额,化学工业进口金额,非金属矿物制品业进口金额,金属产品制造业进口金额,机械设备制造业进口金额,建筑业进口金额,运输仓储邮政、信息传输、计算机服务和软件业进口金额,批发零售贸易、住宿和餐饮业进口金额,房地产业、租赁和商务服务业进口金额,金融业进口金额,其他服务业进口金额
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,1492683828.39249,60158244.7646583,232909803.562252,58567441.1426047,30800860.4058739,18067347.4195533,209381.7749,189414412.557223,,10101555.3735417,88631174.3592389,546756814.895229,5834763.79313496,,,,,100763677.711866
2016,,,,,,,,,,,,,,,,,,
2015,1251531020.59224,52210005.9269428,156857220.615565,44656337.0621985,29078123.7459046,43361721.871628,214612.92376088,20413936.7140301,120972937.213799,8809895.42209905,95542486.5844732,482373737.853546,6351282.89938551,88676404.7577094,29564846.6334995,27094459.9346671,9248112.00328924,36104898.4297382
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,1220269786.53407,51186806.7959375,248969888.115306,33809816.6032391,20543195.3338147,43132590.0604163,221872.46899375,28816782.8352875,123067057.248493,7026282.17338453,97649841.5002025,458533409.234876,2284306.8103625,40051668.6026271,11526917.3760166,27953887.4811457,4433606.88178553,21061857.0121839
2011,,,,,,,,,,,,,,,,,,
2010,1015151806.79542,41033459.8248994,175809623.225264,24256662.5959104,17226804.0418537,50519076.1072701,185728.05277125,20842144.380179,118823964.076434,5749922.27879434,58454312.0839408,425384810.116853,3433383.09733245,20033294.5185019,7549573.39666959,24934988.194581,2146592.64751256,18767468.1566515
2009,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2007,740205546.81336,23279609.1164565,103388758.530215,15815254.6069562,14270615.7874114,27295814.3828708,179856.8690744,14501469.0861596,91051715.2936406,3772993.11690274,49051969.5568886,337102931.984634,2212627.128,15028793.412632,5233455.9531506,24112559.0103356,1291731.66113684,12615391.3168948
2006,,,,,,,,,,,,,,,,,,
2005,593984570.821589,17224665.9037567,62754614.447129,9650196.4116171,20487496.5761803,21097299.2770713,217620.187429998,13598239.7905724,75450833.5167982,2920304.05500357,42365542.832117,284554049.843076,1326549.15294,9821139.85198205,9764060.143128,10010259.03834,3398293.9782,9343405.8162474
2004,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2002,269424809.0,6811579.15381063,16689591.2309361,5270967.6750289,16304205.8005964,8877012.0,106173.0,5208068.0,35881658.0,1979121.90355425,22669240.0,129817404.737641,797672.368391871,2919901.96060707,37980.8831604782,7718880.04190505,2760460.27234275,5574891.34125641
2001,,,,,,,,,,,,,,,,,,
2000,-196815421.555288,-5430392.64423451,-15957450.2259861,-5811355.58365544,-11301475.1638544,-12020918.6792683,,-5084280.68044682,-26909947.0817066,-2314497.41870442,-20526428.7236803,-81031306.2929818,-411470.470902894,-1575754.25761656,-694551.918646357,-5215048.95246449,-2045592.64,-484950.821139215
