年份,保险系统职工人数,保险集团公司职工人数,中资保险公司职工人数,中资保险公司总公司职工人数,中资保险公司省级分公司职工人数,中资保险公司中心支分公司职工人数,中资保险公司支公司职工人数,中资保险公司营业部职工人数,中资保险公司营销服务部职工人数,中外合资保险公司职工人数,中外合资保险公司总公司职工人数,中外合资保险公司省级分公司职工人数,保险系统女职工人数,保险集团公司女职工人数,中资保险公司女职工人数,中资保险公司总公司女职工人数,中资保险公司省级分公司女职工人数,中资保险公司中心支分公司女职工人数,中资保险公司支公司女职工人数,中资保险公司营业部女职工人数,中资保险公司营销服务部女职工人数,中外合资保险公司女职工人数,中外合资保险公司总公司女职工人数,中外合资保险公司省级分公司女职工人数
2019,1233180,6327,1164561,73330,283518,431238,283134,22735,70495,62292,15722,24273,641671,2815,603367,36839,152057,227939,142174,11668,32690,35489,8837,14062
2018,1237751,8264,1162612,70501,283649,440988,273319,23370,70675,66875,16223,27096,647177,4141,605865,34953,151020,236029,138357,11852,33654,37171,8173,15284
2017,1181849,7047,1111990,56580,288069,423704,255637,21896,66002,62812,14900,26129,624366,4055,585081,28460,153157,228359,131194,11223,32688,35230,7497,15102
2016,1123180,5290,1059516,51102,278761,404909,241745,20175,62727,58374,14574,24426,600107,2668,565019,25341,149546,224328,124529,10349,30926,32420,7496,13648
2015,1024572,5660,970573,45187,263123,370179,216972,18946,56073,48339,13275,19854,542852,2576,513181,22113,139566,202721,111418,9546,27817,27095,6861,11387
2014,904253,4824,855320,40989,244445,314992,188588,15547,50688,44109,12791,17162,478077,2114,451109,19653,131756,172893,94158,7466,25183,24854,6602,9911
2013,831303,3968,788540,37210,204266,296500,169416,18622,62461,38795,11936,15313,437531,1916,413319,17472,107337,160374,86173,9155,32808,22296,6354,8987
2012,846504,2931,825184,33398,225843,305479,159864,18733,66132,33591,10764,13190,447449,1224,427890,15889,116909,162251,79506,9176,35272,18335,5114,7357
2011,776258,2573,743596,30883,188270,293880,153636,15611,61316,30089,10182,11852,383349,1064,366693,14216,95765,152131,69197,6980,28404,15592,5164,6103
2010,685856,2208,649976,24375,165387,246310,138885,15339,59475,33672,10903,10191,355099,908,333696,10968,85093,134238,67088,7119,29190,20495,6513,6133
2009,630734,1954,599923,22040,144202,223900,135355,15130,59244,28857,10526,10094,324752,824,306629,9845,73590,119461,65332,7182,31219,17299,6215,6124
2008,599344,1866,570879,16732,132028,205811,134830,15675,65730,26599,9834,9609,305982,839,289320,7440,67178,108183,64572,7643,34304,15823,5780,5821
2007,500441,4569,474917,15992,101240,162243,126920,14114,54338,20955,7718,7259,247726,2234,233169,7044,50036,83743,58862,6634,26850,12323,4479,4490
2006,434001,4967,411911,9176,84501,141588,114944,12961,43743,17123,6728,6158,205517,2235,193371,3792,40115,71680,50917,6043,20824,9911,3831,3655
2005,366559,3631,351787,7439,73632,123707,94380,11036,41593,11141,5483,3507,170909,1725,162713,2964,35861,60209,38945,4643,20091,6471,3079,2181
2004,262429,1898,252902,4506,86637,88543,44112,5466,23638,7629,4727,2092,124971,646,120179,2429,42194,42222,19986,2659,10689,4146,2325,1342
2003,199705,,,,,,,,,,,,,,,,,,,,,,,
2002,194383,,,,,,,,,,,,,,,,,,,,,,,
2001,185502,,,,,,,,,,,,,,,,,,,,,,,
2000,166602,,,,,,,,,,,,,,,,,,,,,,,
