省份编码,省份,年份,城镇职工参加养老保险人数(万人),在职职工参加养老保险人数(万人),离退人员参加养老保险人数(万人),基本养老保险基金收入(万元),基本养老保险基金支出(万元),基本养老保险累计结余(万元)
110000,北京市,2019,1748.241,1445.627,302.614,27606308.0,16982890.0,60185263.0
110000,北京市,2018,1685.78,1392.239,293.541,25538668.0,15191599.0,52981846.0
110000,北京市,2017,1604.49,1321.364,283.126,22229584.0,13943120.0,43948777.0
110000,北京市,2016,1546.64,1271.248,275.392,22490081.0,14793502.0,35662313.0
110000,北京市,2015,1424.249,1187.511,236.738,16012122.0,9654564.0,27965733.0
110000,北京市,2014,1392.6052,1163.7411,228.8641,13312646.0,8417075.0,21608174.0
110000,北京市,2013,1311.2997,1091.3007,219.999,11812724.0,7347896.0,16712604.0
110000,北京市,2012,1206.3791,995.7005,210.6786,9950957.0,6401624.0,12247777.0
110000,北京市,2011,1089.3879,888.2116,201.1763,8127830.0,5608331.0,8698444.0
110000,北京市,2010,981.3,785.9,195.5,6589000.0,4824000.0,6179000.0
110000,北京市,2009,826.6511,638.4111,188.24,5276284.0,4156907.0,4413534.0
110000,北京市,2008,757.1514,577.0017,180.1497,4414192.0,3555517.0,3294155.0
110000,北京市,2007,,499.8464,171.1731,3563274.0,2736317.0,2435480.0
110000,北京市,2006,,442.6227,160.9425,2890610.0,2287321.0,1608522.0
110000,北京市,2005,520.0,364.7453,155.2072,2410284.0,1955722.0,1005233.0
110000,北京市,2004,,311.122,148.5676,1914411.0,1742381.0,550671.0
110000,北京市,2003,,306.9979,141.478,1663306.0,1475353.0,378691.0
110000,北京市,2002,,303.0,133.2,1278470.0,1312101.0,184261.0
110000,北京市,2001,,301.6286,124.2848,1166152.0,1105448.0,221328.0
110000,北京市,2000,,275.3282,,,,
120000,天津市,2019,695.57,469.261,226.309,10211690.0,10005191.0,5564640.0
120000,天津市,2018,683.159,462.203,220.956,11203094.0,10599011.0,5303140.0
120000,天津市,2017,655.015,441.231,213.784,8943027.0,8361198.0,4631564.0
120000,天津市,2016,639.031,430.418,208.613,7513730.0,7500697.0,3977270.0
120000,天津市,2015,565.179,384.248,180.931,5942640.0,5595140.0,3964237.0
120000,天津市,2014,545.4325,370.1761,175.2564,5344425.0,4916553.0,3616736.0
120000,天津市,2013,520.6662,352.2795,168.3867,4660043.0,4263457.0,3188863.0
120000,天津市,2012,490.263,333.3584,156.9046,4204939.0,3650161.0,2792278.0
120000,天津市,2011,458.7054,309.8652,148.8402,3358157.0,3150725.0,2237500.0
120000,天津市,2010,431.5,287.9,143.6,2789000.0,2718000.0,2030000.0
120000,天津市,2009,401.5257,264.9968,136.5289,2500609.0,2300894.0,1959894.0
120000,天津市,2008,376.5273,247.1966,129.3307,2389782.0,1953265.0,1760180.0
120000,天津市,2007,,225.5978,119.1592,1967549.0,1518136.0,1323662.0
120000,天津市,2006,,215.5406,112.6551,1574749.0,1300185.0,874249.0
120000,天津市,2005,,200.617,107.6627,1298614.0,1020689.0,599685.0
120000,天津市,2004,,195.2012,102.8761,1041584.0,940897.0,321760.0
120000,天津市,2003,,185.6709,97.6077,852741.0,817207.0,221073.0
120000,天津市,2002,,204.6,91.4,746017.0,669677.0,185539.0
120000,天津市,2001,,196.2341,85.2141,557373.0,545174.0,109199.0
120000,天津市,2000,,208.0771,,,,
