省份编码,省份,年份,交通事故发生数总计(起),交通事故死亡人数总计(人),交通事故受伤人数总计(人),交通事故直接财产损失总计(万元)
110000,北京市,2019,3108,1258,2788,3513
110000,北京市,2018,3242,1288,2800,3517.1
110000,北京市,2017,3223,1378,2803,3149.5
110000,北京市,2016,3163,1359,2784,2819.4
110000,北京市,2015,2637,922,2617,2088.4
110000,北京市,2014,3196,851,3333,3064.7
110000,北京市,2013,3063,860,3359,2805.2
110000,北京市,2012,3196,918,3613,3017.9
110000,北京市,2011,3934,924,4503,1946.8
110000,北京市,2010,4279,974,4857,2431.3
110000,北京市,2009,3814,981,4426,2054.8
110000,北京市,2008,3943,986,4530,2066.6
110000,北京市,2007,5335,1182,6257,2620.2
110000,北京市,2006,5808,1373,6681,2772
110000,北京市,2005,6364,1515,6888,2915.6
110000,北京市,2004,8536,1631,8284,4058
110000,北京市,2003,10842,1641,9877,4361.4
110000,北京市,2002,12053,1499,10456,4112
110000,北京市,2001,,1447,10424,6267.1
110000,北京市,2000,,,,
120000,天津市,2019,6703,736,6632,4145.9
120000,天津市,2018,6223,750,6551,4041.7
120000,天津市,2017,5564,813,5542,4532.8
120000,天津市,2016,5912,821,6398,4488.8
120000,天津市,2015,5358,826,5954,3925.5
120000,天津市,2014,5322,828,6171,4256.3
120000,天津市,2013,4313,836,4920,3924.2
120000,天津市,2012,3101,848,3429,3396.9
120000,天津市,2011,2600,908,2875,2170.8
120000,天津市,2010,3165,950,3671,1987.1
120000,天津市,2009,3839,945,4608,2256.2
120000,天津市,2008,4048,1225,4494,3069.7
120000,天津市,2007,4482,849,5196,2532.9
120000,天津市,2006,4913,878,5865,3319.2
120000,天津市,2005,4406,970,4939,2455.8
120000,天津市,2004,5485,992,4859,3273.8
120000,天津市,2003,10267,1129,5892,5460.5
120000,天津市,2002,10217,1218,6021,5402.9
120000,天津市,2001,,1119,6017,5313.1
120000,天津市,2000,,,,
130000,河北省,2019,4890,2494,4191,4777.2
130000,河北省,2018,4923,2494,4303,4838
130000,河北省,2017,4848,2496,4427,4694.8
130000,河北省,2016,4919,2500,4433,5008.3
130000,河北省,2015,4852,2498,4319,3995.3
130000,河北省,2014,5009,2499,4533,4947.9
130000,河北省,2013,5204,2501,4770,3938.3
130000,河北省,2012,5285,2503,4738,5022.3
130000,河北省,2011,5197,2602,4661,3372.3
130000,河北省,2010,5959,2693,5785,3890.8
130000,河北省,2009,6802,2766,7422,4451.7
130000,河北省,2008,7621,2928,8056,4821
130000,河北省,2007,8503,3372,9101,5363.7
130000,河北省,2006,8631,3486,9580,5846
130000,河北省,2005,11187,4075,11449,7646.2
130000,河北省,2004,15095,4565,15088,7760.1
130000,河北省,2003,24333,4789,19260,10642.6
130000,河北省,2002,37895,6182,28662,13368.5
130000,河北省,2001,,6150,28929,14121.6
130000,河北省,2000,,,,
140000,山西省,2019,8427,2052,8825,5831.4
140000,山西省,2018,7636,2102,8022,5092.4
140000,山西省,2017,4988,2125,4934,3683.6
140000,山西省,2016,5088,2131,5278,3975.6
140000,山西省,2015,5099,2015,5495,3646.8
140000,山西省,2014,5121,2080,5422,2952.2
140000,山西省,2013,5303,2133,5520,2889.6
140000,山西省,2012,5587,2294,5982,3528.5
140000,山西省,2011,6239,2308,7212,3113
140000,山西省,2010,6962,2449,8200,3593.7
140000,山西省,2009,7697,2773,8829,3501.2
140000,山西省,2008,7867,2910,8937,3423.7
140000,山西省,2007,9078,3062,10509,3860.3
140000,山西省,2006,10981,3413,12340,5422.9
140000,山西省,2005,13342,3819,13575,5782.9
140000,山西省,2004,17206,4172,13843,8403.2
140000,山西省,2003,18556,3623,14145,8783
140000,山西省,2002,19641,3644,15416,7931
140000,山西省,2001,,3029,15757,6285.7
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,4233,981,4401,2403.3
150000,内蒙古自治区,2018,4230,1003,4614,3116.3
150000,内蒙古自治区,2017,3385,1014,3480,1639.1
150000,内蒙古自治区,2016,3172,972,3297,1402.6
150000,内蒙古自治区,2015,3215,973,3121,1587.2
150000,内蒙古自治区,2014,3406,1006,3236,1491.9
