省份编码,省份,年份,参加失业保险人数(万人),年末领取失业保险金人数(万人),失业保险基金收入(万元),失业保险基金支出(万元),失业保险累计结余(万元)
110000,北京市,2019,1294.7727,4.0137,1019838,927359,2254835
110000,北京市,2018,1240.691,3.793,1046960,722224,2703350
110000,北京市,2017,1170.9255,3.9053,821650.14648,658507.016263,2378613.333481
110000,北京市,2016,1114.993,3.705,806681.652774,616935.717843,2215470.203264
110000,北京市,2015,1082.287,3.369,816741.50921,427811.832543,2025724.268333
110000,北京市,2014,1057.127,2.97,626371.753924,359471.451943,1636794.591666
110000,北京市,2013,1025.092,2.404,564750.524258,321093.647853,1369894.289685
110000,北京市,2012,1006.739,2.259,463397.96895,289397.571747,1126237.41328
110000,北京市,2011,881.0357,1.9739,363501.280616,276841.575124,952237.02
110000,北京市,2010,774.2,1.5641,300000,251000,866000
110000,北京市,2009,675.7117,1.8081,279004.783888,178264.873776,816723.12
110000,北京市,2008,614.2985,2.5832,347436.088407,134805.036927,715987.64
110000,北京市,2007,535.25,3.0133,284140.463427,105994.263714,503333.55
110000,北京市,2006,482.156,3.11,225685.880416,120661.186538,325123.76
110000,北京市,2005,357.4714,3.4855,,,
110000,北京市,2004,308.2145,3.7757,,,
110000,北京市,2003,306.5695,5.1894,,,
110000,北京市,2002,299.6,4.837,,,
110000,北京市,2001,306.0,5.4805,,,
110000,北京市,2000,306.2,10.9062,,,
120000,天津市,2019,335.5057,6.6232,252351,340746,569901
120000,天津市,2018,323.443,6.86,269907,362053,822290
120000,天津市,2017,311.2977,8.3623,379042.241233,506957.517461,914440.10314
120000,天津市,2016,302.466,7.353,287642.205227,278090.858165,1042355.379368
120000,天津市,2015,295.324,7.103,301025.883682,316476.982513,1032804.032306
120000,天津市,2014,287.571,2.586,393657.215222,329178.830279,1048255.131137
120000,天津市,2013,278.687,2.002,341168.427051,132992.353436,983776.746194
120000,天津市,2012,268.692,1.974,305108.806278,128000.538067,775600.672579
120000,天津市,2011,258.7507,2.7755,257354.696992,145616.554716,598492.4
120000,天津市,2010,246.1,3.5196,211000,135000,487000
120000,天津市,2009,239.2218,3.1007,188564.237329,155588.813345,415274.97
120000,天津市,2008,232.4942,3.2137,168524.947096,50191.861213,382348.3
120000,天津市,2007,221.4905,3.3325,137263.29497,95487.871551,264040.27
120000,天津市,2006,216.6605,3.6244,117325.055642,36887.320509,222309.43
120000,天津市,2005,197.5091,3.7729,,,
120000,天津市,2004,195.0602,5.1315,64500,30600,67300
120000,天津市,2003,193.4596,9.3642,,,
120000,天津市,2002,196.3,12.4405,,,
120000,天津市,2001,214.274,10.7771,,,
120000,天津市,2000,216.869,11.0538,,,
130000,河北省,2019,554.1037,6.7321,342697,246988,1461383
130000,河北省,2018,546.001,6.843,324843,201930,1707870
130000,河北省,2017,529.7178,7.2279,277073.392663,271130.089087,1584960.272335
130000,河北省,2016,515.885,7.903,384465.871352,496085.763975,1579016.968759
