年份,平均预期寿命,男性平均预期寿命,女性平均预期寿命
2019,,,
2018,,,
2017,,,
2016,,,
2015,76.34,73.64,79.43
2014,,,
2013,,,
2012,,,
2011,,,
2010,74.83,72.38,77.37
2009,,,
2008,,,
2007,,,
2006,,,
2005,72.95,70.83,75.25
2004,,,
2003,,,
2002,,,
2001,,,
2000,71.4,69.63,73.33
