年份,人口出生率,人口死亡率,人口自然增长率
2019,10.48,7.14,3.34
2018,10.94,7.13,3.81
2017,12.43,7.11,5.32
2016,12.95,7.09,5.86
2015,12.07,7.11,4.96
2014,12.37,7.16,5.21
2013,12.08,7.16,4.92
2012,12.1,7.15,4.95
2011,11.93,7.14,4.79
2010,11.9,7.11,4.79
2009,11.95,7.08,4.87
2008,12.14,7.06,5.08
2007,12.1,6.93,5.17
2006,12.09,6.81,5.28
2005,12.4,6.51,5.89
2004,12.29,6.42,5.87
2003,12.41,6.4,6.01
2002,12.86,6.41,6.45
2001,13.38,6.43,6.95
2000,14.03,6.45,7.58
