省份编码,省份,年份,全社会固定资产投资(亿元),农、林、牧、渔业全社会固定资产投资(亿元),采矿业全社会固定资产投资(亿元),制造业全社会固定资产投资(亿元),电力、燃气及水的生产和供应业全社会固定资产投资(亿元),建筑业全社会固定资产投资(亿元),交通运输、仓储和邮政业全社会固定资产投资(亿元),信息传输计算机服务和软件业全社会固定资产投资(亿元),批发和零售业全社会固定资产投资(亿元),住宿和餐饮业全社会固定资产投资(亿元),金融业全社会固定资产投资(亿元),房地产业全社会固定资产投资(亿元),租赁和商务服务业全社会固定资产投资(亿元),科学研究、技术服务和地质勘查业全社会固定资产投资(亿元),水利、环境和公共设施管理业全社会固定资产投资(亿元),居民服务和其他服务业全社会固定资产投资(亿元),教育全社会固定资产投资(亿元),卫生、社会保障和社会福利业全社会固定资产投资(亿元),文化、体育和娱乐业全社会固定资产投资(亿元),公共管理和社会组织全社会固定资产投资(亿元),国际组织全社会固定资产投资(亿元)
110000,北京市,2019,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2017,8370.436,99.0405,3.1105,381.8627,476.454,6.5063,1129.107,282.0296,30.6633,10.7584,28.3667,4482.0821,283.9526,73.3641,758.9009,0.2274,129.279,66.1688,108.4642,20.0979,
110000,北京市,2016,7943.8925,104.664035081614,2.9345,384.768811306915,323.3072,6.58026105653191,761.612100908303,198.8521,29.9688471747782,45.806718483176,50.6453,4726.67278290276,129.2314,70.6236,722.1694,16.3208581763225,139.9305,56.9083,153.1872,19.7086,
110000,北京市,2015,7495.9934,111.036679990972,2.5705,362.460032720047,293.2474,5.65966292404253,714.953587567761,240.0167,60.7883091197958,40.9309484311876,73.3086,4479.34355599824,63.9778503389657,80.1114,550.5005,21.7167721122974,142.181,60.6292,133.3051,59.2556,
110000,北京市,2014,6924.2346,145.80985,7.1843,303.37782,353.1191,4.84705,767.98965,178.0349,33.90097,65.06297,54.3086,4068.80019,47.5457,115.8168,451.4343,11.55101,124.2405,67.0285,80.1762,44.0062,
110000,北京市,2013,6847.0572,175.47166,9.1031,451.73843,259.9015,7.74534,656.83863,191.4303,51.41172,78.18241,48.2115,3880.55028,50.485,108.0495,463.7767,14.65358,142.7356,60.893,111.63933,84.2396,
110000,北京市,2012,6112.4,127.2635,4.3469,414.5351,215.8383,8.6914,696.433,161.9617,27.8088,55.2972,26.6317,3491.1274,36.6107,128.6612,402.9217,18.1207,95.0346,44.1622,78.9475,77.9778,
110000,北京市,2011,5578.927,47.1583,8.7112,570.2054,161.7522,10.2589,505.9902,112.9323,28.7156,38.1151,38.0531,3241.7428,46.1657,91.9898,380.7424,11.5291,132.9636,48.0868,54.9774,48.8371,
110000,北京市,2010,5402.952,43.2,9.3,355.3,150.1,5.7,694.4,143.3,30.8,36.1,30.3,3196.2,27.7,85.3,352.7,6.8,88.8,39.1,71.9,36.0,
110000,北京市,2009,4616.9211,57.4192,23.0692,219.18,165.5979,5.2138,662.4976,140.0088,20.2264,40.3557,7.397,2572.5654,26.3638,59.1053,351.5875,6.5602,65.9057,41.4227,77.4428,75.0021,
