省份编码,省份,年份,房地产开发企业平均从业人数(人),内资房地产开发企业平均从业人数(人),国有房地产开发企业平均从业人数(人),集体房地产开发企业平均从业人数(人),港、澳、台投资房地产开发企业平均从业人数(人),外商投资房地产开发企业平均从业人数(人)
110000,北京市,2019,55012,48952,894,194,3760,2300
110000,北京市,2018,62518,54806,1065,205,4508,3204
110000,北京市,2017,80069,69892,1525,294,5598,4579
110000,北京市,2016,86737,75942,2361,331,6338,4457
110000,北京市,2015,90743,78994,2529,292,7355,4394
110000,北京市,2014,93685,80413,2604,314,8117,5155
110000,北京市,2013,93509,79948,3075,431,8158,5403
110000,北京市,2012,91941,77985,3177,476,7871,6085
110000,北京市,2011,90050,76027,3554,441,8260,5763
110000,北京市,2010,89173,74046,3849,510,8808,6319
110000,北京市,2009,86417,70820,3675,581,8971,6626
110000,北京市,2008,97153,80188,3836,683,9611,7354
110000,北京市,2007,85132,69597,4973,848,7837,7698
110000,北京市,2006,85473,68208,6098,846,9801,7464
110000,北京市,2005,83859,67818,6278,829,8982,7059
110000,北京市,2004,83032,67921,6911,1134,8291,6820
110000,北京市,2003,52269,41180,8124,1661,7419,3670
110000,北京市,2002,47042,35651,10594,1925,7234,4157
110000,北京市,2001,42341,28951,10375,1399,9655,3735
110000,北京市,2000,35320,23505,11002,1572,8098,3717
120000,天津市,2019,35233,31525,1021,38,2281,1427
120000,天津市,2018,35189,31859,1103,43,1934,1396
120000,天津市,2017,34820,31664,1272,67,1982,1174
120000,天津市,2016,35227,31329,1917,75,2550,1348
120000,天津市,2015,37367,32953,2131,99,2286,2128
120000,天津市,2014,39010,34144,2355,149,2810,2056
120000,天津市,2013,38417,33333,3485,540,2496,2588
120000,天津市,2012,34753,31036,7974,614,2202,1515
120000,天津市,2011,29009,25648,5424,1122,2166,1195
120000,天津市,2010,36717,33319,8993,486,1748,1650
120000,天津市,2009,31283,27155,7300,411,2291,1837
120000,天津市,2008,33527,29131,6891,513,2387,2009
120000,天津市,2007,32018,28080,6490,532,1809,2129
120000,天津市,2006,33400,29691,6094,698,1637,2072
120000,天津市,2005,40849,36042,6703,900,1910,2897
120000,天津市,2004,32167,27844,4157,1008,2410,1913
120000,天津市,2003,20126,18275,4357,744,998,853
120000,天津市,2002,23794,21789,4817,1416,1465,540
120000,天津市,2001,22116,20599,5716,1711,871,646
120000,天津市,2000,21223,19457,7119,1856,1148,618
130000,河北省,2019,108323,104931,123,,876,2516
130000,河北省,2018,110989,107545,284,,832,2612
130000,河北省,2017,108820,105821,300,,1054,1945
130000,河北省,2016,111710,108422,341,,1423,1865
130000,河北省,2015,107118,103665,420,,1429,2024
130000,河北省,2014,111598,108927,725,,1348,1323
130000,河北省,2013,106327,103557,907,,1277,1493
130000,河北省,2012,95792,92988,1481,302,1310,1494
130000,河北省,2011,88021,85946,1714,71,1183,892
130000,河北省,2010,75245,72592,1753,203,968,1685
130000,河北省,2009,63189,61160,1561,174,833,1196
130000,河北省,2008,65728,63543,2018,161,1109,1076
130000,河北省,2007,48902,47140,2423,218,1046,716
130000,河北省,2006,44690,42563,2880,299,1187,940
130000,河北省,2005,39573,36950,2723,121,1913,710
130000,河北省,2004,51472,49395,5409,393,1444,633
130000,河北省,2003,30892,29453,5529,346,1127,312
130000,河北省,2002,25760,24667,7540,1488,768,325
130000,河北省,2001,24477,22892,8424,1253,802,783
130000,河北省,2000,22263,20848,10656,1091,783,632
140000,山西省,2019,52009,51607,1373,268,160,242
140000,山西省,2018,53690,53234,1533,328,201,255
140000,山西省,2017,55229,54524,1961,321,469,236
140000,山西省,2016,56305,55578,2309,311,390,337
140000,山西省,2015,58757,58193,2519,319,319,245
140000,山西省,2014,60604,60138,2677,342,259,207
140000,山西省,2013,55391,54961,2794,340,199,231
140000,山西省,2012,52389,51859,3420,464,303,227
140000,山西省,2011,46665,45907,3366,465,577,181
140000,山西省,2010,42886,41877,3645,522,885,124
140000,山西省,2009,43802,42536,3897,519,1098,168
140000,山西省,2008,41488,40434,4233,565,1007,47
140000,山西省,2007,37424,36033,4897,762,1344,47
140000,山西省,2006,34267,33596,5091,921,589,82
140000,山西省,2005,31309,30563,5473,1028,627,119
140000,山西省,2004,29295,28625,5641,1067,549,121
140000,山西省,2003,24967,24144,6712,866,619,204
140000,山西省,2002,23028,21873,7511,1292,932,223
140000,山西省,2001,24606,23620,10421,1337,808,178
140000,山西省,2000,14590,14234,8575,1490,306,50
150000,内蒙古自治区,2019,32771,32662,60,,80,29
150000,内蒙古自治区,2018,34025,33949,46,,20,56
150000,内蒙古自治区,2017,37615,37519,94,,18,78
150000,内蒙古自治区,2016,42219,42078,190,,24,117
150000,内蒙古自治区,2015,44813,44643,209,11,9,161
150000,内蒙古自治区,2014,50123,49859,252,14,9,255
150000,内蒙古自治区,2013,55500,55158,395,10,35,307
150000,内蒙古自治区,2012,61314,61083,968,45,47,184
150000,内蒙古自治区,2011,74340,74136,785,97,57,147
150000,内蒙古自治区,2010,55216,54829,598,38,245,142
150000,内蒙古自治区,2009,58262,57939,827,51,231,92
150000,内蒙古自治区,2008,65588,65139,770,136,288,161
150000,内蒙古自治区,2007,40460,40081,597,443,254,125
150000,内蒙古自治区,2006,31649,31247,695,77,321,81
150000,内蒙古自治区,2005,27738,27432,656,118,244,62
150000,内蒙古自治区,2004,24290,23924,676,179,243,123
150000,内蒙古自治区,2003,17594,17533,1007,123,16,45
150000,内蒙古自治区,2002,17804,17762,1433,163,16,26
150000,内蒙古自治区,2001,26837,26544,4783,1066,16,277
150000,内蒙古自治区,2000,18427,18177,2972,800,35,215
210000,辽宁省,2019,52950,45305,116,2,5308,2337
210000,辽宁省,2018,56253,48721,248,47,5068,2464
210000,辽宁省,2017,60370,51731,219,20,5620,3019
210000,辽宁省,2016,68085,58315,252,89,6139,3631
210000,辽宁省,2015,79455,67845,371,109,7258,4352
210000,辽宁省,2014,97676,83190,492,109,9277,5209
210000,辽宁省,2013,98023,84411,861,97,8185,5427
210000,辽宁省,2012,96655,83227,2069,285,8468,4960
210000,辽宁省,2011,88314,75505,1633,539,7712,5097
210000,辽宁省,2010,73660,63581,1737,323,5049,5030
210000,辽宁省,2009,65554,57484,1496,350,3948,4122
210000,辽宁省,2008,70435,61397,2151,566,4106,4932
210000,辽宁省,2007,57032,50871,2656,387,3004,3157
210000,辽宁省,2006,56411,51223,3117,438,2463,2725
210000,辽宁省,2005,51692,47078,3027,333,2276,2338
210000,辽宁省,2004,59960,54269,4803,712,2807,2884
210000,辽宁省,2003,49497,45890,4199,1055,1697,1910
210000,辽宁省,2002,47084,42949,4733,911,2214,1921
210000,辽宁省,2001,47231,42989,6899,2034,2331,1911
210000,辽宁省,2000,45268,41084,12069,4433,2327,1857
220000,吉林省,2019,32916,31919,31,,679,318
220000,吉林省,2018,40147,39251,142,,639,257
220000,吉林省,2017,43555,42588,146,10,742,225
220000,吉林省,2016,46504,45185,4038,10,1070,249
220000,吉林省,2015,41719,40169,207,11,1168,382
220000,吉林省,2014,53250,51427,176,11,1534,289
220000,吉林省,2013,44903,43349,87,11,1227,327
220000,吉林省,2012,41267,39769,402,67,1216,282
220000,吉林省,2011,44793,43420,1074,261,1085,288
220000,吉林省,2010,33810,32729,522,92,841,240
220000,吉林省,2009,29524,28484,479,174,805,235
220000,吉林省,2008,36147,34864,730,153,903,380
220000,吉林省,2007,30527,29057,1094,91,834,636
220000,吉林省,2006,27223,25759,1374,83,762,702
220000,吉林省,2005,22332,20975,1865,77,643,714
220000,吉林省,2004,24708,23323,6034,55,600,785
220000,吉林省,2003,15331,14570,2191,82,389,372
220000,吉林省,2002,14392,13785,2263,390,342,265
220000,吉林省,2001,19422,18929,4699,709,367,126
220000,吉林省,2000,15063,14230,6338,388,306,527
230000,黑龙江省,2019,30657,29840,347,,654,163
230000,黑龙江省,2018,33249,32258,606,248,798,193
230000,黑龙江省,2017,38265,37277,729,248,869,119
230000,黑龙江省,2016,39013,38450,726,151,426,137
230000,黑龙江省,2015,43608,42977,875,5,468,163
230000,黑龙江省,2014,47081,46187,1075,5,684,210
230000,黑龙江省,2013,48450,47632,1279,5,572,246
230000,黑龙江省,2012,48481,47587,2642,319,557,337
230000,黑龙江省,2011,49083,48158,3530,137,470,455
230000,黑龙江省,2010,41518,40732,3399,439,351,435
230000,黑龙江省,2009,39763,39029,2913,446,339,395
230000,黑龙江省,2008,37347,36345,3079,159,303,699
230000,黑龙江省,2007,38806,37375,3752,157,412,1019
230000,黑龙江省,2006,31257,30250,3655,153,419,588
230000,黑龙江省,2005,35126,34154,4326,139,349,623
230000,黑龙江省,2004,33076,32225,4199,403,379,472
230000,黑龙江省,2003,27465,26773,4029,679,307,385
230000,黑龙江省,2002,25486,24461,4710,623,568,457
230000,黑龙江省,2001,28352,27626,10312,1619,526,200
230000,黑龙江省,2000,27841,27093,12830,1503,509,239
310000,上海市,2019,63812,47481,187,195,12550,3781
310000,上海市,2018,64602,47074,211,208,12961,4567
310000,上海市,2017,63755,47223,616,250,11786,4746
310000,上海市,2016,63568,47974,824,288,10984,4610
310000,上海市,2015,64598,48843,1256,392,10511,5244
310000,上海市,2014,68573,51246,1583,373,11543,5784
310000,上海市,2013,71048,52135,2341,442,11930,6983
310000,上海市,2012,74219,53667,6121,1141,12198,8354
310000,上海市,2011,76489,55810,6377,1144,13576,7103
310000,上海市,2010,91372,65790,7454,1421,11287,14295
310000,上海市,2009,93216,65623,9201,3562,14127,13466
310000,上海市,2008,92555,71329,8210,1850,10862,10364
310000,上海市,2007,91958,67420,7319,2519,10642,13896
310000,上海市,2006,91290,70183,6811,2785,11783,9324
310000,上海市,2005,91849,71514,9025,2452,9850,10485
310000,上海市,2004,113406,92245,9151,4184,10065,11096
310000,上海市,2003,73322,60423,10685,3772,7243,5656
310000,上海市,2002,79392,65991,13590,4090,8355,5046
310000,上海市,2001,77459,66310,16886,5113,8252,2897
310000,上海市,2000,78155,68413,21256,7228,7118,2624
320000,江苏省,2019,170655,152525,830,283,12390,5740
320000,江苏省,2018,174263,155146,1309,424,12697,6420
320000,江苏省,2017,171665,153463,1488,463,12146,6056
320000,江苏省,2016,173430,154812,1570,796,12294,6324
320000,江苏省,2015,179649,158475,2375,861,14134,7040
320000,江苏省,2014,186147,163826,2529,837,14764,7557
320000,江苏省,2013,177670,156884,3439,813,13019,7767
320000,江苏省,2012,158864,141087,7204,1168,10828,6949
320000,江苏省,2011,150169,132632,6395,1428,10283,7254
320000,江苏省,2010,131713,116100,5282,1505,8710,6903
320000,江苏省,2009,120494,106097,5393,1533,7927,6470
320000,江苏省,2008,140288,123828,5725,1860,8841,7619
320000,江苏省,2007,97551,84543,4433,1393,7189,5819
320000,江苏省,2006,90990,79675,5540,1922,6910,4405
320000,江苏省,2005,84653,75361,5668,2412,5896,3396
320000,江苏省,2004,90000,80694,7866,3951,6296,3010
320000,江苏省,2003,65913,60069,14024,6759,3928,1916
320000,江苏省,2002,57928,53182,17420,5347,3136,1610
320000,江苏省,2001,55908,50872,20600,7714,3370,1666
320000,江苏省,2000,57405,51702,24878,9995,3689,2014
330000,浙江省,2019,130969,123094,910,84,4835,3040
330000,浙江省,2018,124056,117176,1535,90,4921,1959
330000,浙江省,2017,117136,109592,1345,93,5600,1944
330000,浙江省,2016,115720,107255,1636,99,5991,2474
330000,浙江省,2015,121738,112499,1945,211,6164,3075
330000,浙江省,2014,126632,116829,1959,249,6383,3420
330000,浙江省,2013,115967,106803,1804,304,5975,3189
330000,浙江省,2012,111378,103835,3788,595,4724,2819
330000,浙江省,2011,108448,101570,3883,668,3802,3076
330000,浙江省,2010,96647,89712,3382,728,3801,3134
330000,浙江省,2009,90517,84118,3532,895,3364,3035
330000,浙江省,2008,91776,85253,3642,725,3320,3203
330000,浙江省,2007,79624,74274,4036,878,2592,2758
330000,浙江省,2006,74809,70581,3360,882,2228,2000
330000,浙江省,2005,70909,67155,3709,1135,2053,1701
330000,浙江省,2004,72385,68744,4712,1230,2124,1517
330000,浙江省,2003,54035,51217,5275,2188,1264,1554
330000,浙江省,2002,47480,45353,5618,2815,1136,991
330000,浙江省,2001,43839,41496,8345,3620,1499,844
330000,浙江省,2000,40463,38100,10209,4760,1285,1078
340000,安徽省,2019,126022,124013,584,7,1592,417
340000,安徽省,2018,122246,120448,795,7,1496,302
340000,安徽省,2017,114238,110812,817,37,2591,835
340000,安徽省,2016,105257,101760,976,57,2610,887
340000,安徽省,2015,110135,106272,1466,70,2697,1166
340000,安徽省,2014,113935,109528,1800,65,2777,1630
340000,安徽省,2013,102474,98577,2129,58,2333,1564
340000,安徽省,2012,97911,94088,3542,203,2119,1704
340000,安徽省,2011,89934,85770,3190,304,2215,1949
340000,安徽省,2010,71523,67563,4309,414,2213,1747
340000,安徽省,2009,68443,64023,4631,448,2537,1883
340000,安徽省,2008,73864,70200,5507,800,2232,1432
340000,安徽省,2007,62343,58729,5394,708,1811,1803
340000,安徽省,2006,58805,55816,4242,1160,1729,1260
340000,安徽省,2005,49030,46681,5301,1336,1276,1073
340000,安徽省,2004,52305,49930,6033,2942,1154,1221
340000,安徽省,2003,40289,37782,6917,2333,1535,972
340000,安徽省,2002,37702,35859,8266,3351,1155,688
340000,安徽省,2001,37672,35593,9636,4465,1349,730
340000,安徽省,2000,27948,26155,9269,3211,1342,451
350000,福建省,2019,112797,102040,2349,220,7722,3035
350000,福建省,2018,102790,93702,2431,319,6849,2239
350000,福建省,2017,95698,85603,2519,296,7875,2220
350000,福建省,2016,93115,82371,2309,297,8671,2073
350000,福建省,2015,95167,83975,2528,320,8842,2350
350000,福建省,2014,95870,84105,2525,353,9217,2548
350000,福建省,2013,87396,75616,2956,523,8970,2810
350000,福建省,2012,78167,66485,5782,637,9231,2451
350000,福建省,2011,74417,61537,5966,539,9959,2921
350000,福建省,2010,63306,50105,5545,689,9749,3452
350000,福建省,2009,60180,46455,6010,640,10021,3704
350000,福建省,2008,61345,46112,5845,857,10681,4552
350000,福建省,2007,65797,50718,8323,753,10640,4439
350000,福建省,2006,64526,50072,14068,962,9859,4595
350000,福建省,2005,48421,34360,5642,1165,9130,4931
350000,福建省,2004,54856,40117,11893,1360,9777,4962
350000,福建省,2003,39641,26720,6193,2098,8569,4352
350000,福建省,2002,36388,23752,6443,1500,8081,4555
350000,福建省,2001,37757,25344,8506,2410,8880,3533
350000,福建省,2000,40873,28073,9087,3182,9109,3691
360000,江西省,2019,89618,87800,763,,1525,293
360000,江西省,2018,86920,85312,1026,,1356,252
360000,江西省,2017,80716,78659,1061,,1584,473
360000,江西省,2016,72677,70402,1061,14,1814,461
360000,江西省,2015,69492,66477,1127,95,2211,804
360000,江西省,2014,64193,60868,1213,91,2260,1065
360000,江西省,2013,59003,55500,1344,103,2255,1248
360000,江西省,2012,52157,48879,2773,480,2162,1116
360000,江西省,2011,54404,50684,3794,208,2395,1325
360000,江西省,2010,52489,46648,3837,603,4734,1107
360000,江西省,2009,51426,45077,3875,451,5294,1055
360000,江西省,2008,68869,63428,4254,906,4374,1067
360000,江西省,2007,49137,44948,4264,1276,3013,1176
360000,江西省,2006,45792,41864,4516,2036,2825,1103
360000,江西省,2005,45369,40473,4678,979,3452,1444
360000,江西省,2004,48625,44260,5930,1425,2832,1533
360000,江西省,2003,36589,32140,8263,1559,3255,1194
360000,江西省,2002,33694,30582,9402,2151,1874,1238
360000,江西省,2001,22356,18763,6905,1431,1792,1801
360000,江西省,2000,17737,15250,9102,1678,1440,1047
370000,山东省,2019,212358,204474,2382,784,5932,1952
370000,山东省,2018,222191,214800,2827,1564,5429,1962
370000,山东省,2017,226646,218807,4159,3147,5693,2146
370000,山东省,2016,220624,212095,4223,3260,6163,2366
370000,山东省,2015,211284,202676,4982,2804,6098,2510
370000,山东省,2014,207787,198969,5395,2840,6144,2674
370000,山东省,2013,198198,189422,6046,2917,6076,2700
370000,山东省,2012,174153,166259,9489,3731,5182,2712
370000,山东省,2011,164407,156304,9604,3222,5501,2602
370000,山东省,2010,172981,164584,11318,4600,4827,3570
370000,山东省,2009,152903,144608,11343,4102,4848,3447
370000,山东省,2008,171808,163087,11416,4203,4610,4111
370000,山东省,2007,120603,113606,10472,4873,4135,2862
370000,山东省,2006,110419,103808,11219,5383,3880,2731
370000,山东省,2005,107894,101797,13620,6911,3921,2176
370000,山东省,2004,111595,105290,13537,9513,3680,2625
370000,山东省,2003,83454,78402,19951,9263,3453,1599
370000,山东省,2002,69386,65192,19646,10964,3086,1108
370000,山东省,2001,63211,58641,21384,13362,3316,1254
370000,山东省,2000,58349,52803,21808,13032,3427,2119
410000,河南省,2019,269077,266816,1213,,1618,643
410000,河南省,2018,243488,241006,1858,65,1832,650
410000,河南省,2017,232092,229191,2071,65,2140,761
410000,河南省,2016,206853,203632,2109,74,2117,1104
410000,河南省,2015,190755,187489,2332,137,1865,1401
410000,河南省,2014,171119,167323,2475,256,1963,1833
410000,河南省,2013,156359,152333,2603,793,2176,1850
410000,河南省,2012,138200,134471,3566,682,2299,1430
410000,河南省,2011,132944,127691,3070,742,2114,3139
410000,河南省,2010,93813,89654,2927,753,1914,2245
410000,河南省,2009,94406,89723,4283,1546,1833,2850
410000,河南省,2008,93047,88342,4258,574,1744,2961
410000,河南省,2007,61436,56996,4534,985,2035,2405
410000,河南省,2006,54611,50016,4627,876,2300,2295
410000,河南省,2005,53691,50023,6645,1671,1449,2219
410000,河南省,2004,55885,51912,7505,1389,1929,2044
410000,河南省,2003,43698,39544,7405,1285,2716,1438
410000,河南省,2002,35202,31155,7369,1896,2678,1369
410000,河南省,2001,26702,21996,7019,1744,3730,976
410000,河南省,2000,32775,27924,9643,3151,3769,1082
420000,湖北省,2019,136313,132412,2159,252,2382,1519
420000,湖北省,2018,140713,136783,2092,267,2529,1401
420000,湖北省,2017,132221,128326,2649,335,2730,1165
420000,湖北省,2016,130863,126736,2923,301,2922,1205
420000,湖北省,2015,132507,127757,3139,320,3407,1343
420000,湖北省,2014,129754,125117,3935,332,3348,1289
420000,湖北省,2013,125590,120698,4840,392,3291,1601
420000,湖北省,2012,104240,99360,8778,700,3506,1374
420000,湖北省,2011,95009,90354,11089,1488,3239,1416
420000,湖北省,2010,89983,86096,9604,2026,2560,1327
420000,湖北省,2009,89344,84609,10617,759,3219,1516
