省份编码,省份,年份,商品房销售面积(万平方米),住宅商品房销售面积(万平方米),别墅、高档公寓销售面积(万平方米),办公楼商品房销售面积(万平方米),商业营业用房销售面积(万平方米),其他商品房销售面积(万平方米)
120000,天津市,2013,1847.1121,1720.3433,51.7734,23.4909,51.6015,51.6764
120000,天津市,2012,1661.6941,1511.4032,66.3234,28.1741,72.1681,49.9487
120000,天津市,2011,1594.5695,1365.7081,93.5419,67.14,126.2885,35.4329
120000,天津市,2010,1514.52,1302.61,110.97,35.29,103.64,72.98
120000,天津市,2009,1590.02,1461.47,88.42,29.55,60.85,38.17
120000,天津市,2008,1252.04,1135.35,46.62,29.3,74.89,12.5
120000,天津市,2007,1548.5931,1401.8481,74.2152,42.9517,91.3982,12.3951
120000,天津市,2006,1458.5984,1332.4916,82.2393,37.0781,61.7241,27.3046
120000,天津市,2005,1408.3735,1264.3849,119.5969,43.4746,79.1201,21.3939
120000,天津市,2004,847.0342,796.0899,,16.8802,32.7106,1.3535
120000,天津市,2003,786.5,720.6,39.2874,15.7156,28.8897,21.25
120000,天津市,2002,564.0,538.3,29.51,6.94,17.76,1.04
120000,天津市,2001,537.4797,514.5915,39.7399,5.446,17.3099,0.1323
120000,天津市,2000,391.7643,378.3427,16.9321,3.4374,9.0087,0.9755
130000,河北省,2019,5282.7021,4770.3779,35.5318,112.6816,222.3048,177.3378
130000,河北省,2018,5251.9277,4714.4182,35.066,110.6309,274.0373,152.8413
130000,河北省,2017,6425.9101,5576.9915,93.2174,144.1069,496.1271,208.6846
130000,河北省,2016,6682.2862,5899.7222,71.6021,126.5882,448.705,207.2708
130000,河北省,2015,5854.6525,5161.651,62.7624,90.0968,385.3441,217.5606
130000,河北省,2014,5706.1916,5015.0585,45.052,75.5444,444.3347,171.254
130000,河北省,2013,5675.9491,5020.1298,70.0916,77.9951,404.9311,172.8931
130000,河北省,2012,5144.916,4622.4637,114.0835,74.7798,316.7009,130.9716
130000,河北省,2011,5888.3274,5293.1776,69.1327,59.2375,366.0063,169.906
130000,河北省,2010,4662.1,4325.12,52.57,39.2,209.09,88.69
130000,河北省,2009,2966.61,2819.77,56.08,19.05,88.5,39.28
130000,河北省,2008,2231.84,2128.86,34.27,2.69,78.79,21.5
130000,河北省,2007,2067.7939,1969.1234,61.9987,7.7393,73.9311,17.0001
130000,河北省,2006,1817.9434,1692.4231,68.8912,19.285,93.3689,12.8664
130000,河北省,2005,1408.7428,1322.3216,26.6753,15.8571,60.3708,10.1933
130000,河北省,2004,864.8534,787.8817,,6.5936,55.2367,15.1414
130000,河北省,2003,939.4345,838.0169,11.3537,11.0103,82.2031,8.2042
130000,河北省,2002,658.85,564.88,3.88,14.62,74.53,4.81
130000,河北省,2001,596.5695,514.5297,20.455,5.3402,75.2922,1.4074
130000,河北省,2000,489.4435,443.5245,13.9809,1.8071,41.3027,2.8092
140000,山西省,2019,2366.1143,2169.3266,26.7649,43.4882,90.6992,62.6003
140000,山西省,2018,2360.9026,2215.5871,53.1564,32.6075,70.8063,41.9017
140000,山西省,2017,2415.9189,2246.2784,30.0175,42.6032,80.7331,46.3042
140000,山西省,2016,2061.0554,1881.506,18.8823,38.6227,98.6882,42.2385
140000,山西省,2015,1592.553,1481.1355,18.7436,21.4899,59.8507,30.0769
140000,山西省,2014,1576.266,1433.908,13.4795,23.8884,81.109,37.3606
140000,山西省,2013,1642.8225,1484.3733,21.107,15.2959,116.0047,27.1486
140000,山西省,2012,1497.8843,1390.4422,5.3834,9.5353,79.4999,18.4069
140000,山西省,2011,1284.7788,1170.8832,1.6126,14.2786,82.1369,17.4801
140000,山西省,2010,1180.59,1070.54,2.03,10.76,84.37,14.92
140000,山西省,2009,1034.2,964.05,4.23,8.35,53.21,8.6
140000,山西省,2008,994.71,893.1,18.57,13.45,76.26,11.89
140000,山西省,2007,913.5482,846.503,8.8103,11.7813,51.4786,3.7853
140000,山西省,2006,791.4601,740.7279,6.7075,3.6534,44.7502,2.3286
140000,山西省,2005,688.7486,619.8563,4.5066,15.8482,46.5287,6.5154
140000,山西省,2004,399.1341,350.2355,,6.5836,38.5579,3.7571
140000,山西省,2003,359.597,299.427,0.71,16.9364,41.7701,1.4635
140000,山西省,2002,299.05,261.43,2.06,8.75,27.32,1.55
140000,山西省,2001,234.8416,211.3696,0.573,5.6195,15.2821,2.5704
140000,山西省,2000,190.6378,177.3909,0.0844,3.1781,9.7604,0.3084
150000,内蒙古自治区,2019,2008.1856,1803.5454,32.8872,12.0214,106.203,86.4158
150000,内蒙古自治区,2018,2007.6748,1702.3877,24.4682,22.3862,183.8203,99.0806
150000,内蒙古自治区,2017,2067.6035,1726.1647,26.907,48.6292,176.4277,116.3819
150000,内蒙古自治区,2016,2527.8504,2073.3598,36.841,18.3006,301.0953,135.0947
150000,内蒙古自治区,2015,2369.3739,1944.924,17.9588,43.2536,258.3267,122.8696
150000,内蒙古自治区,2014,2457.1804,1995.6765,31.9845,42.5044,270.2388,148.7607
150000,内蒙古自治区,2013,2737.7012,2263.6515,28.3205,53.3145,272.0661,148.6691
150000,内蒙古自治区,2012,2523.5214,2104.2187,54.6607,36.5557,270.1681,112.5789
150000,内蒙古自治区,2011,3509.0853,2911.1551,77.625,38.5034,384.3873,175.0395
150000,内蒙古自治区,2010,3057.38,2569.84,46.2,29.88,353.3,104.37
150000,内蒙古自治区,2009,2581.68,2253.98,99.74,27.61,242.72,57.37
150000,内蒙古自治区,2008,2396.37,2093.34,96.07,39.65,223.2,40.19
150000,内蒙古自治区,2007,2087.6692,1809.7306,115.1168,42.8597,199.7604,35.3185
150000,内蒙古自治区,2006,1428.9714,1250.0996,33.7919,18.2882,147.4914,13.0922
150000,内蒙古自治区,2005,1078.7988,918.4265,22.3512,19.6257,131.6097,9.1369
150000,内蒙古自治区,2004,653.955,530.9081,,9.3468,108.9008,4.7993
150000,内蒙古自治区,2003,547.9687,433.966,0.0645,9.7211,100.0938,4.1878
150000,内蒙古自治区,2002,422.13,347.44,1.61,5.0,67.35,2.35
150000,内蒙古自治区,2001,365.9932,296.3643,5.7277,3.8949,63.0686,2.6654
150000,内蒙古自治区,2000,293.835,239.4602,2.7747,5.3547,47.9799,1.0402
210000,辽宁省,2019,3696.2672,3412.5191,72.3042,16.2056,191.3489,76.1936
210000,辽宁省,2018,3934.5678,3554.8068,57.9733,18.7495,257.6134,103.3981
210000,辽宁省,2017,4148.4528,3797.048,84.1261,36.5488,227.2508,87.6052
210000,辽宁省,2016,3711.8966,3383.0783,43.2583,34.6423,216.6926,77.4834
210000,辽宁省,2015,3916.1899,3477.2627,65.4355,37.4819,311.6087,89.8366
210000,辽宁省,2014,5754.8137,4932.077,115.3228,71.1971,522.8009,228.7387
210000,辽宁省,2013,9292.3312,8014.7974,198.2018,53.6088,858.9992,364.9258
210000,辽宁省,2012,8827.9494,7655.3988,243.7912,79.1473,775.9254,317.4779
210000,辽宁省,2011,7541.4794,6624.0534,147.8496,52.416,583.5494,281.4606
210000,辽宁省,2010,6800.45,6013.5,93.06,64.71,510.03,212.21
210000,辽宁省,2009,5375.52,4864.25,126.98,30.14,393.96,87.17
210000,辽宁省,2008,4091.16,3731.19,130.72,35.87,268.02,56.08
210000,辽宁省,2007,3830.4341,3545.5509,106.8688,19.1162,220.4213,45.3457
210000,辽宁省,2006,3006.6134,2730.7384,63.4415,24.1037,201.2048,50.5665
210000,辽宁省,2005,2564.4788,2340.3556,44.9331,16.1364,182.6517,25.3351
210000,辽宁省,2004,1748.777,1578.0987,,14.479,124.674,31.5253
210000,辽宁省,2003,1499.0788,1320.2908,14.7892,25.9593,133.5753,19.2534
210000,辽宁省,2002,1277.46,1120.36,25.68,20.69,127.73,8.67
210000,辽宁省,2001,1166.0643,995.0149,22.2409,27.1492,128.4423,15.4579
210000,辽宁省,2000,948.6664,804.3854,35.0366,20.2942,114.2746,9.7122
220000,吉林省,2019,2122.3373,1873.9917,38.3017,35.6672,150.1454,62.533
220000,吉林省,2018,2074.4578,1813.824,34.0794,50.8286,156.66,53.1452
220000,吉林省,2017,1885.2075,1602.0643,34.0904,51.154,176.1733,55.8159
220000,吉林省,2016,1919.295,1630.7151,31.4606,37.8692,175.7264,74.9843
220000,吉林省,2015,1491.8487,1304.8225,38.3461,17.8741,129.2251,39.927
220000,吉林省,2014,1581.7211,1387.8655,37.4399,11.8308,138.0355,43.9893
220000,吉林省,2013,2214.9634,1985.9455,56.4239,21.2501,157.3075,50.4603
220000,吉林省,2012,2452.4245,2159.4307,79.5556,14.7547,219.49,58.7491
220000,吉林省,2011,2432.6055,2122.3889,114.7569,9.9698,239.0368,61.21
220000,吉林省,2010,2382.1,2105.33,67.92,7.75,220.3,48.72
220000,吉林省,2009,1944.3,1758.37,68.97,9.71,139.13,37.09
220000,吉林省,2008,1583.87,1435.73,67.32,15.67,105.52,26.94
220000,吉林省,2007,1292.387,1184.3969,43.7102,9.4916,84.1107,14.3878
220000,吉林省,2006,974.9103,879.2384,30.9021,21.4703,63.9662,10.2354
220000,吉林省,2005,830.9092,745.9214,31.9626,14.7879,63.4788,6.7211
