省份编码,省份,年份,房地产开发企业待开发土地面积(万平方米),房地产开发企业购置土地面积(万平方米),房地产开发企业土地成交价款(亿元),房地产开发企业土地购置费用(亿元)
110000,北京市,2019,764.0021,144.0258,427.1036,1860.8508
110000,北京市,2018,686.2624,218.1925,503.3289,2047.2716
110000,北京市,2017,694.6319,413.3032,815.8998,1711.4892
110000,北京市,2016,444.2252,268.4998,470.1198,1921.8934
110000,北京市,2015,520.514,390.9562,811.1273,2052.9172
110000,北京市,2014,617.6593,580.7629,763.6722,1378.9448
110000,北京市,2013,690.799,906.1745,784.0377,1159.4732
110000,北京市,2012,150.401,305.989,224.6543,1102.687
110000,北京市,2011,199.8386,507.0439,422.6425,1301.2331
110000,北京市,2010,401.3,858.75,1040.6,1292.7
110000,北京市,2009,1104.0,625.01,432.6223,587.7
110000,北京市,2008,1977.9,823.44,503.582,639.0
110000,北京市,2007,2736.4442,391.5455,178.2454,293.2089
110000,北京市,2006,1906.5334,295.0149,60.3078,60.3078
110000,北京市,2005,2914.8022,773.8675,139.1353,239.76
110000,北京市,2004,,1572.4588,211.8733,275.8426
110000,北京市,2003,1957.2543,1391.3,222.9217,213.23
110000,北京市,2002,838.1,2092.5,,149.2
110000,北京市,2001,738.9331,1471.8244,,
110000,北京市,2000,482.7676,539.0349,,
120000,天津市,2019,785.2345,548.9437,503.2854,1294.0827
120000,天津市,2018,811.1407,226.3234,348.3122,1141.0589
120000,天津市,2017,662.5598,225.9926,177.7248,759.7092
120000,天津市,2016,634.7811,476.9102,239.8832,579.7533
120000,天津市,2015,425.7683,173.9762,74.1969,319.0222
120000,天津市,2014,583.0996,122.7444,121.0859,281.3748
120000,天津市,2013,750.5351,210.6395,82.1585,107.2489
120000,天津市,2012,995.1793,299.7546,56.4052,138.3927
120000,天津市,2011,750.8916,756.8912,155.3805,82.8415
120000,天津市,2010,617.2,652.46,173.3,134.1
120000,天津市,2009,594.0,444.78,116.3494,88.4
120000,天津市,2008,862.9,512.76,90.3366,100.3
120000,天津市,2007,789.4825,920.3265,119.4479,68.2287
120000,天津市,2006,864.3673,905.2389,73.9097,73.9097
120000,天津市,2005,760.0471,729.9675,68.6325,72.86
120000,天津市,2004,,1059.1128,48.7774,48.2232
120000,天津市,2003,436.7913,1093.3,42.2084,30.18
120000,天津市,2002,57.3,582.7,,17.0
120000,天津市,2001,171.3805,519.0225,,
120000,天津市,2000,483.2603,330.7737,,
130000,河北省,2019,1881.9326,1047.3353,349.1465,728.3994
130000,河北省,2018,1617.228,1150.9082,280.9373,467.1947
130000,河北省,2017,1351.0992,1033.8371,260.0515,373.0231
130000,河北省,2016,1122.3727,929.9254,190.1517,337.8395
130000,河北省,2015,861.9867,756.8612,168.4517,405.9259
130000,河北省,2014,854.5218,1081.7208,232.9237,511.3949
130000,河北省,2013,765.4482,1127.3436,251.9483,297.6755
130000,河北省,2012,773.2378,1760.9888,306.0148,332.6008
