省份编码,省份,年份,商品房销售额(亿元),住宅商品房销售额(亿元),别墅、高档公寓销售额(亿元),办公楼销售额(亿元),商业营业用房销售额(亿元),其他商品房销售额(亿元)
110000,北京市,2019,3370.9815,3032.4019,417.2038,167.2709,101.6497,69.659
110000,北京市,2018,2376.9958,1971.1466,312.6003,237.2071,119.3926,49.2495
110000,北京市,2017,2796.0252,2077.0062,443.3551,374.2111,271.4196,73.3883
110000,北京市,2016,4561.604,2795.8052,657.8629,1261.9002,376.6523,127.2463
110000,北京市,2015,3517.6499,2512.8856,279.3901,702.7359,231.623,70.4054
110000,北京市,2014,2738.7371,2102.4647,184.4535,359.3214,202.0333,74.9177
110000,北京市,2013,3530.8237,2434.7058,289.2845,744.784,270.7115,80.6224
110000,北京市,2012,3308.5572,2455.5008,319.4508,560.5857,233.3565,59.1142
110000,北京市,2011,2425.3361,1606.0417,266.2231,500.6626,270.8526,47.7792
110000,北京市,2010,2915.36,2060.52,,487.3249,318.9855,48.5359
110000,北京市,2009,3259.6624,2486.7669,,431.1395,299.8566,41.8994
110000,北京市,2008,1658.3129,1201.3685,,230.7189,192.7582,33.4673
110000,北京市,2007,2514.6507,1845.973,,402.536,237.0714,29.0703
110000,北京市,2006,2158.9798,1626.2995,,352.9443,162.5618,17.1742
110000,北京市,2005,2120.2099,1739.971,,249.6235,120.8493,9.7661
110000,北京市,2004,1249.1009,1085.1129,,99.2102,50.5937,14.1841
110000,北京市,2003,897.9571,789.1587,,40.5762,51.7792,16.443
110000,北京市,2002,813.838,716.6593,,,,
110000,北京市,2001,609.9114,531.714,,,,
110000,北京市,2000,470.7247,409.3363,,,,
120000,天津市,2019,2274.1385,2132.4757,109.0842,34.2002,94.7574,12.7052
120000,天津市,2018,2006.6195,1816.5304,144.4541,67.4222,98.8135,23.8534
120000,天津市,2017,2272.3026,2032.9254,134.7991,79.3217,133.8666,26.1889
120000,天津市,2016,3478.2223,3245.5992,216.7347,44.7126,140.0568,47.8537
120000,天津市,2015,1790.0112,1663.2526,93.6468,25.205,81.1242,20.4294
