省份编码,省份,年份,房地产开发企业本年实际到位资金(亿元),房地产开发企业国内贷款(亿元),房地产开发企业利用外资(亿元),房地产开发企业外商直接投资(亿元),房地产开发企业自筹资金(亿元),房地产开发企业其他资金来源(亿元),房地产开发企业定金及预收款(亿元),房地产开发企业个人按揭贷款(亿元),房地产开发企业其他到位资金(亿元)
110000,北京市,2019,5672.5246,1346.2281,1.776,,1205.0189,,2516.7058,362.2251,240.5707
110000,北京市,2018,5726.6978,1657.0656,,,1534.8535,,2049.8158,304.5241,180.4388
110000,北京市,2017,6988.2768,1947.0753,18.4797,,1732.1217,,2408.7103,654.982,226.9078
110000,北京市,2016,8051.294,2148.4793,1.0,1,1978.4979,3923.3168,,,
110000,北京市,2015,7282.1117,1970.9744,5.7463,5.7463,2277.2038,3028.1872,,,
110000,北京市,2014,6622.0149,2158.0291,7.7763,7.7763,1815.4136,2640.7959,,,
110000,北京市,2013,7300.1817,1836.9482,11.6024,11.6007,2138.2276,3313.4035,,,
110000,北京市,2012,6084.5545,1484.7394,4.2209,4.2209,1611.9093,2983.6849,,,
110000,北京市,2011,5358.0702,1167.9535,2.6035,2.6035,1746.153,2441.3602,,,
110000,北京市,2010,5790.61,1439.08,13.9,13.41,1762.97,2574.66,,,
110000,北京市,2009,6129.7667,2367.768,29.8168,24.9948,1026.7966,2705.3853,,,
110000,北京市,2008,3321.804,889.3736,38.8739,24.9296,931.7891,1461.7674,,,
110000,北京市,2007,4154.4948,1063.2066,39.926,19.0186,867.8604,2183.5018,,,
110000,北京市,2006,3165.4692,842.4939,38.5622,23.4012,553.961,1730.4521,,,
110000,北京市,2005,3101.9234,680.7794,38.5603,29.2494,604.1386,1778.4451,,,
110000,北京市,2004,2403.1627,549.9571,48.5334,22.8958,434.5419,1370.1303,,,
110000,北京市,2003,1871.3885,586.8594,33.2107,9.9981,375.8456,875.4728,,,
110000,北京市,2002,1368.4348,382.7658,16.7728,13.2762,286.8355,680.8307,,,
110000,北京市,2001,1151.4676,340.3018,20.2819,15.1764,223.0068,566.1698,,,
110000,北京市,2000,781.1518,238.8175,37.0593,29.208,130.6631,373.7219,,,
120000,天津市,2019,4377.941,840.3522,17.0,,1277.3849,,1791.2562,232.2565,219.6912
120000,天津市,2018,3941.3061,822.8936,,,1073.9037,,1532.0439,222.8803,289.5846
120000,天津市,2017,4366.6572,1186.0296,0.0197,,783.8605,,1569.3045,356.4384,471.0045
120000,天津市,2016,4397.2174,1066.9921,2.0547,0.0197,899.6287,2428.5419,,,
120000,天津市,2015,3208.658,954.0037,6.5427,4.8427,932.3899,1315.7217,,,
120000,天津市,2014,2823.4807,817.155,7.1887,1.3782,875.225,1123.912,,,
120000,天津市,2013,2761.4719,765.2235,16.2176,10.4539,892.0835,1087.9473,,,
120000,天津市,2012,2146.2788,570.368,3.4699,0.3767,831.7073,740.7336,,,
120000,天津市,2011,2161.0285,585.672,10.1425,7.8485,719.7753,845.4387,,,
120000,天津市,2010,1665.54,539.59,8.34,5.79,457.74,659.88,,,
120000,天津市,2009,1413.0655,363.1766,11.4892,9.0496,332.104,706.2957,,,
120000,天津市,2008,999.6447,284.4882,24.1005,12.9757,319.7745,371.2815,,,
120000,天津市,2007,987.5587,274.6213,21.0722,17.6641,271.9034,419.9618,,,
120000,天津市,2006,765.91,181.0468,6.0939,3.0949,250.7418,328.0275,,,
120000,天津市,2005,621.6654,138.3517,3.4895,2.7229,201.7535,278.0707,,,
120000,天津市,2004,407.299,83.5002,5.6508,3.8314,124.6887,193.4593,,,
