省份编码,省份,年份,房地产开发企业个数(个),内资房地产开发企业个数(个),国有房地产开发企业个数(个),集体房地产开发企业个数(个),港、澳、台投资房地产开发企业个数(个),外商投资房地产开发企业个数(个)
110000,北京市,2019,1340,1247,13,4,51,42
110000,北京市,2018,1551,1445,20,6,60,46
110000,北京市,2017,2400,2203,37,15,115,82
110000,北京市,2016,2654,2431,53,17,129,94
110000,北京市,2015,2784,2545,60,16,141,98
110000,北京市,2014,2811,2560,61,19,149,102
110000,北京市,2013,2957,2694,70,19,159,104
110000,北京市,2012,2981,2709,73,20,164,108
110000,北京市,2011,3068,2791,80,20,172,105
110000,北京市,2010,3173,2888,83,23,174,111
110000,北京市,2009,3172,2874,107,23,174,124
110000,北京市,2008,3433,3112,99,26,185,136
110000,北京市,2007,2699,2381,109,24,188,130
110000,北京市,2006,3035,2687,133,29,208,140
110000,北京市,2005,3123,2786,143,26,197,140
110000,北京市,2004,2733,2402,147,31,185,146
110000,北京市,2003,1056,849,111,30,146,61
110000,北京市,2002,958,718,126,35,168,72
110000,北京市,2001,756,548,122,30,146,62
110000,北京市,2000,618,403,126,20,148,67
120000,天津市,2019,1161,1089,21,3,40,32
120000,天津市,2018,1169,1102,27,4,38,29
120000,天津市,2017,1249,1164,35,4,45,40
120000,天津市,2016,1291,1190,49,5,58,43
120000,天津市,2015,1267,1164,56,6,58,45
120000,天津市,2014,1246,1142,59,7,59,45
120000,天津市,2013,1209,1103,85,12,54,52
120000,天津市,2012,1322,1208,222,18,63,51
120000,天津市,2011,1247,1134,210,17,64,49
120000,天津市,2010,1279,1169,270,19,58,52
120000,天津市,2009,1178,1070,258,20,53,55
120000,天津市,2008,1258,1125,219,32,66,67
120000,天津市,2007,1028,932,129,22,42,54
120000,天津市,2006,1007,911,136,28,45,51
120000,天津市,2005,974,887,137,32,41,46
120000,天津市,2004,1007,891,129,40,60,56
120000,天津市,2003,761,701,148,37,37,23
120000,天津市,2002,797,724,146,47,51,22
120000,天津市,2001,689,644,151,53,26,19
120000,天津市,2000,695,634,189,59,38,23
130000,河北省,2019,3498,3458,3,,22,18
130000,河北省,2018,3449,3406,6,,22,21
