省份编码,省份,年份,固定资产投资(不含农户)国家预算内资金(亿元),固定资产投资(不含农户)国内贷款(亿元),固定资产投资(不含农户)利用外资(亿元),固定资产投资(不含农户)自筹资金(亿元),固定资产投资(不含农户)其他资金(亿元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,1092.1382,2595.4398,21.5326,3537.7887,3608.4609
110000,北京市,2016,1080.8266,2655.9867,13.0103,3640.4476,4210.4761
110000,北京市,2015,964.2455,2360.4166,13.2333,3709.3405,3320.017
110000,北京市,2014,859.1774,2732.8741,28.7963,3162.0277,2814.9109
110000,北京市,2013,841.2742,2512.3924,23.4906,3498.0909,3527.7458
110000,北京市,2012,121.5752,2136.4185,22.1827,3253.2344,3289.8496
110000,北京市,2011,70.7246,1711.8431,29.4526,3374.0104,2683.5696
110000,北京市,2010,88.2,2138.3,43.6,2895.9,2702.0
110000,北京市,2009,96.8226,2852.2066,37.6608,2069.0127,2997.6981
110000,北京市,2008,89.4441,1354.3445,78.7512,1802.908,1572.636
110000,北京市,2007,74.2408,1454.3095,79.7834,1965.2813,2286.7511
110000,北京市,2006,105.0021,1278.9171,75.2168,1290.763,1814.4251
110000,北京市,2005,122.0372,1048.4693,69.0246,1259.2211,1830.7178
110000,北京市,2004,110.62,770.12,116.55,964.93,1402.2
110000,北京市,2003,78.4074,755.2288,52.6132,887.7921,899.9543
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,187.5163,2016.726,32.0166,7788.9565,2786.6726
120000,天津市,2016,232.183,2414.2147,122.0555,8680.0183,2740.446
120000,天津市,2015,163.87,2209.8819,101.3515,9058.5035,1522.6856
120000,天津市,2014,169.8073,2016.2586,92.5124,7725.732,1601.8508
120000,天津市,2013,119.0154,2161.4464,84.2004,6615.1507,1438.9907
120000,天津市,2012,103.7294,1753.705,84.1792,5848.5212,1041.8974
120000,天津市,2011,61.1673,1676.9566,94.8348,5104.949,1137.7494
120000,天津市,2010,50.6,1657.0,124.8,3643.1,1021.2
120000,天津市,2009,61.4504,1278.1855,140.0825,2692.4336,881.9792
120000,天津市,2008,56.8743,931.6672,161.3636,1997.1657,428.4567
120000,天津市,2007,22.6743,685.147,159.6915,1311.2752,508.4842
120000,天津市,2006,22.7749,514.7312,149.9915,1032.9194,382.3544
120000,天津市,2005,28.1462,420.2931,113.7705,824.0786,311.143
120000,天津市,2004,18.47,360.13,93.87,601.06,207.12
120000,天津市,2003,14.426,311.1982,60.476,480.2426,159.0805
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,1185.1145,1934.1605,74.7056,25480.4188,2878.2629
130000,河北省,2016,1260.397,1768.5641,31.6024,25168.388,2299.9524
130000,河北省,2015,1044.5791,1873.0193,42.6603,23853.4021,1752.2554
130000,河北省,2014,684.7366,1881.1925,104.8625,21247.7993,1878.1654
130000,河北省,2013,559.0375,1548.5234,88.8241,18787.1579,1883.7772
130000,河北省,2012,472.929,1204.9953,98.6813,16106.6422,1666.0906
130000,河北省,2011,379.9846,1642.9822,111.5811,13547.6983,1755.7391
