省份编码,省份,年份,商品房平均销售价格(元/平方米),住宅商品房平均销售价格(元/平方米),别墅、高档公寓平均销售价格(元/平方米),办公楼商品房平均销售价格(元/平方米),商业营业用房平均销售价格(元/平方米),其他商品房平均销售价格(元/平方米)
110000,北京市,2019,35905,38433,57225,31335,31017,10937
110000,北京市,2018,34142.8933603662,37420.1885411996,49506.0172083131,31300.3370095614,34091.0349868796,8400.85356950348
110000,北京市,2017,32140,34117,49926,34539,36370,9385
110000,北京市,2016,27497,28489,42874,30491,29929,9230
110000,北京市,2015,22633,22300,38817,28917,27312,7070
110000,北京市,2014,18833,18499,38267,26266,25414,7391
110000,北京市,2013,18553,17854,32962,23426,26405,6776
110000,北京市,2012,17021.6326110424,16553.4774560654,27317.4961518728,22114.1832612743,20475.6698608465,6363.31734453984
110000,北京市,2011,16851.9529366903,15517.898842159,28543.1804121998,23701.6428117636,24919.5516087838,5666.76313055359
110000,北京市,2010,17782,17151,28680,23413,22452,5520
110000,北京市,2009,13799,13224,20385,16857,19091,6075
110000,北京市,2008,12418,11648,19541,16554,17148,6416
110000,北京市,2007,11553.2584783407,10661.2447918826,15739.8051358031,15151.6098227853,17584.9162408987,6517.1861829008
110000,北京市,2006,8279.51013373202,7375.40892875089,12180.8224441349,13554.7145783031,14964.6416387279,5115.52541201631
110000,北京市,2005,6788.0935307965,6162.12778844029,9826.96561988721,13517.0398303598,13827.688948998,3525.41332755758
110000,北京市,2004,5052.93114495308,4747.14003634137,,10725.8560612695,8402.78954204077,4233.9459536908
110000,北京市,2003,4737,4456,7416,10645,10189.15,4595.7
110000,北京市,2002,4764,4467,8295,13167,7892,4912
110000,北京市,2001,5062,4716,9182,12391,7165.73,3907.17
110000,北京市,2000,4919,4557,8315,12563,6914.71,4722.07
120000,天津市,2019,15380,15423,16382,14256,16923,7906
120000,天津市,2018,16054.6385261175,15924.2605226787,16397.9462566748,17998.1634036828,18515.0451664159,13029.1625927888
120000,天津市,2017,15331,15139,17951,18327,17291,14117
120000,天津市,2016,12830,12870,13433,14396,14434,7829
120000,天津市,2015,10107,9931,13484,15505,13705,9804
120000,天津市,2014,9219,8828,12643,16972,15671,8728
120000,天津市,2013,8746,8390,14271,11441,16550,11583
120000,天津市,2012,8217.67315656955,8009.5807657414,10877.1263234394,13349.0333320319,13007.5337995596,4699.36154494511
120000,天津市,2011,8744.77155119297,8547.63620425185,11153.7503514468,8906.89603812928,11222.0035870249,7206.60741852911
120000,天津市,2010,8230,7940,9962,13855,10546,7394
120000,天津市,2009,6886,6605,9075,11134,8955,11032
120000,天津市,2008,6015,5598,11107,9783,10338,9195
120000,天津市,2007,5811.1113887825,5575.71537172965,9206.52373098772,7411.76717103165,8879.37618027489,4262.4908229865
120000,天津市,2006,4773.53739041535,4649.24731983301,6152.3505185477,6170.54271928713,6258.98149993277,5584.00416047113
120000,天津市,2005,4054.72980001399,3987.21860724531,5434.66427641519,5021.82883798816,4724.72860878588,3601.58736836201
120000,天津市,2004,3114.60859549709,2950.34141244601,,5552.42236466393,5794.696520394,4557.81307720724
120000,天津市,2003,2518,2393,4052,6287,4141.16,1776.52
120000,天津市,2002,2487,2414,3568,3600,4317,1861
120000,天津市,2001,2375,2308,3335,4269,3774.43,2539.68
120000,天津市,2000,2328,2274,4540,4389,3790.45,2423.37
130000,河北省,2019,7834,7787,11970,9911,9710,5440
130000,河北省,2018,7682.81520707149,7566.71989769597,10186.2487879998,9068.36155179068,10409.4588583379,5372.15399240912
130000,河北省,2017,7203,7039,10253,10334,9115,4882
130000,河北省,2016,6438,6290,10347,9622,8789,3609
130000,河北省,2015,5759,5530,9967,9360,8409,5011
130000,河北省,2014,5131,4988,9026,6457,7182,3414
130000,河北省,2013,4897,4640,8296,7785,7690,4538
130000,河北省,2012,4478.02140987336,4141.96005476474,5387.55385309883,6731.5638715268,9393.25401348717,3166.69415354168
130000,河北省,2011,3982.84562098228,3766.75458612989,8319.40601191621,6900.44313146233,7059.22001889039,3070.60374560051
130000,河北省,2010,3539,3442,7028,4680,5657,2772
130000,河北省,2009,3263,3210,5874,4145,5190,2309
130000,河北省,2008,2779,2743,6375,3692,3915,2102
130000,河北省,2007,2585.77462676527,2505.0090817061,5099.04239927611,4922.40900339824,4634.7071800636,1966.57666719608
130000,河北省,2006,2111.41997050073,2028.40708094802,3656.14185846668,3666.94322011926,3365.0176879025,1602.15755766959
130000,河北省,2005,1862.02619811083,1777.47833809869,3391.45201740936,4752.12996071161,2999.13203071684,1599.38390903829
130000,河北省,2004,1605.42237563037,1486.47062116051,,2539.88716330988,3296.64878604261,1218.44743550795
130000,河北省,2003,1463,1343,2233,2288,2636.56,915.38
130000,河北省,2002,1503,1327,1924,1356,2861,1673
130000,河北省,2001,1463,1330,1919,1656,2313.17,3622.99
130000,河北省,2000,1448,1350,2538,1834,2428.39,2330.56
140000,山西省,2019,6896,6695,10686,9773,11618,5029
140000,山西省,2018,6822.02688073621,6649.10984542201,12512.11519215,9873.71003603466,11681.9124851885,5378.03955448108
140000,山西省,2017,5619,5457,10899,8810,9211,4251
140000,山西省,2016,4984,4788,9992,8669,8089,3087
140000,山西省,2015,4870,4742,9780,9039,7644,2720
140000,山西省,2014,4734,4462,11466,13220,7549,3615
140000,山西省,2013,4433,4211,10119,9570,6974,2789
140000,山西省,2012,3871.37511221661,3690.87618313081,5457.14604153509,7834.57258817237,6864.93945275403,2523.78184267856
140000,山西省,2011,3432.70841642157,3231.44272631122,3250.0310058291,7091.94178700993,5787.11882235633,2862.11177281595
140000,山西省,2010,3487,3338,2960,5489,5397,1947
140000,山西省,2009,2707,2552,4529,5073,5302,1815
140000,山西省,2008,2355,2253,5741,6115,2867,2545
140000,山西省,2007,2249.60872343682,2052.4109188036,4834.5686298991,4102.68815835264,5136.36734487729,1322.48434734367
140000,山西省,2006,1988.18234804256,1805.52939885213,3573.01528140142,4315.43220014233,4806.16846405156,2283.77565919437
140000,山西省,2005,2209.90503646759,1876.34617894502,3898.72631251942,4908.38076248407,5759.17659423109,2033.3364029837
140000,山西省,2004,1803.22603355614,1573.92954169409,,3918.2210340847,3611.84089382461,910.808868542227
140000,山西省,2003,1611,1263,2000,4085,3134.54,586.95
140000,山西省,2002,1435,1253,1455,3013,2698,955
140000,山西省,2001,1349,1249,1133,2182,2418.71,1381.5
140000,山西省,2000,1118,985,1694,3064,2805.42,3644.62
150000,内蒙古自治区,2019,6194,6122,7729,9218,8422,4545
150000,内蒙古自治区,2018,5548.42347973885,5339.79069515129,9386.83679224463,7796.27627734944,7544.87398834623,4921.3064918864
150000,内蒙古自治区,2017,4628,4239,6783,6950,7793,4625
150000,内蒙古自治区,2016,4546,4042,4444,6467,7709,4963
150000,内蒙古自治区,2015,4441,3939,5853,6181,7538,5261
150000,内蒙古自治区,2014,4333,3833,6088,6391,7234,5183
150000,内蒙古自治区,2013,4301,3863,6229,7582,7215,4452
150000,内蒙古自治区,2012,4053.05498895314,3656.41080938973,6295.65666008668,6037.96398372894,6943.8360783527,3884.90205535851
150000,内蒙古自治区,2011,3782.93026960616,3340.67188656489,7122.44766505636,6673.0470555847,6704.35521673063,4087.11747919755
150000,内蒙古自治区,2010,3521,2983,6168,6229,7161,3685
150000,内蒙古自治区,2009,2972,2649,5117,5682,5731,2692
150000,内蒙古自治区,2008,2483,2265,4104,4822,4080,2660
150000,内蒙古自治区,2007,2246.53168231825,2014.52470329009,3548.39606382387,3204.40880360805,4124.94668612998,2347.97627305803
150000,内蒙古自治区,2006,1811.37075241674,1626.78957740647,2766.40259943951,2947.14624730701,3223.17097810449,1944.66934510625
150000,内蒙古自治区,2005,1653.21930280234,1401.55581312168,2956.44081749526,2993.26902989448,3204.42946074643,1727.71946721536
150000,内蒙古自治区,2004,1400.62848361126,1224.84098472033,,1541.70411263748,2238.78979768744,1553.14316671181
150000,内蒙古自治区,2003,1270,1077,1860,1302,2103.68,1277.28
150000,内蒙古自治区,2002,1256,1041,2076,1279,2356,1407
150000,内蒙古自治区,2001,1235,1023,2627,2013,2170.73,1541.61
150000,内蒙古自治区,2000,1136,984,1701,1790,1803.78,1728.51
210000,辽宁省,2019,8249,8249,14710,9202,9376,5233
210000,辽宁省,2018,7541.64180370713,7358.35432744193,15128.1538225355,10204.1121096563,10516.9451589087,5947.35299778236
210000,辽宁省,2017,6681,6458,11121,10943,9787,6512
210000,辽宁省,2016,6080,5876,11479,17226,8073,4423
210000,辽宁省,2015,5758,5486,9478,8931,8525,5369
210000,辽宁省,2014,5373,5107,8335,5823,7982,5003
210000,辽宁省,2013,5122,4918,7936,6779,7410,3959
210000,辽宁省,2012,4942.0100890021,4717.20545766995,8664.59084659331,9647.06313418146,7041.94758929145,4057.48242633582
210000,辽宁省,2011,4732.64635583305,4542.88306311057,8551.08840335043,5867.42597680098,6989.27288760814,4308.67410927142
210000,辽宁省,2010,4505,4303,10648,8106,6527,4256
210000,辽宁省,2009,4034,3872,8979,6207,5981,3534
210000,辽宁省,2008,3758,3575,7265,4783,6149,3888
210000,辽宁省,2007,3490.15193865364,3354.61972919356,7696.83013190005,4725.93925570982,5480.80879660904,3889.96090037203
210000,辽宁省,2006,3073.44469362107,2883.64055670803,5511.91254935649,5446.01036355414,5328.72973209387,3218.67244124074
