省份编码,省份,年份,房地产开发企业新开工房屋面积(万平方米),房地产开发企业住宅新开工房屋面积(万平方米),房地产开发企业别墅、高档公寓新开工房屋面积(万平方米),房地产开发企业办公楼新开工房屋面积(万平方米),房地产开发企业商业营业用房新开工房屋面积(万平方米),房地产开发企业其他用途新开工房屋面积(万平方米)
110000,北京市,2019,2073.206,1003.7165,49.2874,170.4971,139.5483,759.4441
110000,北京市,2018,2321.106,1233.5832,99.1409,221.3118,108.3203,757.8907
110000,北京市,2017,2361.5082,1159.6428,60.649,364.6134,156.2978,680.9542
110000,北京市,2016,2795.5673,1199.4306,67.509,464.4054,278.5045,853.2268
110000,北京市,2015,2706.91,1158.1726,65.8532,585.5577,343.6166,619.5631
110000,北京市,2014,2449.3867,1282.2801,65.8607,421.3732,208.1676,537.5658
110000,北京市,2013,3577.5238,1736.5374,80.6164,671.3983,351.012,818.5761
110000,北京市,2012,3224.2095,1627.5023,88.4026,536.8188,325.6129,734.2755
110000,北京市,2011,4246.0522,2596.4494,165.5182,489.3992,306.432,853.7716
110000,北京市,2010,2974.24,2063.4,157.09,203.29,242.42,465.14
110000,北京市,2009,2246.6,1380.28,129.37,255.96,228.45,381.92
110000,北京市,2008,2337.22,1565.3,180.8,159.75,287.07,325.1
110000,北京市,2007,2557.3953,1639.9355,219.2635,264.8248,253.793,398.842
110000,北京市,2006,3179.3541,1870.2557,254.0192,323.652,428.3811,557.0653
110000,北京市,2005,2965.9332,1983.2363,243.8703,294.9129,259.679,428.105
110000,北京市,2004,3054.2682,2207.1508,,262.2402,186.9781,397.8991
110000,北京市,2003,3433.7485,2503.4616,233.1527,259.086,226.0398,445.1611
110000,北京市,2002,3206.0,2455.72,224.22,222.8,126.55,400.92
110000,北京市,2001,2789.8168,2236.5407,157.05,117.9307,117.9868,317.3586
110000,北京市,2000,1676.8619,1322.0594,152.8323,57.0533,50.5717,247.1775
120000,天津市,2019,2544.8399,1973.8124,67.9277,44.0045,215.142,311.881
120000,天津市,2018,2479.3425,1862.9317,134.6434,19.6393,187.2871,409.4844
120000,天津市,2017,2334.6172,1822.7181,65.593,67.4852,166.6776,277.7363
120000,天津市,2016,2511.4701,1943.3948,106.8277,41.4772,228.7025,297.8956
120000,天津市,2015,2817.1912,1966.8542,74.4677,210.6342,292.3786,347.3242
120000,天津市,2014,2815.2697,1986.5621,68.2487,132.3764,275.0793,421.2519
120000,天津市,2013,2672.9302,1744.849,85.1129,173.8386,370.1067,384.1359
120000,天津市,2012,2565.1881,1764.7557,58.4894,231.0154,202.1598,367.2572
