省份编码,省份,年份,全社会固定资产投资(亿元),内资企业全社会固定资产投资(亿元),国有全社会固定资产投资(亿元),集体全社会固定资产投资(亿元),股份合作全社会固定资产投资(亿元),联营全社会固定资产投资(亿元),有限责任公司全社会固定资产投资(亿元),股份有限公司全社会固定资产投资(亿元),私营全社会固定资产投资(亿元),个体全社会固定资产投资(亿元),其他全社会固定资产投资(亿元),港、澳、台商投资全社会固定资产投资(亿元),外商投资全社会固定资产投资(亿元)
110000,北京市,2019,,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,,
110000,北京市,2017,8370.436,7462.8131,1494.1817,30.4005,83.9704,0.1336,5193.7463,236.4198,341.5274,63.1011,19.3323,648.9753,258.6476
110000,北京市,2016,7943.8925,7303.1495,1422.1443,61.6861,1.6759,0.1092,5117.8693,251.6252,370.7586,55.2044,22.0765,337.6517,303.0913
110000,北京市,2015,7495.9934,6961.2786,1631.6933,126.0615,2.7924,2.2193,4381.6036,191.832,513.7339,50.3236,61.019,210.4838,324.231
110000,北京市,2014,6924.2346,6331.0223,1579.2971,131.2204,10.9899,2.2512,3930.4667,290.8125,311.7832,50.7938,23.4075,373.1199,220.0924
110000,北京市,2013,6847.0572,6084.1452,1775.0019,117.4139,6.2225,2.2906,3520.5678,336.6889,249.1783,49.7484,27.0329,451.4282,311.4838
110000,北京市,2012,6112.4,5625.3427,1444.4602,83.5904,8.5393,1.2409,3406.7194,401.0279,197.4759,47.5123,34.7764,198.1397,288.889
110000,北京市,2011,5578.927,5063.5135,1274.095,90.4077,4.8704,1.4378,3229.2111,189.7545,188.5858,59.1768,25.9744,252.6942,262.7194
110000,北京市,2010,5402.952,5009.6,1253.4,105.9,6.5,1.8,2919.3,388.9,255.1,53.1,25.6,155.6,237.8
110000,北京市,2009,4616.9211,4176.6699,1546.6547,68.1194,11.4809,3.6851,2117.1961,146.5413,216.3708,44.2274,22.3942,174.8706,265.3806
110000,北京市,2008,3814.7291,3381.026,1019.1598,66.6889,8.9252,13.295,1727.9596,288.6154,213.966,23.0102,19.4059,160.2648,273.4383
110000,北京市,2007,3907.1967,3290.3712,1014.3757,82.0039,6.0674,6.0484,1761.4639,183.6712,198.8386,24.1024,13.7997,236.3817,380.4438
110000,北京市,2006,3296.3757,2786.135,829.6608,66.2187,7.269,10.4861,1520.8919,162.5423,152.6961,20.0285,16.3416,187.1516,323.0891
110000,北京市,2005,2827.2346,,,,,,,,,,,,
110000,北京市,2004,2528.21,,,,,,,,,,,,
110000,北京市,2003,2169.256761,,,,,,,,,,,,
110000,北京市,2002,1796.14,,,,,,,,,,,,
110000,北京市,2001,1513.316086,,,,,,,,,,,,
110000,北京市,2000,1280.46,,,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,,,,
120000,天津市,2018,,,,,,,,,,,,,
120000,天津市,2017,11288.9189,10598.915,1140.1306,393.496,8.185,51.9071,4573.4564,330.3565,3639.2773,47.7014,414.4047,241.6282,448.3757
120000,天津市,2016,12779.3878,12002.7943,1505.5707,487.0195,12.9245,37.5617,5307.1375,469.0483,3665.3847,54.93,463.2174,355.0723,421.5212
120000,天津市,2015,11831.9889,11152.9923,2739.8107,736.5668,45.8005,96.269,3457.0813,423.1305,3194.4387,17.4177,442.4771,297.5114,381.4852
