省份编码,省份,年份,全社会固定资产投资(亿元),城镇固定资产投资(亿元),房地产开发投资(亿元)
110000,北京市,2019,,,3838.3805
110000,北京市,2018,,,3873.3513
110000,北京市,2017,8370.436,8307.3349,3692.5416
110000,北京市,2016,7943.8925,7888.6881,4000.5729
110000,北京市,2015,7495.9934,7446.0198,4177.0481
110000,北京市,2014,6924.2346,6873.4408,3715.3341
110000,北京市,2013,6847.0572,6797.5373,3483.4045
110000,北京市,2012,6112.4,6064.8591,3153.4419
110000,北京市,2011,5578.927,5519.8403,3036.3118
110000,北京市,2010,5402.952,4916.5257,2901.07
110000,北京市,2009,4616.9211,4149.6286,2337.7124
110000,北京市,2008,3814.7291,3520.947,1908.7387
110000,北京市,2007,3907.1967,3597.2896,1995.8206
110000,北京市,2006,3296.3757,3012.4478,1719.865
110000,北京市,2005,2827.2346,2595.408,1525.0082
110000,北京市,2004,2528.21,2333.0,1473.2859
110000,北京市,2003,2169.256761,1999.9,1202.4763
110000,北京市,2002,1796.14,1693.6,989.4132
110000,北京市,2001,1513.316086,,783.8185
110000,北京市,2000,1280.46,,522.0737
120000,天津市,2019,,,2727.8199
120000,天津市,2018,,,2424.4892
120000,天津市,2017,11288.9189,11274.6948,2233.3936
120000,天津市,2016,12779.3878,12756.3593,2300.0107
120000,天津市,2015,11831.9889,11814.5712,1871.5464
120000,天津市,2014,10518.189,10490.3656,1699.6496
120000,天津市,2013,9130.2486,9103.0109,1480.8152
120000,天津市,2012,7934.8,7913.2603,1259.9969
120000,天津市,2011,7067.6653,7040.6834,1080.2492
120000,天津市,2010,6278.0917,5896.5189,866.64
120000,天津市,2009,4738.2019,4446.5679,735.1836
120000,天津市,2008,3389.7939,3175.1374,653.7248
120000,天津市,2007,2353.1494,2192.1691,505.2956
120000,天津市,2006,1820.5161,1678.9826,402.3184
120000,天津市,2005,1495.1431,1364.0032,327.5403
120000,天津市,2004,1245.66,1128.68,263.9165
120000,天津市,2003,1039.39396,931.7,211.3876
120000,天津市,2002,807.51,715.5,175.8446
120000,天津市,2001,704.996383,,161.2662
120000,天津市,2000,610.94,,133.9294
130000,河北省,2019,,,4347.054
130000,河北省,2018,,,4476.4037
130000,河北省,2017,33406.8021,33012.2314,4823.9092
130000,河北省,2016,31750.0152,31340.0673,4695.6333
130000,河北省,2015,29448.2706,28905.7383,4285.271
130000,河北省,2014,26671.9214,26147.1985,4059.7194
130000,河北省,2013,23194.2296,22629.7693,3445.4155
130000,河北省,2012,19661.3,19104.6297,3086.5214
130000,河北省,2011,16389.3255,15780.2568,3054.5897
130000,河北省,2010,15083.3532,12922.6572,2264.94
130000,河北省,2009,12269.7999,10476.5014,1520.0387
130000,河北省,2008,8866.5605,7463.7742,1084.4418
130000,河北省,2007,6884.6817,5690.3132,709.2806
130000,河北省,2006,5470.2356,4403.2251,481.5829
130000,河北省,2005,4139.6947,3307.768,391.5256
130000,河北省,2004,3218.76,2441.98,315.898
130000,河北省,2003,2477.984835,1772.8,251.2674
130000,河北省,2002,2020.38,1353.9,175.0411
130000,河北省,2001,1912.5323,,140.7752
130000,河北省,2000,1816.79,,108.3938
140000,山西省,2019,,,1656.5005
140000,山西省,2018,,,1376.5885
140000,山西省,2017,6040.5394,5722.1585,1166.2833
140000,山西省,2016,14197.982,13859.351,1597.3532
140000,山西省,2015,14074.1545,13744.5907,1494.8719
140000,山西省,2014,12354.5298,12035.456,1403.5549
140000,山西省,2013,11031.8876,10745.345,1308.6275
140000,山西省,2012,8863.3,8584.8533,1010.4513
140000,山西省,2011,7073.0614,6837.6888,790.1982
140000,山西省,2010,6063.1711,5526.6025,592.24
140000,山西省,2009,4943.1618,4509.5569,477.2748
140000,山西省,2008,3531.1563,3194.5681,326.7856
140000,山西省,2007,2861.4572,2600.2159,258.9251
140000,山西省,2006,2255.7351,2055.6854,208.6231
140000,山西省,2005,1826.5766,1666.4728,177.9937
140000,山西省,2004,1443.88,1315.21,125.7891
140000,山西省,2003,1100.856309,998.8,95.074
140000,山西省,2002,813.36,727.8,67.4331
140000,山西省,2001,663.580239,,46.6464
140000,山西省,2000,548.16,,39.4556
150000,内蒙古自治区,2019,,,1041.9497
150000,内蒙古自治区,2018,,,882.8479
150000,内蒙古自治区,2017,14013.1608,13827.8549,889.7233
150000,内蒙古自治区,2016,15080.0136,14893.9635,1133.4775
150000,内蒙古自治区,2015,13702.2217,13529.1519,1081.0542
150000,内蒙古自治区,2014,17591.8261,17437.8467,1370.8803
150000,内蒙古自治区,2013,14217.3776,14072.3876,1479.0074
150000,内蒙古自治区,2012,11875.7,11749.7701,1291.4397
150000,内蒙古自治区,2011,10365.1692,10252.9744,1591.1567
150000,内蒙古自治区,2010,8926.4611,8687.9855,1119.99
150000,内蒙古自治区,2009,7336.7901,7143.8367,815.4562
150000,内蒙古自治区,2008,5475.4076,5327.0411,744.2976
150000,内蒙古自治区,2007,4372.8799,4255.0024,500.8862
150000,内蒙古自治区,2006,3363.2077,3264.8644,325.0196
150000,内蒙古自治区,2005,2643.6015,2555.2528,162.1002
150000,内蒙古自治区,2004,1787.95,1707.5,111.3775
150000,内蒙古自治区,2003,1174.658558,1097.1,90.7881
150000,内蒙古自治区,2002,707.91,635.4,74.5322
150000,内蒙古自治区,2001,503.632045,,65.6679
150000,内蒙古自治区,2000,423.64,,45.2181
210000,辽宁省,2019,,,2833.9503
210000,辽宁省,2018,,,2599.2713
210000,辽宁省,2017,6676.7399,6444.749,2289.6691
210000,辽宁省,2016,6692.2461,6436.3272,2094.8451
210000,辽宁省,2015,17917.8936,17640.3698,3558.6421
210000,辽宁省,2014,24730.803,24426.8339,5301.3051
210000,辽宁省,2013,25107.6568,24791.4018,6450.7513
210000,辽宁省,2012,21836.3,21535.3745,5455.8196
210000,辽宁省,2011,17726.2865,17431.4614,4487.561
210000,辽宁省,2010,16043.0255,15106.3279,3465.76
